            N=1            N=2           N=10          N=100
       0.837191        1.99058       -2.71889       -2.31867
        3.14397        -8.9804        1.79134        0.96617
       -10.9183        1.04273       -19.1115       -1.08353
       -7.04248        1.21652      -0.739045      -0.766824
        1.18948       -8.86386       0.158034      -0.337633
       0.895974        1.04993      -0.635725       -0.23252
      -0.767169        1.75762       -2.84828     -0.0844502
         3.2002     -0.0309737        1.87027         9.3846
      -0.979691       0.339192       -2.15682       -2.46011
        -16.748        5.84092        1.20389       -5.57881
       0.545583        1.39025        1.21394        1.09225
        1.55428       -95.5179       -1.18571       0.460069
        4.83097      -0.478266        4.19918       -16.4263
       -1.31572      -0.256603          8.965       -6.47065
      -0.261594      -0.694888       -1.16096      0.0323639
       0.199647       -1.35117      -0.190477       0.637763
       0.451859      -0.300966      -0.151845     -0.0379103
       0.226525       0.549158       -1.59898      -0.470419
        11.7285      -0.942907       -0.40328      -0.799798
     -0.0466174       -1.64934     -0.0251714      0.0703334
         4.1134       0.542383         2.1744       -5.88997
       -1.33289       0.349397      0.0247115    -0.00974763
        1.58506      -0.550326       -20.2459        1.98965
       -192.621       0.345315       0.585266      0.0500617
        1.32828       0.103402        1.84025       0.763458
       -2.28481        0.64451      -0.154886        4.18992
      -0.407418       -2.28499       0.192673       -5.88992
      -0.105788      -0.289016        1.54416       0.873505
      -0.265833     -0.0344826        3.04423      -0.369884
       -1.12394       -1.21464       0.159767       -35.3241
        0.26223       -1.32516       0.447777        3.27643
       -2.96456       -7.25497       -4.79517        2.63665
     -0.0357809        -8.6087       0.175268     -0.0133691
      -0.566152        1.54044       -3.25934        -7.5918
     0.00599281        1.40698       0.033116       -3.52908
        1.09232        1.25949       -1.83274      -0.760498
       -2.27704        2.02637        2.30205           0.47
       0.391228        1.20407        0.32013       0.659198
       -2.68323        3.78099      -0.496782       -1.67402
      -0.615456         1.0804      -0.562542      -0.127151
        1.01362        -2.3062        0.46922       0.990596
      0.0711452       0.189198        -2.1377        0.48558
         0.7127      -0.121566       -2.72811        -2.7935
     -0.0139063      -0.262202        3.26933       -2.87945
       -1.70612       -8.28334        5.05288       -1.38728
       0.605469        4.81956       0.447947        -2.2937
       0.494299       -1.42101       -2.04439       0.339396
       0.196331        0.47915      -0.290372       0.799033
      -0.312181        1.96191       -6.44566        4.43328
       0.518985       0.179849        1.03052       0.420348
        1.37523      -0.351995       0.784371        1.21765
     -0.0862139        1.08752       -6.45854      -0.824222
       -7.92693       0.944437        1.58756       -3.44823
        3.35694        4.50672       -1.10899      -0.368718
         2.3075      -0.116956        1.71509      -0.692182
       -2.88553       -11.8439      -0.763595       -0.58341
      0.0486915      -0.295857        0.60401      -0.348693
      -0.117657       0.305121        1.93631     -0.0257564
      -0.984938        11.0717       0.480025        1.88496
       -1.44435        -5.1656       -1.10145     -0.0421503
      -0.995862      -0.106977        3.29751        7.27233
       -1.65445        5.02809       -3.36108       0.436597
       -12.0607        2.92136       0.079311       -2.14223
       -2.44925        8.26729      -0.809993      -0.136899
       -0.36802        4.88613      -0.342305       -5.55074
       -16.8494        -1.6009        2.20916       0.758139
       0.520368       0.273691       -1.45126         31.837
        2.56051       -11.2253        -2.0775        6.62658
       -3.05836        5.37927         1.4503       -1.37528
        5.87233        51.9982       0.161351        1.97512
       0.557979       -1.18399        99.7886       -1.88579
        1.96101      -0.404307       0.656708        1.24185
       -36.6832      -0.469826       0.128803       -0.34647
         40.736      -0.338728       0.906929        3.62115
        -1.7694       -3.40795      -0.128329       0.250059
        4.17754      -0.795744      -0.820826      -0.730449
        7.85463      -0.835706       -7.79962      -0.280539
      -0.292648      -0.320697      -0.464275       -11.6269
     0.00631305       0.490787        1.24068       -1.25988
         2.1545       0.508975        0.33735        88.3151
       -1.07355      0.0429895        13.4891       0.583265
       -3.53886      -0.722783      0.0909944        1.02806
        1.96329      -0.872339       0.673273      -0.692899
       -1.58489       0.552456        1.27569        1.70417
       0.680873       0.240452        13.5021      -0.230919
      -0.924004       -3.61346      -0.192142       -2.49617
      -0.142087       0.312229     0.00707875        1.05827
      -0.382318      -0.294297       -4.16371       0.423369
        -12.496       -4.53187       -1.22383       -1.07539
       -4.07071       0.132514       -48.0596        -1.1788
        10.8949      -0.019898        -47.687        2.21818
        -1.2558       -1.28908      0.0491171       0.666891
       -2.76142     -0.0449272       0.762888        3.22654
     -0.0805951      -0.316771      -0.743885        1.19817
       0.411306       -0.34572        2.27479     0.00719169
       0.546994        5.84021      -0.840627        1.03542
        1.76814       0.701965      -0.381728        1.42481
        2.15568       -2.31319       -4.34409       0.415271
      0.0927451       0.673626        0.22841       -1.10152
       0.266953       -5.02847       -5.10598        11.2266
      -0.215916       0.769449       -27.4586       0.696118
      -0.488074       0.428143       0.620173       -1.02932
      -0.408807       -1.25365       -1.68743       -4.42825
        2.58385      -0.178777       -0.30906       -0.77985
         -1.477        11.1068       -0.37438      0.0560328
        3.36587       -2.09948       0.246683      0.0405832
        8.52154        3.60429      -0.488493       0.829422
       0.491893       -2.60261        30.0723     -0.0445144
      -0.145655        2.06693       -1.07303      -0.887955
     -0.0882574      -0.845573        11.3743      -0.517874
       -21.2264        8.83452       0.968045      0.0100925
       -2.46138       0.428946      -0.168133       -0.45064
       0.597033       -111.647         0.1954       0.345165
       -1.18875        1.41261        2.77107       -2.13409
        1.01738      -0.258525       -0.12776        -0.9927
      -0.407141        1.24349      -0.497136       -4.82597
        6.94707       0.813206       -3.25818        1.20426
        15.1963      -0.117153      -0.699593        2.67087
      -0.327462       -0.08998        5.09048        92.0043
       -10.0037        1.07677       0.326498      -0.992355
       -2.09352        11.4525       -2.95962      0.0295939
        1.87957      -0.931803       -4.51793       0.369477
