            N=1            N=2           N=10          N=100
        2.17587        1.29861        1.11729       0.958328
        0.42136       0.194404       0.907412       0.963942
       0.208375        2.41805        1.03609        1.06446
       0.180433       0.751154       0.650996       0.996525
        3.65863       0.924214        1.05396       0.857329
        1.17747       0.686937       0.989514       0.932927
       0.505291        1.02303       0.501921         1.2674
       0.997018        1.33728        1.59026       0.959942
       0.275508        0.58633       0.884569       0.969155
        1.57292       0.903483       0.851264       0.879412
       0.600605        1.76877        1.58783       0.891457
       0.773269        2.02478       0.842754        1.01835
       0.811098       0.928594       0.829787       0.845782
        1.23497       0.066034        1.20946        1.11355
        1.09296       0.392265       0.453442          1.122
         1.5816       0.240309        1.77362        1.08023
        1.04106       0.604837       0.921355       0.995514
       0.131599        1.00955       0.636118        1.01106
       0.982926       0.916269       0.727776        1.06742
       0.824041       0.484018       0.657274        1.05222
        1.47189       0.425633        1.05412        1.00564
        2.06564         1.2653        1.11433        1.01414
       0.498126        1.75584        1.05813       0.852148
        3.55143       0.828683        1.05668        1.01248
        1.15314        0.99436       0.838739        1.05098
       0.704052       0.743053         1.5355       0.990023
      0.0849978         1.5054        1.34157       0.950931
      0.0470701       0.442973        1.15604       0.922299
       0.557245        1.77081       0.950001       0.899014
       0.227284       0.485333       0.539521       0.956503
       0.268389       0.384504        1.17385         1.0681
       0.212228        1.41727       0.715448       0.982056
        0.84782       0.242514       0.862757       0.953444
       0.361853       0.234293        1.32527       0.922822
        1.14763       0.231026       0.925056       0.863148
       0.871463        0.39442       0.826394       0.965399
         1.7449        1.20413       0.867656        1.09195
      0.0876353         2.4747        1.10181       0.980586
       0.457091        1.51947        1.00341       0.836343
       0.510946        2.35859         1.1636       0.837507
       0.579587        1.47858        0.57134       0.911077
       0.271679       0.616641        0.49436        1.16768
        1.43671       0.370623          0.969       0.929008
         1.0939       0.179824       0.527814        1.02765
        1.95796        1.77718       0.584239       0.859769
        1.55371        1.56088       0.674867        1.08642
       0.569249       0.408054       0.852102       0.910098
        1.08812        0.74402         1.0862       0.986574
       0.818705      0.0846466       0.954427         1.0206
        1.17002        1.45871        1.85895        1.04893
       0.413863        2.04256       0.816478        1.00892
        1.07224       0.748891        1.18271       0.852082
        2.62798        1.42169       0.591753       0.987945
       0.382822        3.21782       0.945899        1.08393
       0.355549       0.508181        1.04234       0.862484
       0.530396       0.374481         0.7113       0.865009
       0.292228       0.759496       0.664305        1.07927
        3.24939        1.42632       0.690516       0.996476
       0.420698       0.731123        1.46643        1.22453
       0.549968       0.922347        1.21753       0.955571
       0.114653        1.39063        1.33554       0.942555
       0.654354       0.104478        1.38375        1.01387
       0.365541        1.79862          1.229       0.891666
        2.46899       0.489131       0.931328        1.15058
       0.467303       0.366078        1.14052       0.983428
      0.0177251        1.66123         1.1059       0.996421
       0.162642       0.998083         1.5252       0.947149
       0.305944       0.933352        1.18287        1.00376
       0.383811        1.75888        1.45615       0.986437
      0.0782412       0.695748        1.38375        1.09299
       0.278023       0.947438       0.580482         1.2377
       0.510817       0.243922        1.05747        1.17718
       0.142358       0.334094        1.01902         1.0305
         2.2659       0.329631        1.05278        1.07948
       0.770498       0.412124        1.34927       0.826419
         4.1789         3.2325       0.612529        1.10792
       0.381945       0.720563        1.10009       0.904687
          2.657        1.77352        1.06046       0.787806
        2.40164        1.10174        1.13944       0.896606
        2.31555        2.03979       0.627888       0.860966
         2.1182        2.19378        0.79053       0.957762
        0.83896       0.667908        1.00627       0.957823
       0.430787      0.0543831        1.07177       0.965396
       0.802494        1.11292       0.751366        1.02143
        0.33206       0.577791        1.67933        1.01033
       0.409187       0.146919        0.98759        1.03573
       0.298725       0.729142        1.16408        0.89453
      0.0609238       0.777192       0.748595       0.955555
         2.7282        1.47897       0.736003       0.966558
       0.826156      0.0483674       0.756022        1.00028
        0.91161       0.443759       0.719271        1.07065
        2.21016       0.450873        1.29286        1.02381
       0.590077        1.40706       0.518267       0.883485
       0.226032       0.259593        1.18164       0.908186
       0.560304        1.07759       0.674338       0.995785
       0.927736       0.932856       0.844379       0.948751
     0.00994698       0.299436       0.668651        1.10819
       0.159346        1.10954       0.635137       0.907563
       0.674444       0.476875        1.21724       0.999968
        2.24298       0.467667        1.04233        1.00276
        1.56831       0.364615       0.644607       0.764949
        2.51681        3.04008       0.855885        1.04481
        1.17163       0.467582       0.928857        1.11151
       0.326153       0.421967        1.19985        1.09759
        2.55164       0.976364       0.501169        1.10511
       0.291747        1.25503       0.633903         1.0965
        5.35229        1.77809       0.964404       0.969391
        1.08335       0.597332       0.552694       0.938895
       0.201501        1.14297        1.81575        1.01367
       0.814861       0.798233       0.817449        0.97479
       0.329049        1.33692       0.682219        0.89518
       0.419913        0.54303        1.18144        1.08894
        0.37067       0.530408         1.2655       0.915536
        1.14832       0.810364       0.961979       0.868116
        2.37768        2.06993       0.839103        1.06785
       0.474968       0.574147        1.30934        1.00927
       0.563228         1.5547       0.750832        1.12072
       0.899017       0.901263        1.09499       0.827423
       0.597212       0.161307       0.702843       0.887931
        1.24748        2.09197        1.39525        1.03964
        2.21309       0.599589       0.597924       0.930546
       0.568175         0.9711       0.766577       0.917115
       0.125295        1.86305       0.803178       0.880526
      0.0836617       0.282567        1.27559       0.979024
        1.68793       0.477385        1.05284        1.04659
        1.90931       0.675258       0.842774        1.00413
       0.953096        1.25351       0.998767          1.133
      0.0251648        3.15249       0.600525       0.958535
       0.547477        1.45529       0.775042       0.858826
       0.184679        1.14096       0.744609        1.21428
        1.60417        2.52765        1.23779        1.07816
         1.7183       0.943519        1.16691        1.00927
       0.396441        1.15549       0.543692       0.921858
        1.59972         1.7362       0.815059       0.917757
       0.633825       0.344981        1.10176        1.15524
        1.23288        1.16789       0.887973       0.911158
        3.46854        1.97296        2.17078       0.885077
      0.0492284       0.784342       0.720703        0.91782
       0.802222       0.404426       0.816849        1.04338
       0.589273        1.45058          1.674       0.967366
        0.75186        1.47411        1.70118       0.913792
        1.14302        1.28225        1.17527        1.14888
       0.147917        1.11597       0.901781        1.22625
       0.339928       0.282711       0.902103        1.04667
       0.433382       0.594965         1.0853        1.00872
       0.234806       0.107397        1.38919       0.897925
       0.237902       0.679628        1.42331       0.950207
        0.42136       0.444552        1.10737        1.01229
          0.379        1.37853        0.55023        0.96946
       0.445248      0.0874941       0.984276       0.937664
        5.03008       0.734448          1.356        0.78057
        1.43492       0.812025       0.706242        1.33878
        1.17433       0.459918        1.14463         1.0598
       0.266793         2.6295         1.6377       0.903402
        3.42913        1.23334       0.804684       0.938618
       0.117913       0.437033         0.9664        1.02153
       0.120897        1.20873        1.39758         1.0221
        2.08259       0.646171       0.678093        1.14182
        1.08413        1.26919         1.2921       0.847396
        2.99544       0.016112        0.81892       0.937856
        2.07642       0.678406       0.953917       0.960889
        2.31113       0.550936          1.045         1.0293
        1.25567       0.654614       0.724438         0.9635
      0.0801509        2.10584       0.854432        1.00008
