          Media         Errore
        3.19132              0
        3.09784      0.0934816
        3.13258      0.0641842
        3.13485      0.0454422
        3.12317      0.0370869
        3.12186        0.03031
        3.10067       0.033244
        3.11105      0.0306039
        3.10847      0.0271129
        3.11032      0.0243209
        3.11936      0.0237841
        3.12599      0.0227029
        3.12869      0.0210571
        3.13526      0.0205711
        3.14561      0.0217702
        3.14894      0.0206355
        3.14756      0.0194327
        3.15479      0.0196945
        3.15402      0.0186449
        3.14566      0.0195634
        3.14519      0.0186145
        3.14317      0.0178627
        3.14695      0.0174806
        3.14084       0.017817
        3.14249      0.0171693
        3.14055       0.016609
        3.14255      0.0161058
        3.14121      0.0155775
        3.13626      0.0158254
        3.13714      0.0153139
        3.13933      0.0149732
        3.13592      0.0148927
        3.13664      0.0144521
        3.13718      0.0140311
        3.13528      0.0137558
        3.13393      0.0134369
        3.13544      0.0131557
         3.1356      0.0128058
        3.13508      0.0124841
        3.13466      0.0121753
        3.13454      0.0118752
        3.13549      0.0116282
        3.13762      0.0115516
        3.13863      0.0113313
        3.14001      0.0111617
        3.14043      0.0109246
        3.14103      0.0107064
        3.14292      0.0106493
        3.14194      0.0104754
        3.14097      0.0103092
        3.14116      0.0101068
        3.14218     0.00996323
        3.14291     0.00980037
         3.1421     0.00965096
        3.14151     0.00949244
        3.14331     0.00949439
        3.14407     0.00935741
        3.14616     0.00942721
         3.1449     0.00935046
        3.14627     0.00929419
        3.14696     0.00916645
        3.14577     0.00909465
        3.14541     0.00895671
        3.14586     0.00882745
        3.14497     0.00873629
        3.14487     0.00860342
        3.14507     0.00847633
        3.14671     0.00851085
        3.14668     0.00838665
        3.14644     0.00826945
        3.14594      0.0081675
        3.14746       0.008195
        3.14769     0.00808516
        3.14717     0.00799187
        3.14736     0.00788677
        3.14676     0.00780494
        3.14693      0.0077047
        3.14634     0.00762826
         3.1479     0.00769095
        3.14801     0.00759498
        3.14809     0.00750114
        3.14805     0.00740921
        3.14741     0.00734724
          3.147     0.00727123
        3.14652     0.00720091
        3.14671     0.00711913
        3.14661     0.00703742
        3.14569     0.00701834
        3.14566     0.00693909
        3.14565     0.00686156
        3.14564     0.00678575
         3.1463     0.00674429
        3.14567     0.00670092
        3.14577     0.00663001
        3.14619     0.00657297
        3.14491     0.00662865
         3.1445     0.00657278
        3.14524     0.00654788
        3.14472     0.00650237
        3.14465     0.00643746
