          Media         Errore
      -0.488943              0
      -0.385854       0.103088
      -0.429277      0.0736744
      -0.409159      0.0558451
      -0.430777      0.0483586
      -0.430017       0.039492
      -0.434026      0.0336167
      -0.432096      0.0291768
      -0.443807       0.028271
      -0.441452      0.0253958
       -0.44629      0.0234754
      -0.441349      0.0219924
      -0.446978      0.0209987
      -0.442603      0.0199273
      -0.441224      0.0186024
      -0.442971      0.0174885
      -0.444305      0.0164816
      -0.425322      0.0245316
      -0.428106       0.023371
      -0.431463      0.0224243
      -0.436047      0.0218167
      -0.436164      0.0208017
      -0.437148      0.0199011
      -0.435166      0.0191567
      -0.436553      0.0184267
      -0.436568      0.0177038
      -0.434496       0.017161
      -0.435986      0.0166038
      -0.435804      0.0160221
      -0.434859      0.0155076
      -0.423187      0.0190049
      -0.422241      0.0184258
      -0.426975      0.0184755
      -0.422543      0.0184636
      -0.423212      0.0179408
      -0.424306      0.0174697
      -0.418692      0.0178943
      -0.420282      0.0174895
      -0.418802      0.0170993
      -0.416354      0.0168452
      -0.419082      0.0166541
      -0.419722      0.0162654
      -0.420947      0.0159298
      -0.421204      0.0155657
      -0.422507      0.0152716
      -0.423025      0.0149449
      -0.423994      0.0146555
      -0.426188      0.0145137
      -0.427404      0.0142664
      -0.428771      0.0140448
       -0.43022      0.0138427
      -0.430993      0.0135958
      -0.433256      0.0135276
      -0.433794      0.0132856
      -0.434035       0.013044
      -0.435276       0.012869
       -0.43634      0.0126859
         -0.437      0.0124827
      -0.437865      0.0122998
      -0.440155      0.0123078
      -0.439101      0.0121502
      -0.440004      0.0119867
      -0.437983       0.011967
      -0.436284      0.0119003
      -0.436527      0.0117183
      -0.438196      0.0116595
      -0.439707      0.0115831
      -0.440301      0.0114269
      -0.440432      0.0112609
      -0.440554      0.0110995
       -0.44229       0.011079
      -0.442697      0.0109316
      -0.441642      0.0108323
      -0.442126      0.0106959
      -0.442645       0.010565
      -0.443363      0.0104498
      -0.443497      0.0103141
      -0.443772      0.0101847
      -0.444988      0.0101283
      -0.445564      0.0100175
      -0.445475     0.00989343
      -0.445442     0.00977209
      -0.444922     0.00966762
      -0.445978     0.00960995
      -0.446378     0.00950464
      -0.446795     0.00940275
      -0.447474     0.00931881
      -0.447883     0.00922136
      -0.447843     0.00911725
      -0.448558     0.00904369
      -0.445596      0.0094214
      -0.446301      0.0093451
      -0.446183     0.00924483
      -0.445983     0.00914814
      -0.446208     0.00905412
      -0.446248      0.0089594
      -0.446826     0.00888536
      -0.446711     0.00879498
      -0.446354       0.008713
       -0.44566     0.00865331
