Generation  Best distance  Mean distance
1        2428.64        2815.82
2        2325.27        2653.66
3        2196.31         2515.5
4        2147.64        2415.36
5        2046.69         2326.4
6        2046.69        2235.12
7        1932.44        2165.92
8        1878.19        2103.98
9        1769.86        2028.87
10        1681.78        1966.64
11        1667.41        1904.75
12        1660.32        1849.02
13         1511.4        1757.76
14        1496.83        1685.81
15        1496.83        1621.98
16        1454.62        1565.69
17        1438.58        1518.45
18        1402.42        1480.13
19         1354.9        1451.53
20        1312.68        1414.02
21        1269.33        1376.46
22        1245.73        1342.06
23        1183.58        1308.36
24        1180.46        1264.83
25        1147.15        1224.22
26        1144.29        1191.54
27        1126.81        1168.36
28        1104.08        1156.75
29        1097.54        1142.16
30        1068.17        1129.65
31        1050.15        1116.91
32        1050.15         1097.2
33        1045.97         1078.5
34         1042.1        1059.64
35         1035.1        1051.53
36        1012.71        1045.13
37        1008.53         1039.7
38        1004.12        1029.67
39        997.582        1016.08
40        980.066        1005.37
41        980.066        1001.69
42        972.905        996.331
43        952.729        992.948
44        952.729        985.179
45        933.616        974.204
46        931.842        963.537
47        923.349        955.235
48        910.808        944.614
49         894.06        937.896
50        876.864        928.741
51        870.004        921.183
52        851.412          905.1
53        851.258        891.181
54         844.38        883.365
55         844.38        874.572
56        837.988         865.94
57        836.563        855.533
58        822.888        847.399
59        800.813        839.987
60        789.556        827.324
61        789.556         816.92
62        786.456         804.85
63         777.74        801.518
64         776.78        794.591
65         776.78        789.793
66        759.965        787.425
67        752.884        796.083
68        752.004        798.302
69        744.922        785.088
70        742.141        772.588
71        742.141        765.688
72        739.898         755.35
73        739.898        745.826
74        737.117         743.88
75        731.949        742.355
76         725.34        739.883
77         725.34         736.88
78        717.232        734.313
79        717.232        729.104
80        717.232        723.316
81        717.232        721.883
82        713.179        720.874
83        696.367        718.023
84        696.367        715.299
85        690.093        710.732
86        690.093        703.368
87        680.796        697.643
88        680.796        693.096
89        677.038        686.396
90        661.633        683.064
91         651.18        678.446
92        647.347        670.166
93        645.803        662.148
94        637.386        653.766
95        637.386        648.796
96        631.786        644.796
97        623.369        641.642
98        622.261         638.39
99        613.036        633.124
100        612.437        627.634
101        608.504        621.002
102        608.504        616.781
103        606.709        613.847
104        606.709        611.469
105        595.077        609.798
106        595.077        607.747
107        595.077        604.249
108        594.239        600.214
109        590.967        599.317
110         574.37        598.113
111        573.675        595.235
112        569.504        592.612
113        566.761        591.277
114        565.168        586.409
115        565.168        581.313
116         561.49        584.953
117        557.941        575.805
118        556.625        574.965
119        541.345        570.832
120        521.972        558.315
121        521.972        550.149
122        521.972        543.893
123        515.801        536.021
124        515.801        529.955
125        515.801        523.829
126          510.4        520.411
127        504.229        517.514
128        504.229        514.635
129        504.229         511.68
130        504.229        509.265
131        504.229        508.994
132        499.506        508.233
133        495.864         507.04
134        495.864        503.177
135        494.418        500.733
136         492.61        498.964
137        490.841         496.55
138        490.841        494.764
139        485.433        493.365
140        481.339        491.956
141         476.95        489.411
142        470.459        486.053
143        454.368        482.442
144        438.309        480.255
145        438.309        475.482
146        432.725        461.738
147        431.876        452.386
148        427.862        442.156
149        427.862        435.295
150        427.862        431.601
151        427.167        429.882
152        424.479        428.739
153        423.784        427.454
154        421.747        426.193
155        420.712          425.3
156        420.712        423.863
157        414.337        422.676
158        411.265        421.105
159        411.265        418.784
160        410.571        415.883
161        401.447        412.338
162        401.447        409.471
163        401.447        406.737
164        397.431        404.506
165        396.737        402.642
166        396.737        400.663
167        396.737        399.568
168        396.737        398.922
169        394.933        398.503
170        386.187        397.632
171        384.383        395.876
172        383.627        392.631
173        381.823        388.809
174        381.823        386.097
175        381.823        383.703
176        365.663        382.938
177        365.663        381.775
178        365.051        377.601
179        361.426        372.093
180        354.595        365.896
181        354.595        363.456
182        354.595        360.629
183        353.842        358.914
184        353.842        357.469
185        353.253        355.371
186        353.253        354.267
187        353.253         353.84
188        346.746        353.571
189        346.746        353.055
190        346.746        351.464
191        346.157         350.08
192        346.157        348.624
193        346.157         346.63
194        346.157        346.386
195        340.157        346.302
196        339.568        345.776
197        339.568        343.805
198        339.568         341.87
199        339.568        341.502
200        339.568        341.542
201        339.568        341.209
202        339.568        342.239
203        339.568        341.843
204        339.568        341.439
205        339.568        341.049
206        337.806        342.863
207        337.806        342.003
208        336.961        341.375
209        336.961        338.379
210        336.273        337.971
211        333.959        338.056
212        333.959        342.717
213        333.959        342.536
214        327.712        342.766
215        327.712         338.31
216        327.712        335.549
217        313.042        333.715
218        313.042        332.407
219         310.44        326.727
220        309.756         323.66
221        309.756        322.644
222        308.126        325.354
223        308.126        331.174
224        308.126        332.018
225        308.126        328.706
226        308.126        324.069
227        308.126        322.614
228        308.126        321.271
229        308.126        319.966
230        300.388        315.441
231        300.388        312.224
232        297.397        306.122
233        297.397        304.542
234        297.397        301.793
235        295.495        299.624
236        293.969          298.7
237        293.969        297.347
238        293.865        296.212
239        293.821         295.06
240         291.51        294.707
241         291.51        293.844
242        286.307        293.098
243        283.909        291.861
244        283.909         289.21
245        283.909        286.768
246        283.909        284.786
247        281.567        284.396
248        281.567        283.963
249        277.854        283.524
250        275.468         282.14
251        275.468        279.709
252        274.478        278.321
253        240.832         276.93
254        239.841        272.478
255        237.912        262.054
256        237.912        250.859
257        237.912        243.922
258        237.912        241.359
259        237.912        240.455
260        237.321        239.447
261        236.856        238.955
262        229.847        237.936
263        229.847         236.74
264        228.791        235.172
265        228.791         232.88
266        228.633         230.36
267        225.981        229.798
268        225.981        228.732
269        224.986        227.869
270        223.349        227.183
271        223.335        226.181
272        223.335        224.686
273        219.117        223.977
274        219.117        223.127
275        217.614        221.583
276        217.614        220.691
277        215.581        219.784
278        215.581        218.175
279        215.485         217.38
280        215.485        216.383
281        213.353        215.853
282        213.353         215.28
283        212.791        214.675
284        211.722        214.002
285        209.494        213.386
286        208.646        212.455
287        208.646        211.114
288        206.577        210.421
289        206.577        209.244
290        206.577        208.079
291        206.577        207.401
292        206.577        207.294
293        206.577        207.632
294        206.577        208.795
295        206.577        208.848
296        206.577        207.997
297        206.577        207.553
298        206.577        208.301
299        205.608        208.841
300        205.608        208.079
301        205.608        206.499
302        205.608        206.175
303        205.608        206.126
304        205.608        206.209
305        196.454        206.242
306        195.485        205.251
307        195.485        203.289
308        195.485        200.962
309        193.098        199.389
310        193.098        197.795
311        193.098        195.092
312        193.098        194.295
313        192.673        194.073
314        192.673        193.678
315        192.673        193.294
316        192.042            193
317        190.718        192.763
318        190.718        192.333
319        186.681        191.723
320         186.05        190.717
321         186.05        188.796
322         186.05        187.289
323        185.739        186.418
324        184.655          186.2
325        184.655        185.915
326        184.655        185.721
327        184.655        185.495
328        183.994        185.168
329        183.994        185.116
330        183.994        184.639
331        183.994        184.383
332        183.994        184.404
333        183.251        184.388
334        183.251        184.189
335        183.251         184.13
336        182.835        183.793
337        182.835        183.402
338        182.835        183.152
339        182.835         183.01
340        182.835        183.008
341        182.835        183.012
342        182.835        182.973
343        182.835        183.097
344        182.835        183.381
345        178.384        183.031
346        177.968        182.362
347        177.968        180.736
348        177.968        179.295
349        177.968        178.447
350        176.194        178.176
351        176.194        177.893
352        175.204         177.34
353        174.931        176.619
354         174.27        175.882
355        173.631         175.07
356        173.631        174.458
357        173.631        174.054
358        173.631        173.908
359         172.53        173.886
360        171.869        173.725
361        170.182        173.363
362        169.521         172.69
363        169.521        172.202
364        169.521        170.982
365        169.521        172.183
366        169.521        174.122
367        169.521        175.614
368        169.521        178.499
369        169.521        175.889
370        169.521        177.949
371        169.521          177.2
372        169.521        174.658
373        169.521        172.607
374        169.521        170.535
375        169.521        170.673
376        169.521        170.655
377        169.521        171.395
378        169.521        171.066
379        169.521        171.234
380        169.521        171.622
381        169.521        171.319
382        169.521        172.872
383        169.306        172.338
384        167.964        172.407
385        167.964        169.774
386         167.88        168.977
387        167.676        168.556
388        167.676        168.263
389        167.676        167.867
390        167.676        167.758
391        167.676        167.739
392         167.02        167.743
393         167.02        167.687
394         167.02        167.471
395        166.218        167.341
396        164.568        167.031
397        164.266        166.389
398        164.062        165.444
399        164.062         164.75
400        164.062        164.311
401        164.062        164.195
402        164.062        164.159
403        164.062        164.145
404        164.062        164.143
405        160.936        164.129
406        160.732        163.906
407        160.732        162.941
408        156.957        162.075
409        156.957        161.294
410        156.957        159.659
411        156.957        158.806
412        156.957        158.084
413        156.957        157.868
414        156.957        157.921
415        156.957        157.913
416        152.628        158.057
417        152.628        157.339
418        152.423        155.608
419        152.423        153.989
420        152.423        153.275
421        151.421         152.99
422        151.372        152.703
423        150.998        152.357
424        148.152        151.734
425        146.726         151.09
426        146.726        149.974
427        145.987        148.245
428        145.987        147.205
429        145.987        146.704
430        145.987        146.516
431        145.987        146.325
432        145.987        146.355
