Generation  Best distance  Mean distance
1        2342.29        2777.84
2        2171.88        2590.93
3        2171.88        2473.87
4         2085.8        2391.76
5        1921.83        2304.64
6           1834        2172.76
7           1834        2059.05
8        1763.89        1950.77
9        1704.71        1873.46
10        1668.09        1806.68
11        1608.69        1756.29
12        1551.48        1707.15
13        1489.41           1665
14         1486.8        1610.43
15        1474.47        1566.61
16        1474.47        1524.36
17        1458.44        1499.62
18         1400.6        1481.77
19        1367.14        1467.69
20        1350.53        1445.82
21        1338.02        1412.29
22        1323.09        1380.84
23        1313.03        1359.25
24        1251.78        1340.06
25        1240.17        1321.08
26        1219.04        1303.29
27        1192.29        1277.47
28        1192.29        1260.17
29        1178.61        1251.96
30        1126.94         1240.3
31        1126.94        1206.39
32        1126.94        1190.44
33        1123.52        1161.14
34        1115.55        1151.39
35        1109.01        1135.49
36        1076.71        1122.99
37        1074.26        1113.49
38        1052.15        1103.25
39        1041.36        1087.85
40         1029.9        1075.89
41        1016.52        1060.15
42        1016.37        1052.84
43        976.773        1046.01
44        953.135        1034.03
45        953.135         1021.9
46        932.117        1007.51
47        919.812        988.874
48        910.649        966.572
49        902.661        948.152
50        893.498        930.792
51        824.199        916.505
52        824.199        902.558
53        807.877        915.148
54        803.801        904.532
55        803.801        871.292
56        803.801        844.755
57        802.616        822.244
58        799.868        811.313
59        771.712        805.102
60        771.712        800.006
61        758.412        794.895
62        738.988        792.131
63        738.988        783.512
64        724.008        765.951
65        724.008        752.492
66        717.271        744.611
67        710.624        744.848
68        710.624        741.948
69        709.391        736.895
70        700.678        732.094
71        677.445        730.707
72        672.148        716.145
73         665.99        710.879
74        653.079        705.611
75        653.079        695.589
76        648.777         685.96
77        639.113        676.979
78        632.521         664.26
79        611.849        650.656
80         593.57        644.635
81         593.57        634.494
82        584.417        619.562
83        584.417        605.878
84        580.649        596.343
85        576.339        587.299
86        569.306        584.264
87        564.996        578.548
88        563.424        574.126
89        559.122        569.421
90        541.575        566.339
91        528.628        561.751
92        508.609         554.32
93        505.181        539.426
94         501.53        524.285
95        497.006        515.781
96        478.759        508.781
97        476.826        502.682
98        476.734        493.611
99        473.737        486.483
100        473.542        484.041
101        459.507        483.607
102         452.47        480.439
103        441.386        484.491
104        441.386        477.061
105        433.303        481.061
106        433.303        470.747
107        432.151        471.494
108        420.928         468.88
109        420.457        447.974
110        419.277        437.383
111        418.903        430.445
112        402.257        424.346
113        400.232        419.279
114        400.232        413.638
115        392.999        407.491
116        390.508        400.829
117        387.257        397.843
118        382.443        393.548
119        378.335         388.91
120         374.21        385.466
121         374.21        382.276
122        373.836         378.91
123        371.071        376.974
124          367.4        374.529
125        366.572        372.476
126        365.939        370.491
127        365.565        368.038
128        359.982        366.568
129        356.946        365.635
130        356.571        363.718
131        356.571        360.466
132         354.16        358.412
133        346.715        357.089
134        345.789        355.348
135        345.789        352.027
136        345.789        348.831
137        345.789        347.058
138        339.715        346.105
139        331.828        345.219
140        331.828        341.704
141        331.828        338.204
142        331.828        335.256
143        326.942         333.95
144        323.179        332.461
145        314.569        328.393
146        306.325        323.813
147        305.399         318.04
148        305.399        313.947
149        302.318        308.551
150        298.562        306.736
151        300.327        305.435
152        297.489        303.614
153        293.733        301.465
154        293.733        299.201
155        289.472        296.822
156        289.472        294.862
157        287.481        292.854
158        287.481        291.355
159        283.803        289.955
160        282.722        288.786
161        282.722        287.851
162        278.114        286.883
163        278.114        286.318
164        278.114         288.11
165         275.65         286.02
166         275.65        284.422
167        274.445        279.845
168        274.445        278.297
169        274.445        276.861
170         273.97        276.285
171         273.97        275.184
172        273.906        274.827
173        271.378        274.573
174        271.303        274.162
175        270.828        273.204
176        267.565        272.356
177        267.565        271.445
178        263.818        270.218
179        260.676        268.297
180        259.816         265.78
181        259.816        263.215
182        259.816        261.551
183        257.528        260.204
184        257.528        259.956
185        256.138        259.133
186        256.138        258.606
187        255.056        258.343
188        255.056        258.558
189        255.056        260.399
190        255.056         263.84
191        255.056         263.57
192        255.056        261.723
193        255.056        259.977
194        254.188        261.287
195        254.188        257.544
196        254.188         255.57
197        254.188        254.693
198        252.244        254.555
199        252.244        254.214
200        251.784        253.492
201        231.731        252.528
202        231.731        250.863
203        231.731        248.027
204        230.616        250.984
205        230.616        252.723
206        226.842        246.532
207        226.842        241.334
208        226.842        233.066
209        226.842        229.354
210        225.832        228.596
211        224.717        227.942
212        224.717        226.828
213         220.11        226.202
214         220.11        225.013
215        219.951        223.238
216        219.951        221.914
217        219.741        220.619
218        211.597         220.06
219        208.193        219.253
220        208.193        217.391
221        208.193        215.061
222        205.889        213.037
223        205.568        210.041
224        205.064        207.187
225        204.791        206.234
226        202.615        205.633
227         201.29        205.306
228         201.29        204.653
229        198.322        203.686
230        194.534        202.316
231        193.709        200.784
232          193.5        198.172
233         191.87        196.065
234        190.543         193.79
235        187.669        192.863
236        187.669        191.776
237        187.669        189.863
238        184.778        188.735
239        184.569        187.753
240         184.06        186.569
241         184.06        185.525
242        183.562        184.546
243        183.562        184.242
244        183.562        184.013
245        182.159        183.812
246        182.159         183.62
247        182.016        183.229
248        182.016        182.866
249         181.75        182.607
250         181.75        182.165
251         177.76        181.818
252        175.948        180.946
253        175.948        179.455
254        175.598        178.052
255        175.332        176.846
256        174.877        175.933
257        174.877          175.5
258        174.877        175.213
259        174.877        175.074
260        174.877        175.012
261        172.997        174.989
262        171.085        174.789
263        171.085        174.077
264        169.371        172.883
265        169.371        171.387
266        169.371         170.41
267        169.371        169.991
268        169.115        169.795
269        169.115        169.618
270        169.115        169.528
271        169.115        169.668
272        169.115        170.549
273        169.115        170.831
274        169.115        171.144
275        169.115        171.349
276        164.299        171.393
277        164.299        170.229
278        162.753        168.248
279        162.753        166.547
280        162.753        164.983
281        162.421        163.881
282         160.61        163.296
283         160.61        162.649
284         160.61        161.799
285         160.61         161.46
286         160.61        161.276
287         160.61        161.292
288         160.61        161.243
289         160.61        161.124
290         160.61         161.29
291         160.61         161.09
292         160.61        161.039
293         160.61        161.098
294        159.073        161.256
295        159.073        160.951
296        157.451        160.307
297        157.451        159.914
298        157.451        159.207
299        157.451        158.612
300        157.451        158.336
301        146.487        157.095
302        146.487        155.009
303        146.487        153.056
304        146.487        151.695
305        146.487        150.931
306        146.487        151.182
307        146.487        150.196
308        146.487        149.258
309        146.487        149.584
310        146.487          149.9
311        146.487        149.423
312        146.487        149.651
313        146.487        149.617
314        146.487        149.522
315        146.487        149.326
316        146.487        150.146
317        146.487        149.726
318        146.487        149.565
319        146.487        149.691
320        146.487        150.649
321        146.487        150.708
322        146.487        149.412
323        146.487        149.446
324        145.825        149.019
325        145.825        147.659
326        145.825        147.154
327        145.825        146.339
328        145.825        146.228
329        145.825        146.082
330        141.181        146.052
331        140.519        145.314
332        140.519         143.86
333        139.832         142.15
334         139.17        140.971
335         139.17        140.322
336        138.585        139.766
337        138.585         139.46
338        138.585         138.95
339        138.585         138.83
340        138.585        138.804
341        138.585        138.868
342        138.585        138.879
343        138.585        138.841
344        136.547        138.939
345        136.427        138.633
346        134.494        138.004
347        132.781        137.063
348        132.781         135.67
349        132.781        134.497
350        132.781         133.59
351        132.781        133.448
352        132.781        133.355
353        132.781        133.332
354        132.781        133.305
355        131.718        133.321
356        131.718         133.13
357        129.633         132.78
358         128.57        132.145
359         128.57        131.265
360        127.397        130.385
361        127.397        129.604
362        127.397          129.7
363        127.397        129.439
364        127.397         131.07
365        127.397        130.436
366        127.397        130.877
367        127.397        132.099
368        127.397        133.696
369        127.397        132.796
370        127.397        134.592
371        127.397        133.959
372        127.397        133.388
373        127.397        132.151
374        127.397        132.358
375        127.397        130.799
376        119.795        131.126
377        119.795        130.068
378        119.795        127.976
379        119.795        125.812
380        119.795        126.405
381        119.795        125.184
382        119.795        123.472
383        119.795        122.394
384        119.795        121.658
385        119.795        121.558
386        119.795        121.107
387        119.795        121.253
388        119.795        121.149
389        119.795        120.633
390        119.795        121.059
391        119.795        121.239
392        119.795        120.893
393        119.795        121.911
394        119.795        122.021
395        119.795        123.149
396        118.998         122.71
397        118.998        121.556
398        118.998        119.735
399        118.998        119.388
400        118.676        119.334
401        113.799        119.093
402        113.799        117.777
403        113.568        116.048
404        113.097        115.004
405        112.838        114.091
406        112.838        113.586
407         112.77        113.267
408         112.77        113.023
409        111.165         112.86
410        111.165        112.694
411        111.165        112.244
412        111.165        111.869
413        111.165        111.633
414          110.4        111.601
415          110.4        111.333
416          110.4        110.876
417          110.4        110.724
418          110.4        110.671
419          110.4        110.699
420        108.794        110.718
421        108.284        110.505
422        108.284        109.767
423        108.284        109.163
424        108.284        108.616
425        108.284        108.509
426        105.652        108.237
427        105.652        108.249
428        105.652        109.073
429        105.652        110.771
430        105.652        109.382
431        105.652        110.873
432        105.607        109.619
433        105.607        109.284
434        105.607        106.437
435        105.607        105.736
436        105.607          105.7
437        105.607        106.599
438        105.607        106.845
439        105.607        106.674
440        105.607        106.809
441        105.607        106.229
442        105.607        106.346
443        105.607        107.179
444        105.607        108.059
445        105.607        107.991
