Generation  Best distance  Mean distance
1         2499.5        2886.76
2        2363.44        2710.13
3        2363.44         2593.2
4         2271.8        2494.28
5         2271.8        2457.69
6        2192.04        2404.39
7        2140.54        2327.55
8        2140.54        2261.12
9        2078.99        2222.88
10        1913.17        2145.92
11        1810.88        2072.01
12         1807.7        1973.17
13        1760.99        1894.08
14        1723.39        1841.91
15        1657.96        1803.37
16        1639.13         1770.8
17        1639.13        1728.41
18        1543.77        1683.79
19        1514.78        1637.08
20         1497.4         1605.2
21         1497.4        1565.31
22        1475.16        1527.53
23        1433.51        1523.23
24        1429.33        1496.84
25        1407.08        1483.45
26        1394.52        1449.54
27        1394.52        1430.84
28        1394.52        1414.12
29        1368.54        1406.66
30        1306.92        1393.63
31        1306.92        1375.14
32        1288.08        1364.78
33        1284.67        1336.41
34        1279.83        1316.18
35        1262.32        1313.24
36        1262.32        1295.99
37           1257        1284.08
38        1241.94        1278.71
39        1227.89        1263.72
40           1227        1249.86
41        1185.05        1240.31
42        1185.05        1224.76
43        1185.05        1207.94
44        1178.65        1202.21
45        1178.65        1196.76
46        1150.69        1193.71
47        1149.84        1181.85
48        1149.84        1171.29
49        1135.38        1165.39
50        1135.38        1156.99
51        1135.38        1147.36
52        1132.93        1142.74
53        1132.93        1140.35
54        1122.86        1135.99
55        1120.41        1132.74
56        1094.41        1127.65
57        1094.41        1116.28
58           1084        1108.42
59        1077.46        1100.58
60        1063.47        1091.48
61        1061.02        1080.71
62        1055.53         1070.3
63        1043.75        1061.46
64        1034.77        1054.87
65        1034.77        1048.66
66        1034.77        1043.43
67         1025.7        1038.53
68         1025.7        1035.99
69        1023.84        1035.18
70        1017.21        1030.34
71        1017.21        1027.37
72        1016.73        1022.69
73        996.862        1019.29
74        996.862        1013.26
75        981.578        1008.02
76        963.485        1000.12
77        957.181        989.183
78        949.414        978.417
79        947.888        966.083
80        934.554        959.055
81        932.665        951.257
82        930.582        943.392
83        930.582        938.345
84        919.488        936.971
85        919.488        930.935
86        915.182         923.72
87        915.182        920.465
88        915.182        917.307
89        915.182        916.784
90        907.618        915.864
91        880.334        913.057
92        880.334        904.947
93         872.77        898.609
94         872.77        886.613
95        868.132        877.715
96        863.845         872.97
97        863.845        869.317
98        863.845        867.222
99        861.194        866.561
100        856.654        864.584
101        846.618        862.435
102        846.618        858.599
103        835.426        854.959
104        835.426        853.587
105        812.655        849.224
106        812.655        849.402
107        799.503        835.741
108        799.503        826.416
109        797.533        822.382
110        787.267        815.493
111        787.267        800.298
112        787.267        794.912
113        784.717         792.77
114        784.717        790.111
115        782.359         789.43
116        782.359        787.225
117        773.695        784.831
118        773.695        781.618
119        767.832        778.501
120        764.311        775.469
121        764.311        773.116
122        759.827        771.361
123        750.153        766.981
124        727.371          763.9
125        727.371        756.815
126         725.31        742.906
127        719.116        737.114
128        719.116         730.21
129        712.932        727.223
130        693.106        721.655
131        693.106        715.539
132        686.921        707.592
133        663.483        704.701
134        659.885        694.726
135        659.885        688.935
136        659.885        680.838
137        659.885        676.664
138        657.586        672.005
139        648.926        668.993
140        648.926        661.983
141        648.926        659.695
142        648.926        657.531
143        648.926        659.641
144        648.926        662.158
145        648.926        656.512
146        648.926        653.991
147        648.926        655.453
148        646.891        655.271
149        646.891        650.695
150        643.671        648.676
151        641.301         646.99
152        641.301        644.925
153        629.064        643.237
154        629.064        640.598
155        625.489        636.293
156        625.489        632.112
157        625.489        628.968
158        621.315        629.171
159        621.315          629.4
160        607.029        628.099
161        607.029        625.983
162        603.515        619.359
163        603.515        615.173
164        595.483         611.16
165        595.159        608.108
166        595.159        608.192
167        595.159        605.109
168         577.65        605.911
169         577.65        609.195
170         577.65        611.162
171         577.65        602.716
172         577.65        612.963
173         577.65        608.758
174         577.65        599.285
175         577.65        604.356
176         577.65        605.591
177        575.119        607.679
178        575.119        596.147
179        575.119        583.769
180        559.869        578.253
181        559.869        573.238
182        559.869        568.786
183        559.869         565.13
184        559.869        565.427
185        557.517        565.921
186        557.517        563.903
187        555.995         567.67
188        555.995        563.314
189        554.095        566.399
190        554.095        562.481
191        554.095        562.237
192        553.172        568.134
193        553.172        559.479
194        550.464        556.166
195        550.464        556.718
196        550.464        552.488
197        550.464        551.723
198        542.502        551.414
199        542.502        550.661
200        495.967        546.952
201        495.967         535.17
202         493.82        519.811
203        484.591        506.581
204        484.591        497.393
205        484.591        492.635
206        484.591        489.335
207        484.591        487.985
208        484.591        487.765
209        477.056        486.748
210        477.056        485.406
211        477.056        484.322
212        476.327        481.707
213        476.327        481.052
214        476.327        480.446
215        476.327        478.184
216        476.327        478.537
217        466.835        478.667
218        466.835        478.806
219        466.835        480.898
220        466.835        477.026
221        466.835        477.963
222        466.835        471.978
223        464.773        473.718
224        447.772        474.514
225        447.772        469.709
226         445.71        464.386
227        435.283        457.054
228        435.283        450.935
229        433.221        444.199
230        433.221        440.088
231        433.221        439.302
232        433.085        436.677
233        433.085        436.795
234        433.085        438.961
235        425.712        444.438
236        425.712        439.972
237        425.712        433.519
238        425.712         429.74
239        425.712        428.138
240        425.712        430.931
241        424.336        429.154
242        424.336        428.212
243        424.336        426.523
244        424.336        425.857
245        424.336        424.781
246        424.336        424.921
247        407.589        424.986
248        407.589        420.792
249        407.589        416.287
250        407.589        415.411
251        406.579        411.914
252        406.579        410.224
253        402.692         407.41
254        402.692        406.468
255        402.692        405.022
256        402.692        404.374
257        402.692        404.102
258        402.692        403.881
259        402.692        404.168
260        396.656        404.262
261        396.656        403.446
262        396.656        402.989
263        396.656        401.262
264        396.656        402.387
265        396.552        408.441
266        396.552        401.801
267        396.552        399.359
268        396.552        399.331
269        396.552        399.447
270        396.552        399.739
271        395.124        398.667
272        395.124        399.401
273        395.124        398.911
274        395.124        399.375
275        390.238         399.65
276        390.238        398.243
277        390.238        395.672
278        377.078        395.424
279        377.078         394.17
280        377.078        387.481
281        377.078        382.573
282        377.078        382.395
283        373.281         381.64
284        369.175        380.945
285        369.175        377.406
286        369.175        377.113
287        369.175        376.562
288        363.785         377.02
289        363.785        373.754
290        363.785        368.778
291        363.785         367.46
292        362.175         366.15
293        355.037        365.439
294        355.037         362.68
295        353.427         361.34
296        336.853        359.341
297        336.853        357.207
298        335.243        352.288
299        331.519        348.206
300        331.519        342.664
301        331.519        336.061
302        331.519        333.916
303        331.519         333.87
304        331.519        333.722
305        331.519        333.768
306        331.519         335.08
307        331.519        334.017
308        331.519         334.53
309        331.519         334.13
310        331.519        335.091
311        331.519        333.806
312        331.519        336.239
313        331.519        334.541
314        331.519        333.636
315        331.519        333.016
316        331.519        333.127
317        331.519        333.528
318        331.519        333.086
319        331.519        334.636
320        331.519        333.791
321        331.519        333.673
322        331.519        334.547
323        319.502        335.257
324        319.502        331.211
325        318.843         330.82
326        318.843        323.781
327         318.76        319.927
328        314.523        320.326
329        314.523        319.839
330        314.523        318.523
331         313.29        316.975
332         313.29        314.904
333        307.482        314.167
334        307.482        312.946
335        306.249        311.197
336        304.709         309.79
337        303.367        308.226
338        303.334        305.654
339        303.334        304.166
340        303.334        303.635
341        303.334         303.43
342        303.334        303.352
343        303.334        303.342
344        303.334        303.349
345        303.334        303.356
346        303.334        303.356
347        303.334        303.422
348        303.334        304.262
349        295.947        304.025
350        295.947        301.977
351        295.947        300.126
352        295.947        298.698
353        295.947        298.587
354        295.947        297.969
355        295.947        297.709
356         294.46        297.566
357         294.46        296.001
358        293.716         295.45
359        293.716        295.142
360        293.716        294.311
361        292.496        294.275
362        290.749        293.692
363        290.749        293.242
364        290.555        292.468
365        289.614        292.787
366        289.614        293.022
367        286.371        292.238
368        285.236        293.089
369        285.236        292.102
370        281.024        288.322
371        281.024        286.998
372        281.024         285.31
373        281.024        284.155
374        281.024        283.575
375        281.024        282.888
376        281.024         281.51
377        281.024        281.564
378        281.024        281.671
379         279.66        282.507
380         279.66        281.646
381        275.333        281.382
382        275.333        279.631
383        275.333        278.356
384        275.333        277.602
385        275.333        277.066
386        275.333         276.92
387         264.21        276.859
388         264.21        274.903
389         264.21        270.373
390         264.21        267.385
391        262.869        267.182
392        262.869        265.739
393        262.869        264.707
394        262.869        263.477
395        262.869        263.405
396        262.869        263.369
397        259.629        263.369
398        259.629        262.989
399        258.288        262.087
400        257.312        261.048
401        257.312         259.78
402        257.312        258.551
403        257.312        258.497
404        257.312        258.026
405        257.312        259.295
406        257.156        257.768
407        257.156        257.873
408        257.156        257.458
409        254.339        257.183
410        254.183        256.937
411        247.964        256.021
412        247.964        254.295
413        247.964        252.569
414        247.964        250.031
415        247.964        249.948
416        247.964        248.311
417        247.964        248.176
418        247.964        248.571
419        247.964         248.21
420        247.964        248.335
421        247.964         248.17
422        247.964        248.203
423        247.964        248.168
424        247.964        248.174
425        247.964         249.05
426        247.964        250.213
427        246.837         253.43
428        246.837        253.363
429        246.837        247.469
430        246.837        247.249
431        246.837        247.039
432        246.837        247.023
433        246.837        247.045
434        246.837        246.992
435        246.837        247.098
436        238.095        246.928
437        234.801        245.792
438        234.801        242.172
439        234.801        238.888
440        234.801        236.472
441        234.801        235.793
442        234.801        235.547
443        234.801        235.426
