Generation  Best distance  Mean distance
1        2436.78        2843.89
2        2425.37        2682.23
3        2300.69        2564.13
4           2176        2437.66
5        2099.32        2356.46
6        2053.46        2228.37
7        1963.33        2162.42
8        1888.11        2077.17
9        1845.27        2021.24
10        1839.38        1963.15
11        1820.24        1882.31
12        1760.45        1845.52
13        1744.92        1802.39
14         1655.2        1776.86
15        1609.17        1733.69
16        1470.47        1680.85
17        1470.47        1604.05
18        1470.47        1577.33
19        1470.47        1540.66
20        1470.47        1523.44
21        1445.13        1511.83
22        1445.13        1493.68
23        1402.04        1472.86
24        1394.81         1449.1
25        1376.34        1420.68
26        1341.64        1400.14
27        1336.47        1381.95
28        1322.48        1365.61
29        1278.82        1356.03
30        1275.88        1342.99
31        1275.88        1318.94
32        1245.69        1299.48
33        1239.93        1281.41
34        1218.19        1264.14
35        1218.19        1250.28
36        1195.02         1233.8
37        1177.59        1227.25
38        1177.59        1218.95
39        1177.59        1198.95
40        1144.29        1195.44
41        1140.21        1186.32
42        1103.05        1172.59
43           1083        1153.87
44        1055.96        1115.84
45        1055.68        1105.74
46        1046.96        1089.34
47        1018.16        1071.26
48         999.87        1055.56
49        993.804        1022.42
50        993.804        1006.89
51        993.804        999.082
52        993.534        996.916
53        990.416        995.617
54        981.909        993.515
55        981.909         990.69
56        981.909        986.732
57        981.909        984.237
58        971.383        983.789
59        965.317        981.627
60        963.751        978.214
61        963.751        971.642
62        954.145        970.306
63        936.674        968.136
64        936.674        962.777
65        924.069         955.98
66        913.467        941.223
67        913.467        933.425
68        913.467        925.523
69        885.231        923.934
70        885.231        916.039
71        885.231        906.287
72        885.231        910.089
73        885.231        903.058
74        885.231        907.484
75        876.926        901.101
76        858.211         891.32
77        858.211        880.529
78        849.929        872.037
79        849.929        864.993
80        849.741        859.392
81        841.166        855.198
82        841.166        850.102
83        841.166        845.989
84        839.472        846.651
85        839.472        846.983
86        839.472         841.29
87        839.472        841.504
88        832.939        841.102
89        832.939        838.483
90        824.861        836.218
91        824.861        834.933
92        802.637        830.076
93        792.197        825.668
94        792.197        816.609
95        792.197        811.816
96        792.197        807.075
97        792.197        802.488
98        778.132        798.801
99        778.132        802.971
100        778.132        797.631
101         767.93        787.952
102        746.442        782.339
103        746.442        767.879
104        734.479        761.238
105        734.479        752.611
106        734.479        746.852
107        734.479        745.726
108        734.479         744.07
109        720.084        742.049
110        720.084        736.201
111        720.084        729.404
112        720.084        729.988
113         714.76        729.808
114        712.188        724.221
115         712.07         725.25
116        698.278        718.791
117        694.244         715.81
118        688.997        707.841
119        682.563        702.775
120        682.563         697.01
121        674.386        693.652
122        672.715        691.413
123        672.715        687.116
124        658.448         677.28
125        658.448        675.015
126        658.448        674.879
127        657.313        696.286
128        651.376        685.043
129        651.376        667.236
130        650.242        663.334
131        650.242        659.387
132        626.263        652.765
133        626.263        647.842
134        625.679        641.765
135        616.379        636.878
136        616.379        627.551
137        609.444         624.88
138        609.444        619.981
139        609.444        617.172
