Generation  Best distance  Mean distance
1        2394.93        2786.49
2         2270.8        2587.58
3        2246.11        2455.09
4         2215.2        2372.15
5        2199.54        2311.38
6        2087.95        2246.55
7        2070.72         2202.8
8        2059.51        2155.08
9        2008.03         2109.6
10        1962.91        2061.53
11        1911.21        2029.68
12        1870.05        1996.67
13         1799.6        1963.32
14        1665.08        1931.02
15        1665.08        1877.03
16        1551.13        1813.98
17        1551.13        1733.86
18        1536.75        1665.92
19        1527.38        1612.81
20        1510.43        1579.03
21        1494.25        1554.62
22        1480.72        1544.22
23        1475.75        1531.41
24        1450.43        1516.05
25        1430.16        1496.53
26        1393.69        1474.66
27        1361.73        1454.75
28        1346.48        1428.53
29        1326.16        1404.12
30        1297.66        1379.28
31        1290.78        1354.83
32        1255.66        1335.37
33        1203.16        1313.19
34        1175.93        1280.12
35         1175.2        1240.25
36        1142.23        1206.24
37        1142.23        1180.32
38        1133.43        1166.75
39        1111.76        1155.52
40        1111.76        1147.11
41        1102.95        1133.69
42        1088.33        1123.95
43        1087.97        1112.22
44        1062.36        1104.48
45        1056.91        1095.46
46        1044.56        1081.69
47        1038.97        1068.71
48        1030.76        1059.71
49        994.297         1048.6
50        994.297        1034.37
51        979.978        1021.64
52        969.484        1009.74
53        929.137         994.93
54        912.495        977.029
55        902.343        954.273
56        898.177        935.355
57        879.945        917.208
58        875.778        910.354
59        875.778         906.21
60        875.778         895.86
61        848.933        889.502
62        845.925        879.008
63        838.445        869.765
64        803.911        859.741
65          798.3        847.946
66        755.402        837.064
67        755.402        817.156
68        749.792        797.215
69        749.792        778.939
70        749.792         767.99
71        749.792        758.411
72        748.269        753.117
73        722.581        750.759
74         716.97        745.684
75        709.089        734.826
76        696.301         726.91
77        689.021         712.42
78        681.888        703.032
79        681.888        695.303
80        681.888        687.913
81         680.75        685.251
82        678.768        683.846
83        674.427        681.899
84        670.922        679.957
85        670.922         677.68
86        669.005        675.006
87        668.736        672.904
88        660.962        670.845
89        652.963        669.074
90        650.928        667.198
91        650.928        665.216
92        646.463        664.497
93        646.463        661.069
94        642.723        662.914
95        642.723        661.429
96        637.642        666.866
97        637.642        665.429
98        632.867         650.27
99        629.126        643.192
100        629.126        636.771
101        628.159        636.485
102        625.952        633.917
103        625.952         630.02
104        619.513        628.246
105        604.834        626.452
106        601.659        623.886
107        601.659        620.169
108        596.102        612.924
109        596.102        607.953
110        593.381        604.331
111        593.381         598.89
112        585.866        596.807
113        585.866        594.274
114        580.863        591.682
115        579.849        588.617
116        576.802        586.394
117        576.708        583.236
118        570.103         580.21
119        570.008         577.65
120        567.382        575.223
121        562.015        572.975
122        552.114        570.475
123        545.414        565.508
124        540.658         558.95
125        532.133        552.602
126        498.115        543.947
127        498.115        536.839
128        470.269        526.122
129        466.028        509.041
130        461.131        492.659
131        456.333        480.759
132        456.255        465.693
133        455.972        460.386
134        454.758        458.061
135        448.915        456.355
136        446.786        454.793
137        442.152        452.047
138        437.277         449.46
139        433.648        445.671
140        430.649        440.805
141        430.649        437.026
142        427.423        435.417
143        420.558        432.825
144        420.558        431.116
145        417.272        429.832
146        417.272        427.385
147        417.272        423.636
148         413.81        420.321
149         413.81        418.534
150         413.81         416.82
151        411.404        415.681
152        408.091        415.173
153        403.601        413.502
154        401.195        411.212
155        401.195        409.035
156        401.195        406.037
157        399.296        404.358
158        397.076        403.014
159        384.748         400.74
160        373.905        398.463
161        359.358        397.929
162        359.358        398.249
163        357.466        395.233
164        350.637        384.527
165        350.426        379.943
166        348.746        362.718
167        348.746        355.551
168        348.233        351.918
169        346.895        350.472
170        345.312        349.362
171        333.375        347.937
172        332.998         345.01
173        331.147        340.395
174        316.143        335.854
175        315.631        332.289
176         313.78        326.948
177        310.034        320.313
178        310.034        315.479
179        309.522        313.329
180        309.522        312.126
181        307.682         310.81
182        307.682        310.307
183        307.682        309.684
184        301.672        309.649
185        301.672        310.026
186        301.672        307.905
187        280.834        306.199
188        278.211        303.015
189        278.211        296.176
190        278.211        288.459
191        278.211        282.746
192        278.211        281.396
193        274.693        281.764
194        274.693        280.629
195        273.543        278.194
196        273.543        276.284
197        273.543          280.7
198        273.543        278.898
199        272.787        278.193
200        272.787        277.675
201        272.787         276.15
202        272.787        274.342
203        272.372        274.338
204        272.372        273.905
205        271.022        274.677
206        271.022        275.206
