          Media         Errore
        167.523              0
        166.414        1.10915
        167.051       0.903234
        167.299       0.685185
        166.824       0.712118
        166.768       0.584159
        166.993       0.542536
        167.505       0.694799
        167.231        0.67109
        167.258       0.600857
        167.497       0.593476
        167.529       0.542738
        167.489       0.500899
        167.757       0.535622
        167.958       0.537818
        167.745       0.546278
        167.553       0.547872
        167.638       0.523388
          167.5       0.513738
        167.556       0.490544
        167.528       0.467415
        167.467        0.44994
         167.53       0.434661
        167.424       0.429609
         167.55       0.430998
        167.487       0.418932
        167.333       0.431269
        167.384       0.418641
        167.402       0.404351
         167.38        0.39128
        167.392       0.378656
        167.401       0.366744
        167.315       0.365876
        167.367       0.358803
        167.359       0.348495
        167.338       0.339333
        167.298       0.332412
        167.349       0.327473
        167.313       0.320902
        167.234       0.322769
        167.197       0.316947
        167.191       0.309359
        167.186       0.302121
        167.253       0.302604
        167.273        0.29652
        167.272       0.290005
        167.273       0.283767
        167.276       0.277818
        167.265       0.272325
        167.224       0.269956
        167.204       0.265397
        167.214       0.260459
        167.225       0.255721
        167.232       0.251039
        167.172       0.253507
        167.172       0.248939
        167.189       0.245059
          167.2       0.241087
        167.264       0.245269
        167.273       0.241332
        167.251       0.238366
        167.254        0.23451
        167.276       0.231812
         167.24       0.231072
        167.221       0.228214
        167.278       0.231794
        167.293       0.228767
        167.302       0.225589
        167.344       0.226089
        167.348       0.222877
        167.335       0.220096
        167.357       0.218168
        167.338       0.216052
        167.301       0.216204
        167.268       0.215834
        167.275       0.213064
        167.259       0.210872
        167.263       0.208189
        167.271       0.205705
        167.256       0.203698
        167.271       0.201725
        167.309       0.202811
        167.312       0.200378
        167.288       0.199392
        167.275       0.197488
        167.266       0.195354
        167.277       0.193369
        167.272       0.191213
        167.256       0.189777
        167.264       0.187828
        167.301       0.189417
        167.311       0.187617
        167.287       0.187047
        167.288       0.185047
        167.285       0.183109
        167.256       0.183437
        167.279       0.182873
        167.276        0.18102
        167.239       0.182952
        167.204       0.184503
