          Media         Errore
        14.9777              0
        14.9953      0.0176867
        15.0187      0.0254743
        14.9565      0.0647465
        14.9594      0.0502371
        14.9198      0.0570251
        14.9153      0.0484074
        14.9456      0.0517505
        14.9517      0.0460461
        14.9245      0.0493913
        14.9025      0.0497651
        14.8965      0.0458218
        14.9138      0.0455647
         14.917      0.0423012
        14.9428      0.0471011
        14.9319      0.0454039
         14.953        0.04759
        14.9539      0.0448771
        14.9583      0.0426857
         14.951      0.0411618
        14.9474      0.0393138
        14.9497      0.0375529
        14.9465      0.0360203
        14.9438      0.0345936
        14.9384      0.0336241
        14.9495      0.0341598
        14.9601       0.034536
        14.9681      0.0342382
        14.9786      0.0346661
        14.9807      0.0335555
        14.9763      0.0327543
        14.9663      0.0332617
        14.9653      0.0322517
        14.9596      0.0318151
        14.9642      0.0312446
        14.9531      0.0323427
        14.9551      0.0315166
        14.9589      0.0309196
        14.9638      0.0305046
        14.9638      0.0297322
        14.9577      0.0296306
        14.9577      0.0289165
        14.9608      0.0284055
        14.9646      0.0280185
        14.9624      0.0274776
        14.9617       0.026882
         14.966      0.0266555
         14.976      0.0279225
        14.9713       0.027738
         14.975      0.0274291
        14.9673      0.0279712
        14.9713      0.0277206
        14.9706      0.0272022
          14.97      0.0267001
        14.9685      0.0262534
        14.9684      0.0257807
         14.964      0.0256992
        14.9688      0.0257095
        14.9644      0.0256549
        14.9615      0.0253946
        14.9562      0.0255226
        14.9605      0.0254746
        14.9597      0.0250802
        14.9654      0.0253285
        14.9625      0.0251046
        14.9641      0.0247749
        14.9589      0.0249478
        14.9619      0.0247619
        14.9615      0.0244034
        14.9617      0.0240525
        14.9614      0.0237132
        14.9647      0.0236205
        14.9655      0.0233072
        14.9696      0.0233575
        14.9696       0.023044
        14.9734      0.0230586
        14.9728      0.0227638
        14.9733      0.0224748
        14.9752      0.0222686
        14.9772      0.0220783
        14.9785      0.0218423
        14.9791      0.0215845
        14.9765      0.0214792
        14.9777      0.0212538
        14.9772       0.021008
        14.9758      0.0208132
        14.9764      0.0205817
        14.9763      0.0203465
         14.975      0.0201607
        14.9772      0.0200511
        14.9756      0.0198906
        14.9759       0.019676
        14.9783      0.0196027
        14.9801      0.0194815
        14.9799      0.0192763
        14.9793      0.0190853
        14.9769      0.0190328
        14.9711      0.0197195
        14.9727      0.0195849
        14.9737       0.019414
