          Media         Errore
        5.32956              0
        5.37899      0.0494205
        5.39156      0.0311806
        5.41794      0.0343785
        5.42007      0.0267148
        5.42901      0.0235722
         5.4252      0.0202833
        5.43858      0.0220806
        5.43585      0.0196634
         5.4385      0.0177859
        5.44899      0.0192082
        5.44497      0.0179902
        5.44099      0.0170213
        5.45407      0.0204817
        5.44621       0.020624
        5.44999      0.0196593
        5.44408      0.0193909
        5.44505      0.0183079
        5.44893      0.0177465
        5.45898      0.0196087
        5.45333      0.0194907
        5.45185      0.0186419
        5.45893      0.0191669
        5.45748      0.0184083
        5.45291      0.0182382
        5.44488      0.0192739
         5.4438      0.0185779
        5.44565      0.0179979
        5.44724      0.0174385
        5.44781      0.0168568
        5.45016      0.0164724
        5.45539      0.0167872
        5.45986      0.0168723
        5.46339      0.0167454
        5.46124      0.0164013
        5.46346      0.0160924
        5.46013      0.0160023
        5.45897      0.0156187
        5.45886      0.0152133
         5.4584      0.0148354
        5.45861      0.0144706
        5.45702      0.0142117
        5.45756      0.0138878
        5.45808      0.0135786
        5.45923      0.0133232
        5.45655      0.0133034
         5.4556      0.0130523
        5.45618      0.0127906
        5.45912      0.0128675
         5.4578      0.0126757
        5.45928       0.012512
        5.46012       0.012298
         5.4624      0.0122766
        5.46268      0.0120505
        5.46291      0.0118316
        5.46246       0.011627
        5.46434      0.0115746
         5.4625      0.0115213
        5.46355      0.0113732
        5.46271       0.011214
        5.46583      0.0114622
        5.46527      0.0112897
        5.46496      0.0111133
        5.46527      0.0109428
        5.46739      0.0109784
        5.46724      0.0108119
        5.46653      0.0106725
        5.46654      0.0105144
        5.46518      0.0104493
        5.46344      0.0104447
        5.46245      0.0103443
        5.46378      0.0102863
        5.46443      0.0101649
        5.46289      0.0101437
        5.46237      0.0100214
        5.46146     0.00993007
        5.46229     0.00983527
        5.46228     0.00970836
        5.46158      0.0096105
        5.46246     0.00952993
        5.46357     0.00947681
        5.46265     0.00940541
        5.46416     0.00941368
        5.46327     0.00934328
        5.46225      0.0092892
        5.46281     0.00919743
         5.4619     0.00913587
        5.46147     0.00904202
        5.46212     0.00896341
        5.46017     0.00907332
        5.45829      0.0091689
        5.45891     0.00909003
        5.46016     0.00907821
        5.46043     0.00898509
        5.46119     0.00892226
        5.46064     0.00884563
        5.46104     0.00876292
        5.46246     0.00878836
        5.46141     0.00876211
        5.46052     0.00871957
