#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.82162     1.82162           0
           2     1.84546     1.83354  0.00843196
           3     1.83286     1.83331  0.00562438
           4     1.79358     1.82338  0.00958164
           5     1.79481     1.81767  0.00921225
           6     1.84437     1.82212  0.00868559
           7     1.80611     1.81983  0.00773983
           8     1.80309     1.81774  0.00704968
           9     1.81892     1.81787   0.0062676
          10     1.77268     1.81335  0.00708488
          11      1.7898     1.81121  0.00675639
          12       1.773     1.80803  0.00690293
          13     1.77517      1.8055  0.00681888
          14       1.816     1.80625  0.00637298
          15     1.81441     1.80679  0.00597129
          16     1.79004     1.80575  0.00568915
          17     1.77924     1.80419  0.00556403
          18     1.82509     1.80535  0.00537478
          19     1.86764     1.80863  0.00600931
          20     1.83826     1.81011  0.00588863
          21      1.8066     1.80994   0.0056106
          22     1.79278     1.80916  0.00540955
          23     1.83467     1.81027   0.0052868
          24     1.83185     1.81117   0.0051424
          25     1.89358     1.81447  0.00589951
          26     1.83216     1.81515  0.00571174
          27     1.77919     1.81381  0.00565328
          28     1.84241     1.81484  0.00554285
          29     1.78637     1.81385  0.00543794
          30     1.84926     1.81503  0.00538324
          31     1.81977     1.81519  0.00521175
          32     1.82332     1.81544  0.00505508
          33     1.81931     1.81556  0.00490326
          34     1.82446     1.81582  0.00476603
          35     1.86981     1.81736  0.00487312
          36     1.84571     1.81815  0.00480093
          37     1.81579     1.81809   0.0046716
          38     1.80881     1.81784  0.00455504
          39     1.83248     1.81822  0.00445367
          40      1.8356     1.81865  0.00436348
          41     1.81534     1.81857   0.0042578
          42     1.79468       1.818  0.00419426
          43     1.84865     1.81872  0.00415683
          44     1.81712     1.81868  0.00406251
          45     1.82803     1.81889  0.00397755
          46     1.77962     1.81803  0.00398164
          47     1.77418      1.8171  0.00400474
          48     1.77507     1.81622  0.00401588
          49     1.80091     1.81591  0.00394607
          50      1.8157     1.81591  0.00386715
          51     1.81433     1.81588  0.00379145
          52     1.78775     1.81534  0.00375692
          53     1.84874     1.81597  0.00373853
          54     1.86506     1.81687   0.0037782
          55     1.81325     1.81681  0.00371008
          56     1.81074      1.8167  0.00364542
          57     1.84275     1.81716  0.00360999
          58      1.8422     1.81759  0.00357348
          59     1.80967     1.81745  0.00351544
          60     1.79148     1.81702  0.00348339
          61     1.78088     1.81643  0.00347632
          62     1.81215     1.81636  0.00342094
          63     1.76227      1.8155   0.0034727
          64     1.85046     1.81605  0.00346112
          65     1.83394     1.81632  0.00341881
          66     1.78292     1.81582  0.00340426
          67     1.75507     1.81491  0.00347211
          68     1.81221     1.81487  0.00342127
          69     1.80408     1.81471  0.00337526
          70     1.77646     1.81417  0.00337099
          71     1.77987     1.81369  0.00335794
          72     1.79209     1.81339  0.00332467
          73     1.83756     1.81372  0.00329558
          74     1.79871     1.81351  0.00325728
          75     1.79602     1.81328  0.00322219
          76     1.79116     1.81299  0.00319291
          77     1.79647     1.81277  0.00315865
          78     1.78669     1.81244  0.00313581
          79     1.79031     1.81216   0.0031086
          80     1.79252     1.81191  0.00307942
          81     1.75495     1.81121  0.00312068
          82     1.78964     1.81095  0.00309369
          83     1.78765     1.81067  0.00306913
          84     1.76055     1.81007  0.00309005
          85     1.83717     1.81039   0.0030701
          86     1.80151     1.81029  0.00303614
          87      1.7576     1.80968  0.00306103
          88      1.7645     1.80917  0.00306901
          89     1.74293     1.80842  0.00312347
          90     1.73418      1.8076  0.00319585
          91     1.80679     1.80759  0.00316074
          92     1.78551     1.80735  0.00313548
          93     1.76649     1.80691  0.00313239
          94     1.82867     1.80714  0.00310761
          95     1.87251     1.80783  0.00315015
          96     1.79861     1.80773   0.0031188
          97     1.79278     1.80758  0.00309045
          98     1.82098     1.80772  0.00306194
          99     1.76576     1.80729  0.00306021
         100     1.77513     1.80697  0.00304645
