#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.414475   -0.414475           0
           2   -0.438388   -0.426431  0.00845448
           3   -0.425717   -0.426193  0.00563967
           4   -0.386508   -0.416272  0.00957682
           5   -0.387793   -0.410576  0.00920064
           6   -0.437328   -0.415035  0.00868056
           7   -0.398982   -0.412741  0.00773747
           8   -0.395847   -0.410629   0.0070526
           9   -0.411638   -0.410741  0.00626986
          10   -0.365661   -0.406233  0.00708043
          11   -0.382865   -0.404109  0.00674794
          12   -0.365849   -0.400921  0.00689785
          13   -0.368017    -0.39839  0.00681579
          14   -0.408832   -0.399135  0.00636963
          15     -0.4073    -0.39968   0.0059682
          16   -0.382858   -0.398628  0.00568704
          17   -0.372118   -0.397069  0.00556221
          18   -0.418064   -0.398235   0.0053741
          19   -0.460562   -0.401516  0.00600958
          20   -0.431221   -0.403001  0.00588979
          21   -0.399557   -0.402837  0.00561161
          22   -0.385679   -0.402057  0.00541046
          23   -0.427444   -0.403161  0.00528661
          24   -0.424722   -0.404059   0.0051421
          25   -0.486465   -0.407355  0.00589904
          26   -0.424981   -0.408033  0.00571097
          27   -0.372007   -0.406699  0.00565318
          28   -0.435187   -0.407716  0.00554208
          29   -0.379193   -0.406733  0.00543755
          30   -0.442119   -0.407912  0.00538272
          31   -0.412581   -0.408063  0.00521119
          32   -0.416153   -0.408316  0.00505447
          33   -0.412335   -0.408438  0.00490277
          34   -0.417534   -0.408705  0.00476587
          35   -0.462862   -0.410253  0.00487442
          36   -0.438629   -0.411041  0.00480233
          37   -0.408552   -0.410973    0.004673
          38   -0.401626   -0.410728   0.0045565
          39   -0.425354   -0.411103  0.00445507
          40   -0.428566   -0.411539  0.00436504
          41   -0.408368   -0.411462  0.00425926
          42   -0.387713   -0.410896  0.00419521
          43   -0.441583    -0.41161  0.00415791
          44   -0.409955   -0.411572  0.00406358
          45   -0.420827   -0.411778  0.00397848
          46    -0.37247   -0.410924   0.0039827
          47   -0.367065    -0.40999   0.0040058
          48   -0.367956   -0.409115  0.00401692
          49   -0.393857   -0.408803  0.00394699
          50    -0.40862     -0.4088  0.00386806
          51   -0.407315    -0.40877  0.00379232
          52   -0.380636   -0.408229  0.00375779
          53   -0.441682   -0.408861  0.00373952
          54   -0.458015   -0.409771  0.00377944
          55   -0.406245   -0.409707  0.00371126
          56   -0.403701     -0.4096  0.00364654
          57   -0.435732   -0.410058  0.00361127
          58   -0.435109    -0.41049  0.00357474
          59   -0.402562   -0.410356  0.00351668
          60   -0.384374   -0.409923  0.00348462
          61   -0.373741   -0.409329  0.00347761
          62      -0.405    -0.40926  0.00342222
          63   -0.355077     -0.4084  0.00347429
          64    -0.44336   -0.408946  0.00346268
          65   -0.426769    -0.40922  0.00342025
          66   -0.375731   -0.408713  0.00340586
          67   -0.347933   -0.407805  0.00347373
          68   -0.405008   -0.407764  0.00342289
          69   -0.396917   -0.407607  0.00337689
          70   -0.369358   -0.407061  0.00337257
          71   -0.372798   -0.406578  0.00335942
          72   -0.384954   -0.406278  0.00332616
          73   -0.430414   -0.406608  0.00329698
          74    -0.39161   -0.406406  0.00325865
          75   -0.388885   -0.406172  0.00322357
          76   -0.383964    -0.40588  0.00319437
          77   -0.389238   -0.405664  0.00316019
          78   -0.379434   -0.405327  0.00313751
          79   -0.383098   -0.405046  0.00311039
          80    -0.38541   -0.404801  0.00308118
          81    -0.34777   -0.404097  0.00312255
          82   -0.382326   -0.403831  0.00309574
          83   -0.380361   -0.403548  0.00307133
          84   -0.353405   -0.402951  0.00309223
          85   -0.430052    -0.40327  0.00307224
          86    -0.39454   -0.403169   0.0030382
          87   -0.350591   -0.402564  0.00306279
          88   -0.357432   -0.402051  0.00307063
          89   -0.335744   -0.401306   0.0031252
          90   -0.326989   -0.400481  0.00319771
          91   -0.399642   -0.400471  0.00316258
          92   -0.378307   -0.400231  0.00313737
          93   -0.359331   -0.399791   0.0031343
          94   -0.421488   -0.400022  0.00310945
          95   -0.465341   -0.400709  0.00315182
          96   -0.391489   -0.400613  0.00312045
          97   -0.385822   -0.400461  0.00309201
          98   -0.414025   -0.400599  0.00306355
          99   -0.358636   -0.400175  0.00306179
         100    -0.36792   -0.399853  0.00304811
