#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0473479   0.0473479           0
           2   0.0507637   0.0490558  0.00120763
           3   0.0493771   0.0491629 0.000809825
           4   0.0494355   0.0492311  0.00061023
           5    0.051186    0.049622 0.000600515
           6   0.0511135   0.0498706 0.000549474
           7   0.0472948   0.0495026 0.000581275
           8   0.0494792   0.0494997 0.000508623
           9     0.05478   0.0500864 0.000714404
          10   0.0508596   0.0501637 0.000647134
          11   0.0502975   0.0501759 0.000588418
          12    0.052222   0.0503464 0.000563546
          13    0.049882   0.0503107 0.000521327
          14   0.0489195   0.0502113  0.00049347
          15   0.0479341   0.0500595 0.000483361
          16   0.0519109   0.0501752 0.000466796
          17   0.0490327    0.050108 0.000444149
          18   0.0472832   0.0499511 0.000446339
          19   0.0504908   0.0499795 0.000423751
          20    0.050355   0.0499982 0.000402979
          21   0.0474787   0.0498783 0.000401252
          22   0.0492657   0.0498504 0.000383979
          23   0.0524391    0.049963 0.000383425
          24   0.0488681   0.0499174 0.000370153
          25   0.0477109   0.0498291 0.000365718
          26   0.0521054   0.0499166  0.00036198
          27   0.0484826   0.0498635 0.000352448
          28   0.0527135   0.0499653 0.000354254
          29   0.0493431   0.0499439 0.000342687
          30    0.050564   0.0499645 0.000331887
          31   0.0524713   0.0500454 0.000330886
          32   0.0521813   0.0501121 0.000327208
          33   0.0519391   0.0501675 0.000321943
          34   0.0492681   0.0501411 0.000313559
          35   0.0545682   0.0502675 0.000329126
          36   0.0504346   0.0502722 0.000320016
          37   0.0506816   0.0502833 0.000311558
          38   0.0495939   0.0502651 0.000303887
          39   0.0502913   0.0502658 0.000296096
          40   0.0489013   0.0502317 0.000290652
          41   0.0476309   0.0501682 0.000290402
          42   0.0495916   0.0501545 0.000283812
          43   0.0498703   0.0501479 0.000277289
          44   0.0516802   0.0501827 0.000273165
          45   0.0507827   0.0501961  0.00026742
          46   0.0493765   0.0501782 0.000262199
          47   0.0490772   0.0501548 0.000257665
          48    0.048826   0.0501271  0.00025378
          49   0.0487962      0.0501  0.00025005
          50   0.0514383   0.0501267 0.000246477
          51   0.0486725   0.0500982 0.000243288
          52   0.0487168   0.0500716 0.000240056
          53   0.0517972   0.0501042 0.000237724
          54   0.0510454   0.0501216  0.00023396
          55   0.0493356   0.0501073 0.000230142
          56   0.0463255   0.0500398 0.000235733
          57   0.0486212   0.0500149 0.000232907
          58   0.0491317   0.0499997 0.000229389
          59   0.0506753   0.0500111 0.000225786
          60   0.0491728   0.0499972 0.000222455
          61   0.0487823   0.0499773 0.000219698
          62   0.0497057   0.0499729 0.000216198
          63   0.0478085   0.0499385 0.000215479
          64   0.0499647   0.0499389 0.000212112
          65   0.0481311   0.0499111 0.000210665
          66   0.0497835   0.0499092 0.000207482
          67   0.0501662    0.049913  0.00020442
          68   0.0488402   0.0498972 0.000202022
          69   0.0506909   0.0499087 0.000199421
          70   0.0501241   0.0499118 0.000196596
          71   0.0511775   0.0499296 0.000194634
          72   0.0519719    0.049958 0.000193987
          73   0.0496165   0.0499533 0.000191386
          74   0.0473956   0.0499188 0.000191895
          75   0.0491166   0.0499081 0.000189634
          76   0.0460502   0.0498573 0.000193814
          77   0.0487662   0.0498431 0.000191814
          78    0.047303   0.0498106   0.0001921
          79   0.0490553    0.049801 0.000189906
          80   0.0468288   0.0497639 0.000191132
          81   0.0510207   0.0497794 0.000189401
          82   0.0493691   0.0497744 0.000187157
          83   0.0545082   0.0498314 0.000193397
          84    0.048105   0.0498109 0.000192184
          85   0.0499027   0.0498119 0.000189926
          86   0.0506839   0.0498221 0.000187988
          87   0.0488829   0.0498113 0.000186137
          88   0.0497039   0.0498101 0.000184026
          89   0.0476078   0.0497853 0.000183614
          90   0.0480498    0.049766 0.000182584
          91   0.0479555   0.0497461 0.000181658
          92   0.0493482   0.0497418 0.000179735
          93   0.0524354   0.0497708 0.000180121
          94   0.0517159   0.0497915 0.000179389
          95   0.0520259    0.049815 0.000179036
          96   0.0471691   0.0497874  0.00017928
          97   0.0460456   0.0497489 0.000181535
          98   0.0513101   0.0497648  0.00018038
          99   0.0490325   0.0497574 0.000178709
         100   0.0528403   0.0497882 0.000179562
