#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.21441     1.21441           0
           2     1.23031     1.22236  0.00562131
           3      1.2219     1.22221  0.00374959
           4     1.19572     1.21559  0.00638776
           5     1.19654     1.21178   0.0061415
           6     1.22958     1.21474  0.00579039
           7     1.20408     1.21322  0.00515989
           8     1.20206     1.21182  0.00469979
           9     1.21261     1.21191   0.0041784
          10     1.18179      1.2089  0.00472325
          11      1.1932     1.20747  0.00450426
          12       1.182     1.20535  0.00460195
          13     1.18345     1.20367  0.00454592
          14     1.21067     1.20417  0.00424865
          15     1.20961     1.20453  0.00398086
          16     1.19336     1.20383  0.00379277
          17     1.18616     1.20279  0.00370935
          18     1.21673     1.20357  0.00358319
          19      1.2451     1.20575  0.00400621
          20      1.2255     1.20674  0.00392576
          21      1.2044     1.20663   0.0037404
          22     1.19518     1.20611  0.00360637
          23     1.22311     1.20685  0.00352453
          24     1.22123     1.20745  0.00342826
          25     1.26239     1.20964    0.003933
          26     1.22144      1.2101  0.00380783
          27     1.18613     1.20921  0.00376885
          28     1.22827     1.20989  0.00369523
          29     1.19091     1.20924  0.00362529
          30     1.23284     1.21002  0.00358882
          31     1.21318     1.21012   0.0034745
          32     1.21555     1.21029  0.00337006
          33     1.21287     1.21037  0.00326884
          34     1.21631     1.21055  0.00317735
          35     1.24654     1.21158  0.00324874
          36     1.23047      1.2121  0.00320062
          37     1.21053     1.21206   0.0031144
          38     1.20587     1.21189  0.00303669
          39     1.22165     1.21214  0.00296911
          40     1.22374     1.21243  0.00290899
          41     1.21022     1.21238  0.00283854
          42     1.19645       1.212  0.00279617
          43     1.23243     1.21248  0.00277122
          44     1.21141     1.21245  0.00270834
          45     1.21869     1.21259   0.0026517
          46     1.18641     1.21202  0.00265442
          47     1.18279      1.2114  0.00266983
          48     1.18338     1.21082  0.00267725
          49     1.20061     1.21061  0.00263071
          50     1.21046      1.2106   0.0025781
          51     1.20955     1.21058  0.00252763
          52     1.19183     1.21022  0.00250462
          53     1.23249     1.21064  0.00249235
          54     1.24337     1.21125   0.0025188
          55     1.20883     1.21121  0.00247339
          56     1.20716     1.21113  0.00243028
          57      1.2285     1.21144  0.00240666
          58     1.22813     1.21173  0.00238232
          59     1.20644     1.21164  0.00234362
          60     1.19432     1.21135  0.00232226
          61     1.18725     1.21095  0.00231755
          62      1.2081     1.21091  0.00228063
          63     1.17485     1.21033  0.00231513
          64     1.23364      1.2107  0.00230741
          65     1.22263     1.21088   0.0022792
          66     1.18861     1.21054  0.00226951
          67     1.17004     1.20994  0.00231474
          68     1.20814     1.20991  0.00228085
          69     1.20272     1.20981  0.00225017
          70     1.18431     1.20945  0.00224733
          71     1.18658     1.20912  0.00223863
          72     1.19473     1.20892  0.00221645
          73     1.22504     1.20914  0.00219705
          74     1.19914     1.20901  0.00217152
          75     1.19735     1.20885  0.00214813
          76     1.19411     1.20866  0.00212861
          77     1.19764     1.20852  0.00210577
          78     1.19112     1.20829  0.00209054
          79     1.19354     1.20811   0.0020724
          80     1.19501     1.20794  0.00205295
          81     1.16996     1.20747  0.00208046
          82     1.19309      1.2073  0.00206246
          83     1.19176     1.20711  0.00204609
          84      1.1737     1.20671  0.00206003
          85     1.22478     1.20693  0.00204673
          86     1.20101     1.20686  0.00202409
          87     1.17173     1.20645  0.00204069
          88     1.17633     1.20611    0.002046
          89     1.16195     1.20562  0.00208231
          90     1.15612     1.20507  0.00213056
          91     1.20453     1.20506  0.00210716
          92     1.19034      1.2049  0.00209032
          93     1.17766     1.20461  0.00208826
          94     1.21911     1.20476  0.00207174
          95     1.24834     1.20522   0.0021001
          96     1.19907     1.20516   0.0020792
          97     1.19519     1.20505   0.0020603
          98     1.21398     1.20514  0.00204129
          99     1.17717     1.20486  0.00204014
         100     1.18342     1.20465  0.00203097
