#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.40714     1.40714           0
           2     1.40708     1.40711 2.25216e-05
           3     1.40714     1.40712 1.72221e-05
           4     1.40707     1.40711 1.69646e-05
           5     1.40702     1.40709 2.03574e-05
           6     1.40704     1.40708 1.85562e-05
           7     1.40713     1.40709 1.71905e-05
           8     1.40724     1.40711 2.31298e-05
           9     1.40728     1.40713 2.74571e-05
          10     1.40702     1.40712 2.66715e-05
          11     1.40694      1.4071 2.86473e-05
          12     1.40715      1.4071 2.65973e-05
          13     1.40715     1.40711 2.48191e-05
          14     1.40717     1.40711   2.347e-05
          15     1.40711     1.40711 2.19063e-05
          16     1.40718     1.40712 2.09539e-05
          17     1.40712     1.40712 1.97243e-05
          18     1.40703     1.40711 1.92265e-05
          19     1.40708     1.40711 1.82796e-05
          20     1.40704     1.40711 1.77526e-05
          21     1.40704      1.4071 1.72013e-05
          22      1.4071      1.4071 1.64229e-05
          23     1.40722     1.40711 1.65015e-05
          24     1.40713     1.40711  1.5829e-05
          25     1.40712     1.40711 1.52015e-05
          26     1.40718     1.40711 1.48807e-05
          27     1.40719     1.40712 1.45788e-05
          28     1.40722     1.40712 1.45455e-05
          29     1.40718     1.40712 1.41801e-05
          30     1.40714     1.40712 1.37265e-05
          31     1.40719     1.40712 1.34629e-05
          32     1.40717     1.40713 1.31212e-05
          33     1.40697     1.40712 1.35053e-05
          34     1.40692     1.40712 1.42951e-05
          35     1.40695     1.40711 1.46383e-05
          36     1.40708     1.40711 1.42617e-05
          37     1.40724     1.40711 1.42962e-05
          38     1.40718     1.40711 1.40391e-05
          39     1.40712     1.40711 1.36802e-05
          40     1.40704     1.40711 1.34776e-05
          41     1.40697     1.40711 1.36046e-05
          42     1.40697     1.40711 1.37075e-05
          43     1.40706     1.40711 1.34235e-05
          44     1.40716     1.40711 1.31806e-05
          45      1.4072     1.40711 1.30657e-05
          46     1.40715     1.40711 1.28081e-05
          47     1.40712     1.40711  1.2537e-05
          48     1.40712     1.40711 1.22765e-05
          49     1.40705     1.40711 1.20844e-05
          50     1.40708     1.40711  1.1861e-05
          51     1.40701     1.40711 1.17677e-05
          52     1.40711     1.40711 1.15423e-05
          53     1.40706     1.40711  1.1364e-05
          54     1.40704      1.4071 1.12177e-05
          55       1.407      1.4071 1.11671e-05
          56     1.40704      1.4071 1.10316e-05
          57     1.40702      1.4071 1.09318e-05
          58     1.40709      1.4071 1.07441e-05
          59      1.4071      1.4071 1.05624e-05
          60     1.40711      1.4071 1.03879e-05
          61     1.40713      1.4071 1.02333e-05
          62     1.40715      1.4071 1.00963e-05
          63      1.4072      1.4071 1.00494e-05
          64      1.4071      1.4071 9.89258e-06
          65     1.40717      1.4071 9.80243e-06
          66     1.40719      1.4071 9.73568e-06
          67     1.40713     1.40711  9.6001e-06
          68      1.4072     1.40711 9.56412e-06
          69     1.40717     1.40711 9.46731e-06
          70      1.4071     1.40711 9.33232e-06
          71     1.40708     1.40711 9.21199e-06
          72     1.40713     1.40711 9.09127e-06
          73     1.40714     1.40711 8.97933e-06
          74      1.4071     1.40711 8.85928e-06
          75     1.40713     1.40711 8.74796e-06
          76      1.4072     1.40711  8.7076e-06
          77     1.40723     1.40711 8.72975e-06
          78     1.40725     1.40711 8.80743e-06
          79     1.40721     1.40711 8.78188e-06
          80     1.40711     1.40711 8.67216e-06
          81     1.40718     1.40711 8.60074e-06
          82     1.40731     1.40712 8.83351e-06
          83     1.40729     1.40712 8.95692e-06
          84     1.40714     1.40712 8.85523e-06
          85     1.40712     1.40712 8.75105e-06
          86     1.40697     1.40712 8.81814e-06
          87     1.40701     1.40712 8.80132e-06
          88     1.40707     1.40712 8.72056e-06
          89     1.40718     1.40712 8.65542e-06
          90     1.40719     1.40712 8.59664e-06
          91     1.40715     1.40712 8.50986e-06
          92     1.40721     1.40712 8.47077e-06
          93     1.40716     1.40712 8.39134e-06
          94     1.40718     1.40712 8.32983e-06
          95     1.40717     1.40712  8.2563e-06
          96     1.40712     1.40712 8.17034e-06
          97     1.40696     1.40712 8.25212e-06
          98     1.40695     1.40712 8.34419e-06
          99     1.40712     1.40712 8.25996e-06
         100     1.40721     1.40712  8.2324e-06
