#   BLOCK:  TEMPERATURE:
           0       1.985
           0     1.98498
           0     1.98493
           0     1.98484
           0     1.98471
           0     1.98455
           0     1.98436
           0     1.98413
           0     1.98386
           0     1.98356
           0     1.98322
           0     1.98284
           0     1.98243
           0     1.98198
           0     1.98149
           0     1.98097
           0     1.98041
           0     1.97981
           0     1.97917
           0      1.9785
           0     1.97778
           0     1.97702
           0     1.97623
           0     1.97539
           0     1.97451
           0     1.97359
           0     1.97263
           0     1.97162
           0     1.97057
           0     1.96947
           0     1.96833
           0     1.96714
           0      1.9659
           0     1.96462
           0     1.96329
           0     1.96191
           0     1.96047
           0     1.95899
           0     1.95745
           0     1.95585
           0      1.9542
           0      1.9525
           0     1.95073
           0     1.94891
           0     1.94703
           0     1.94508
           0     1.94307
           0       1.941
           0     1.93886
           0     1.93666
           0     1.93438
           0     1.93204
           0     1.92962
           0     1.92713
           0     1.92457
           0     1.92192
           0     1.91921
           0     1.91641
           0     1.91353
           0     1.91057
           0     1.90752
           0     1.90439
           0     1.90116
           0     1.89785
           0     1.89445
           0     1.89095
           0     1.88736
           0     1.88367
           0     1.87988
           0     1.87599
           0     1.87199
           0     1.86789
           0     1.86368
           0     1.85937
           0     1.85495
           0     1.85041
           0     1.84576
           0       1.841
           0     1.83612
           0     1.83112
           0     1.82601
           0     1.82077
           0     1.81541
           0     1.80993
           0     1.80432
           0     1.79859
           0     1.79273
           0     1.78675
           0     1.78064
           0      1.7744
           0     1.76803
           0     1.76153
           0      1.7549
           0     1.74814
           0     1.74125
           0     1.73424
           0      1.7271
           0     1.71983
           0     1.71243
           0     1.70491
           0     1.69727
           0     1.68951
           0     1.68162
           0     1.67362
           0      1.6655
           0     1.65727
           0     1.64893
           0     1.64049
           0     1.63194
           0     1.62329
           0     1.61454
           0      1.6057
           0     1.59677
           0     1.58776
           0     1.57867
           0      1.5695
           0     1.56026
           0     1.55096
           0      1.5416
           0     1.53218
           0     1.52271
           0     1.51319
           0     1.50364
           0     1.49405
           0     1.48443
           0     1.47479
           0     1.46513
           0     1.45546
           0     1.44579
           0     1.43611
           0     1.42644
           0     1.41678
           0     1.40714
           0     1.39752
           0     1.38792
           0     1.37835
           0     1.36882
           0     1.35934
           0      1.3499
           0     1.34051
           0     1.33118
           0     1.32191
           0      1.3127
           0     1.30357
           0     1.29451
           0     1.28553
           0     1.27664
           0     1.26783
           0     1.25912
           0      1.2505
           0     1.24199
           0     1.23358
           0     1.22528
           0      1.2171
           0     1.20903
           0     1.20108
           0     1.19327
           0     1.18558
           0     1.17802
           0     1.17061
           0     1.16333
           0      1.1562
           0     1.14922
           0      1.1424
           0     1.13573
           0     1.12922
           0     1.12287
           0     1.11669
           0     1.11068
           0     1.10485
           0     1.09919
           0     1.09372
           0     1.08842
           0     1.08331
