#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6255      1.6255           0
           2      1.6447      1.6351  0.00678785
           3     1.62161      1.6306  0.00582793
           4     1.67734     1.64229   0.0110212
           5     1.64305     1.64244  0.00881805
           6     1.68918     1.65023    0.010226
           7     1.63902     1.64863  0.00888973
           8     1.66613     1.65082  0.00804319
           9     1.65382     1.65115  0.00715641
          10     1.64693     1.65073  0.00645321
          11      1.6223     1.64814  0.00636292
          12     1.65148     1.64842  0.00583876
          13     1.64009     1.64778   0.0054247
          14     1.65645      1.6484  0.00507244
          15     1.67028     1.64986  0.00493949
          16     1.62455     1.64828  0.00487748
          17     1.65738     1.64881  0.00461989
          18     1.65477     1.64914  0.00437506
          19     1.62184     1.64771  0.00437437
          20     1.64366      1.6475  0.00416033
          21     1.62552     1.64646  0.00409181
          22     1.65197     1.64671  0.00391349
          23     1.66475     1.64749  0.00382115
          24     1.68503     1.64906  0.00396919
          25     1.65896     1.64945  0.00383013
          26     1.65142     1.64953  0.00368356
          27     1.65473     1.64972  0.00355216
          28     1.62942       1.649  0.00349851
          29     1.66735     1.64963  0.00343467
          30     1.62598     1.64884  0.00340944
          31     1.63007     1.64823  0.00335281
          32     1.64229     1.64805  0.00325318
          33     1.65405     1.64823  0.00315967
          34     1.64434     1.64812  0.00306881
          35       1.672      1.6488  0.00305606
          36     1.66684      1.6493  0.00301198
          37     1.67157      1.6499  0.00299013
          38     1.64971      1.6499  0.00291144
          39     1.63757     1.64958  0.00285389
          40      1.6432     1.64942    0.002787
          41     1.66816     1.64988  0.00275624
          42     1.64854     1.64985   0.0026908
          43     1.61229     1.64897  0.00276635
          44     1.67561     1.64958  0.00276892
          45     1.67025     1.65004  0.00274523
          46      1.6386     1.64979  0.00269678
          47      1.6545     1.64989  0.00264126
          48     1.66898     1.65029  0.00261602
          49     1.65207     1.65032  0.00256288
          50     1.61666     1.64965  0.00259857
          51     1.64704      1.6496  0.00254813
          52     1.64214     1.64946  0.00250316
          53     1.64244     1.64932  0.00245943
          54     1.63487     1.64906   0.0024284
          55     1.64842     1.64904  0.00238427
          56     1.63072     1.64872  0.00236404
          57      1.6386     1.64854  0.00232922
          58     1.64125     1.64841  0.00229245
          59     1.65149     1.64847  0.00225419
          60     1.67433      1.6489  0.00225747
          61     1.64812     1.64888   0.0022205
          62     1.66464     1.64914  0.00219917
          63     1.66111     1.64933  0.00217246
          64      1.6424     1.64922  0.00214121
          65      1.6715     1.64956  0.00213552
          66     1.66247     1.64976   0.0021121
          67     1.64799     1.64973  0.00208074
          68     1.65292     1.64978  0.00205067
          69     1.65679     1.64988  0.00202347
          70     1.65718     1.64998  0.00199724
          71     1.64794     1.64996  0.00196932
          72     1.63495     1.64975  0.00195297
          73     1.67661     1.65012  0.00196058
          74     1.65306     1.65016  0.00193449
          75     1.65602     1.65023  0.00191027
          76     1.63165     1.64999  0.00190073
          77     1.64866     1.64997  0.00187612
          78     1.65292     1.65001  0.00185245
          79     1.67452     1.65032  0.00185479
          80     1.66316     1.65048  0.00183854
          81     1.64366      1.6504  0.00181777
          82     1.67648     1.65071  0.00182322
          83     1.68097     1.65108  0.00183735
          84     1.64478       1.651    0.001817
          85     1.63964     1.65087  0.00180054
          86     1.67489     1.65115  0.00180114
          87     1.61528     1.65074  0.00182701
          88     1.63926     1.65061   0.0018109
          89     1.63249      1.6504  0.00180196
          90     1.68727     1.65081   0.0018279
          91     1.63144      1.6506  0.00182017
          92     1.64159      1.6505  0.00180301
          93     1.66661     1.65067  0.00179192
          94       1.667     1.65085  0.00178125
          95     1.67247     1.65108  0.00177699
          96     1.67309     1.65131  0.00177321
          97     1.67301     1.65153  0.00176899
          98      1.6872     1.65189  0.00178799
          99     1.61967     1.65157  0.00179931
         100     1.64987     1.65155   0.0017814
