#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -4.99658    -4.99658           0
           2    -5.01591    -5.00625  0.00683472
           3    -4.99345    -5.00198  0.00573527
           4    -5.04984    -5.01395   0.0112192
           5    -5.01508    -5.01417  0.00897764
           6    -5.06102    -5.02198   0.0103333
           7    -5.01205    -5.02056  0.00895406
           8     -5.0364    -5.02254  0.00805081
           9    -5.02486     -5.0228  0.00716038
          10    -5.01747    -5.02227  0.00646413
          11    -4.99107    -5.01943  0.00646883
          12    -5.02254    -5.01969  0.00593496
          13    -5.01041    -5.01898  0.00552118
          14    -5.02851    -5.01966  0.00516861
          15    -5.04181    -5.02113  0.00503062
          16     -4.9961    -5.01957  0.00495355
          17    -5.02601    -5.01995  0.00467663
          18    -5.02553    -5.02026  0.00442707
          19    -4.99272    -5.01881  0.00442502
          20    -5.01511    -5.01862  0.00420763
          21     -4.9963    -5.01756  0.00413933
          22    -5.02499     -5.0179  0.00396495
          23     -5.0367    -5.01872  0.00387589
          24    -5.05948    -5.02041   0.0040696
          25    -5.02969    -5.02079  0.00392371
          26    -5.02238    -5.02085  0.00377327
          27     -5.0272    -5.02108  0.00364086
          28    -5.00156    -5.02039  0.00357695
          29    -5.03967    -5.02105  0.00351487
          30    -4.99733    -5.02026  0.00348554
          31    -5.00197    -5.01967  0.00342267
          32    -5.01304    -5.01946  0.00332197
          33    -5.02612    -5.01966  0.00322742
          34    -5.01473    -5.01952  0.00313576
          35    -5.04266    -5.02018  0.00311511
          36    -5.03904     -5.0207  0.00307232
          37    -5.04304    -5.02131  0.00304801
          38     -5.0205    -5.02129  0.00296787
          39    -5.00946    -5.02098  0.00290722
          40    -5.01531    -5.02084  0.00283799
          41    -5.03972     -5.0213  0.00280588
          42     -5.0197    -5.02126  0.00273934
          43    -4.98159    -5.02034  0.00282677
          44    -5.04821    -5.02097  0.00283258
          45    -5.04208    -5.02144  0.00280821
          46    -5.01014     -5.0212  0.00275789
          47    -5.02688    -5.02132  0.00270186
          48     -5.0401    -5.02171  0.00267376
          49    -5.02195    -5.02171   0.0026192
          50    -4.98859    -5.02105  0.00264925
          51    -5.01756    -5.02098  0.00259819
          52    -5.01531    -5.02087  0.00255052
          53    -5.01389    -5.02074   0.0025058
          54    -5.00673    -5.02048  0.00247279
          55    -5.01694    -5.02042  0.00242867
          56    -4.99863    -5.02003  0.00241628
          57    -5.00931    -5.01984  0.00238119
          58    -5.01375    -5.01974  0.00234245
          59    -5.02264    -5.01979  0.00230327
          60    -5.04557    -5.02022  0.00230462
          61    -5.01883    -5.02019  0.00226695
          62    -5.03487    -5.02043  0.00224271
          63    -5.03258    -5.02062  0.00221539
          64    -5.01459    -5.02053  0.00218278
          65     -5.0417    -5.02085  0.00217336
          66    -5.03307    -5.02104  0.00214829
          67    -5.01926    -5.02101  0.00211639
          68    -5.02272    -5.02104  0.00208542
          69    -5.02807    -5.02114  0.00205769
          70    -5.02965    -5.02126  0.00203188
          71    -5.01858    -5.02122  0.00200361
          72    -5.00672    -5.02102  0.00198588
          73    -5.04861     -5.0214  0.00199431
          74    -5.02362    -5.02143  0.00196758
          75    -5.02637     -5.0215  0.00194245
          76    -5.00363    -5.02126  0.00193106
          77    -5.02072    -5.02125  0.00190599
          78    -5.02479     -5.0213  0.00188209
          79    -5.04557    -5.02161  0.00188319
          80    -5.03487    -5.02177  0.00186693
          81     -5.0139    -5.02167  0.00184641
          82    -5.04909    -5.02201  0.00185393
          83    -5.05569    -5.02241  0.00187548
          84    -5.01538    -5.02233  0.00185503
          85    -5.01092     -5.0222  0.00183805
          86    -5.04697    -5.02248  0.00183911
          87    -4.98553    -5.02206  0.00186638
          88    -5.00782     -5.0219  0.00185217
          89    -5.00341    -5.02169  0.00184298
          90    -5.05779    -5.02209  0.00186564
          91      -5.003    -5.02188   0.0018569
          92    -5.01368    -5.02179  0.00183885
          93      -5.038    -5.02197  0.00182732
          94    -5.03748    -5.02213  0.00181532
          95    -5.04573    -5.02238  0.00181312
          96    -5.04558    -5.02262  0.00181027
          97    -5.04496    -5.02285   0.0018062
          98    -5.05836    -5.02321  0.00182375
          99    -4.99218     -5.0229  0.00183207
         100    -5.02026    -5.02287  0.00181394
