#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.15858     2.15858           0
           2     2.22184     2.19021   0.0223663
           3     2.30089      2.2271   0.0336118
           4     2.02281     2.17603   0.0509098
           5     2.25783     2.19239   0.0432768
           6     1.99225     2.15903   0.0472003
           7     2.18014     2.16205   0.0405536
           8     2.16362     2.16224   0.0354849
           9     2.14404     2.16022   0.0315997
          10     2.12774     2.15697   0.0286062
          11     2.32244     2.17201   0.0296983
          12     2.07045     2.16355   0.0284039
          13     2.14632     2.16223   0.0262499
          14     2.02117     2.15215   0.0262374
          15     2.11891     2.14993   0.0245817
          16     2.22542     2.15465   0.0234936
          17     2.22284     2.15866   0.0224514
          18     2.20753     2.16138   0.0213676
          19     2.30583     2.16898   0.0215532
          20     2.16004     2.16853   0.0204801
          21     2.33453     2.17644    0.020975
          22     2.11836      2.1738    0.020187
          23     2.05547     2.16865   0.0199542
          24     1.96142     2.16002   0.0209076
          25     2.12495     2.15862   0.0201183
          26      2.1051     2.15656   0.0194495
          27     2.01054     2.15115   0.0194665
          28     2.27061     2.15542   0.0192331
          29     2.03524     2.15127   0.0190111
          30      2.2235     2.15368   0.0185293
          31     2.26593      2.1573   0.0182819
          32     2.22948     2.15956   0.0178492
          33     2.09971     2.15774   0.0174002
          34     2.21409      2.1594   0.0169671
          35     1.96828     2.15394   0.0173388
          36      2.0048      2.1498    0.017345
          37     1.99074      2.1455   0.0174008
          38     2.17624     2.14631   0.0169616
          39     2.29121     2.15002   0.0169288
          40     2.20804     2.15147   0.0165676
          41     2.07243     2.14955   0.0162753
          42     2.14537     2.14945   0.0158881
          43     2.25057      2.1518   0.0156917
          44     2.01992      2.1488   0.0156187
          45     2.03022     2.14617   0.0154923
          46     2.18323     2.14697   0.0151764
          47     2.13712     2.14676    0.014855
          48     2.15646     2.14696   0.0145469
          49     2.21029     2.14826   0.0143073
          50     2.20185     2.14933   0.0140613
          51     2.12847     2.14892   0.0137915
          52     2.10647      2.1481   0.0135504
          53     2.18072     2.14872   0.0133087
          54     2.19355     2.14955   0.0130881
          55     2.19165     2.15031   0.0128725
          56     2.31216      2.1532    0.012963
          57     2.17281     2.15355   0.0127402
          58     2.15972     2.15365    0.012521
          59     2.10943      2.1529   0.0123312
          60     1.99153     2.15022   0.0124155
          61     2.15682     2.15032   0.0122124
          62     2.11393     2.14974   0.0120296
          63     2.02778      2.1478   0.0119934
          64     2.05456     2.14634   0.0118941
          65     2.15766     2.14652   0.0117124
          66     2.06286     2.14525   0.0116033
          67     2.22061     2.14638   0.0114845
          68     2.19606     2.14711   0.0113389
          69     2.10327     2.14647   0.0111923
          70     2.06201     2.14526   0.0110973
          71     2.12556     2.14499   0.0109444
          72     2.19953     2.14574   0.0108186
          73     2.07374     2.14476   0.0107153
          74     2.13135     2.14458    0.010572
          75     2.23739     2.14581   0.0105032
          76     2.19373     2.14644   0.0103839
          77     2.13693     2.14632   0.0102498
          78      2.1653     2.14656   0.0101213
          79     2.18174     2.14701    0.010003
          80     2.01663     2.14538   0.0100098
          81     2.17609     2.14576  0.00989341
          82     2.02311     2.14426  0.00988518
          83     1.91865     2.14155   0.0101329
          84     2.22375     2.14252   0.0100594
          85     2.17175     2.14287  0.00994695
          86     2.11867     2.14259  0.00983526
          87     2.27992     2.14416  0.00984807
          88     2.20109     2.14481  0.00975739
          89      2.1521     2.14489   0.0096481
          90     2.06306     2.14398  0.00958365
          91     2.26014     2.14526  0.00956296
          92      2.1229     2.14502   0.0094621
          93     2.10745     2.14461  0.00936898
          94     2.07855     2.14391  0.00929563
          95     2.05276     2.14295  0.00924717
          96     2.03509     2.14183  0.00921885
          97     1.99235     2.14029  0.00925171
          98     1.96886     2.13854  0.00932121
          99     2.27091     2.13987  0.00932246
         100     2.12122     2.13969  0.00923111
