#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.08367     1.08367           0
           2     1.09647     1.09007  0.00452523
           3     1.08107     1.08707  0.00388529
           4     1.11822     1.09486  0.00734749
           5     1.09537     1.09496   0.0058787
           6     1.12612     1.10015  0.00681733
           7     1.09268     1.09909  0.00592649
           8     1.11075     1.10054  0.00536213
           9     1.10254     1.10077  0.00477094
          10     1.09795     1.10049  0.00430214
          11     1.08154     1.09876  0.00424195
          12     1.10099     1.09895   0.0038925
          13     1.09339     1.09852  0.00361647
          14      1.1043     1.09893  0.00338163
          15     1.11352     1.09991  0.00329299
          16     1.08303     1.09885  0.00325165
          17     1.10492     1.09921  0.00307992
          18     1.10318     1.09943  0.00291671
          19     1.08123     1.09847  0.00291624
          20     1.09577     1.09834  0.00277355
          21     1.08368     1.09764  0.00272787
          22     1.10132     1.09781  0.00260899
          23     1.10983     1.09833  0.00254743
          24     1.12336     1.09937  0.00264613
          25     1.10597     1.09963  0.00255342
          26     1.10095     1.09969  0.00245571
          27     1.10315     1.09981  0.00236811
          28     1.08628     1.09933  0.00233234
          29     1.11157     1.09975  0.00228978
          30     1.08399     1.09923  0.00227296
          31     1.08671     1.09882  0.00223521
          32     1.09486      1.0987  0.00216879
          33      1.1027     1.09882  0.00210645
          34     1.09623     1.09874  0.00204587
          35     1.11467      1.0992  0.00203737
          36     1.11123     1.09953  0.00200799
          37     1.11438     1.09993  0.00199342
          38     1.09981     1.09993  0.00194096
          39     1.09171     1.09972  0.00190259
          40     1.09547     1.09961    0.001858
          41     1.11211     1.09992  0.00183749
          42     1.09902      1.0999  0.00179387
          43     1.07486     1.09932  0.00184423
          44     1.11707     1.09972  0.00184595
          45      1.1135     1.10003  0.00183015
          46      1.0924     1.09986  0.00179785
          47       1.103     1.09993  0.00176084
          48     1.11266     1.10019  0.00174401
          49     1.10138     1.10022  0.00170859
          50     1.07777     1.09977  0.00173238
          51     1.09803     1.09973  0.00169875
          52     1.09476     1.09964  0.00166877
          53     1.09496     1.09955  0.00163962
          54     1.08992     1.09937  0.00161893
          55     1.09894     1.09936  0.00158951
          56     1.08715     1.09914  0.00157603
          57      1.0924     1.09903  0.00155281
          58     1.09417     1.09894   0.0015283
          59     1.10099     1.09898  0.00150279
          60     1.11622     1.09926  0.00150498
          61     1.09875     1.09926  0.00148033
          62     1.10976     1.09943  0.00146611
          63     1.10741     1.09955   0.0014483
          64     1.09493     1.09948  0.00142747
          65     1.11433     1.09971  0.00142368
          66     1.10831     1.09984  0.00140807
          67     1.09866     1.09982  0.00138716
          68     1.10195     1.09985  0.00136711
          69     1.10453     1.09992  0.00134898
          70     1.10478     1.09999  0.00133149
          71     1.09863     1.09997  0.00131288
          72     1.08997     1.09983  0.00130198
          73     1.11774     1.10008  0.00130705
          74     1.10204      1.1001  0.00128966
          75     1.10401     1.10016  0.00127352
          76     1.08776     1.09999  0.00126715
          77      1.0991     1.09998  0.00125075
          78     1.10194     1.10001  0.00123497
          79     1.11634     1.10021  0.00123653
          80     1.10878     1.10032   0.0012257
          81     1.09578     1.10026  0.00121185
          82     1.11765     1.10048  0.00121548
          83     1.12065     1.10072   0.0012249
          84     1.09652     1.10067  0.00121133
          85     1.09309     1.10058  0.00120036
          86      1.1166     1.10077  0.00120076
          87     1.07685     1.10049  0.00121801
          88     1.09284      1.1004  0.00120726
          89     1.08832     1.10027  0.00120131
          90     1.12485     1.10054   0.0012186
          91     1.08763      1.1004  0.00121344
          92     1.09439     1.10033  0.00120201
          93     1.11107     1.10045  0.00119462
          94     1.11133     1.10057   0.0011875
          95     1.11498     1.10072  0.00118466
          96     1.11539     1.10087  0.00118214
          97     1.11534     1.10102  0.00117932
          98      1.1248     1.10126  0.00119199
          99     1.07978     1.10105  0.00119954
         100     1.09991     1.10103   0.0011876
