#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37108    -3.37108           0
           2    -3.37121    -3.37115 4.68682e-05
           3    -3.37184    -3.37138 0.000191955
           4    -3.37251    -3.37166 0.000283685
           5    -3.37202    -3.37173 0.000236029
           6    -3.37184    -3.37175 0.000197372
           7    -3.37303    -3.37193 0.000239062
           8    -3.37027    -3.37173 0.000285263
           9    -3.37104    -3.37165 0.000263532
          10    -3.37054    -3.37154 0.000259317
          11    -3.36877    -3.37129 0.000336704
          12    -3.37106    -3.37127  0.00030918
          13    -3.37032     -3.3712 0.000293831
          14    -3.37206    -3.37126 0.000279223
          15    -3.37153    -3.37128 0.000261218
          16    -3.37155    -3.37129 0.000245456
          17    -3.36863    -3.37114  0.00027658
          18    -3.37076    -3.37111 0.000262015
          19    -3.37087     -3.3711 0.000248534
          20    -3.37145    -3.37112 0.000236712
          21    -3.37078     -3.3711 0.000225981
          22    -3.37302    -3.37119 0.000231885
          23    -3.37195    -3.37122 0.000224123
          24    -3.37445    -3.37136 0.000251877
          25    -3.37074    -3.37133 0.000243017
          26    -3.37096    -3.37132 0.000234102
          27    -3.37248    -3.37136 0.000229326
          28    -3.37214    -3.37139 0.000222827
          29    -3.37232    -3.37142  0.00021742
          30    -3.37135    -3.37142 0.000210187
          31     -3.3719    -3.37143 0.000203987
          32    -3.37075    -3.37141 0.000198724
          33    -3.37207    -3.37143 0.000193691
          34    -3.37039     -3.3714  0.00019042
          35    -3.37066    -3.37138  0.00018615
          36     -3.3722     -3.3714 0.000182373
          37    -3.37146    -3.37141 0.000177451
          38    -3.37079    -3.37139 0.000173524
          39    -3.37189     -3.3714 0.000169552
          40    -3.37211    -3.37142 0.000166236
          41    -3.37156    -3.37142 0.000162218
          42    -3.37116    -3.37142 0.000158479
          43     -3.3693    -3.37137 0.000162281
          44     -3.3726     -3.3714 0.000160982
          45    -3.37183    -3.37141 0.000157698
          46    -3.37153    -3.37141 0.000154294
          47    -3.37238    -3.37143 0.000152377
          48    -3.37112    -3.37142 0.000149338
          49    -3.36988    -3.37139  0.00014957
          50    -3.37194     -3.3714 0.000146979
          51    -3.37052    -3.37138 0.000145102
          52    -3.37317    -3.37142 0.000146313
          53    -3.37145    -3.37142 0.000143554
          54    -3.37186    -3.37143 0.000141124
          55    -3.36852    -3.37137 0.000148138
          56    -3.36791    -3.37131 0.000157917
          57    -3.37071     -3.3713 0.000155496
          58     -3.3725    -3.37132 0.000154178
          59    -3.37115    -3.37132 0.000151592
          60    -3.37124    -3.37132 0.000149072
          61    -3.37071    -3.37131 0.000146967
          62    -3.37023    -3.37129 0.000145622
          63    -3.37147    -3.37129 0.000143339
          64    -3.37219    -3.37131 0.000141786
          65     -3.3702    -3.37129 0.000140629
          66     -3.3706    -3.37128 0.000138886
          67    -3.37127    -3.37128 0.000136814
          68     -3.3698    -3.37126 0.000136528
          69    -3.37128    -3.37126  0.00013455
          70    -3.37247    -3.37128 0.000133744
          71    -3.37064    -3.37127  0.00013216
          72    -3.37177    -3.37127 0.000130512
          73      -3.372    -3.37128   0.0001291
          74    -3.37057    -3.37127 0.000127718
          75    -3.37035    -3.37126 0.000126614
          76    -3.37199    -3.37127 0.000125308
          77    -3.37206    -3.37128 0.000124097
          78    -3.37187    -3.37129 0.000122738
          79    -3.37106    -3.37129  0.00012122
          80    -3.37171    -3.37129 0.000119818
          81    -3.37024    -3.37128 0.000119041
          82    -3.37261     -3.3713 0.000118698
          83    -3.37472    -3.37134 0.000124233
          84     -3.3706    -3.37133 0.000123062
          85    -3.37128    -3.37133 0.000121616
          86    -3.37207    -3.37134  0.00012051
          87    -3.37025    -3.37132 0.000119775
          88    -3.36856    -3.37129 0.000122453
          89    -3.37092    -3.37129 0.000121147
          90    -3.37052    -3.37128 0.000120098
          91    -3.37156    -3.37128 0.000118817
          92    -3.37209    -3.37129  0.00011785
          93    -3.37139    -3.37129 0.000116588
          94    -3.37048    -3.37128 0.000115669
          95    -3.37326     -3.3713 0.000116306
          96    -3.37249    -3.37132 0.000115751
          97    -3.37195    -3.37132 0.000114744
          98    -3.37116    -3.37132 0.000113585
          99    -3.37251    -3.37133 0.000113071
         100    -3.37039    -3.37132 0.000112331
