#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20061     1.20061           0
           2     1.19756     1.19908  0.00107843
           3     1.20086     1.19968  0.00086732
           4     1.19887     1.19947 0.000673676
           5     1.20063      1.1997 0.000577049
           6     1.19961     1.19969 0.000481075
           7     1.19756     1.19939 0.000499497
           8     1.19633       1.199 0.000564438
           9     1.19627      1.1987 0.000577799
          10     1.19879     1.19871 0.000520086
          11     1.19908     1.19874 0.000473894
          12     1.19092     1.19809 0.000760245
          13     1.20434     1.19857 0.000840207
          14     1.19508     1.19832 0.000816374
          15     1.20283     1.19862 0.000815358
          16      1.1944     1.19836 0.000805903
          17     1.20103     1.19852 0.000773698
          18     1.20523     1.19889 0.000815687
          19     1.19748     1.19881  0.00077613
          20     1.19593     1.19867 0.000750636
          21     1.19754     1.19862 0.000716813
          22     1.19245     1.19834 0.000737043
          23     1.19728     1.19829 0.000706416
          24     1.19821     1.19829  0.00067699
          25     1.20021     1.19836 0.000654286
          26     1.19831     1.19836 0.000629125
          27     1.19753     1.19833 0.000606573
          28     1.20505     1.19857 0.000630571
          29     1.19291     1.19838 0.000638321
          30      1.1978     1.19836 0.000617333
          31     1.19863     1.19837 0.000597484
          32     1.19286     1.19819  0.00060308
          33     1.20338     1.19835 0.000604959
          34     1.20219     1.19846 0.000597602
          35     1.19337     1.19832 0.000597968
          36     1.20252     1.19843 0.000592616
          37     1.19566     1.19836  0.00058133
          38     1.19167     1.19818 0.000592101
          39     1.19712     1.19816 0.000577542
          40     1.19683     1.19812 0.000564053
          41     1.19655     1.19808 0.000551595
          42     1.19723     1.19806 0.000538837
          43     1.19858     1.19808 0.000526438
          44     1.19985     1.19812  0.00051601
          45      1.1956     1.19806 0.000507567
          46     1.20443      1.1982 0.000515048
          47     1.19107     1.19805 0.000525922
          48     1.20163     1.19812 0.000520243
          49      1.1989     1.19814 0.000509866
          50     1.19397     1.19805  0.00050644
          51     1.19688     1.19803 0.000497035
          52     1.19896     1.19805 0.000487798
          53     1.19368     1.19797 0.000485522
          54     1.19886     1.19798 0.000476816
          55     1.19701     1.19797 0.000468477
          56      1.1992     1.19799 0.000460632
          57     1.20188     1.19806  0.00045758
          58     1.19357     1.19798 0.000456193
          59     1.19647     1.19795 0.000449174
          60     1.19432     1.19789 0.000445742
          61     1.19891     1.19791 0.000438744
          62     1.19876     1.19792 0.000431883
          63     1.20168     1.19798 0.000429122
          64     1.19643     1.19796 0.000423101
          65     1.19822     1.19796 0.000416611
          66     1.19739     1.19795 0.000410388
          67     1.19956     1.19798 0.000404963
          68     1.19007     1.19786 0.000415375
          69     1.20765       1.198 0.000432901
          70     1.19154     1.19791 0.000436466
          71     1.19816     1.19791 0.000430332
          72     1.19753     1.19791 0.000424388
          73     1.19826     1.19791 0.000418602
          74     1.19901     1.19793 0.000413207
          75     1.19532     1.19789 0.000409157
          76     1.19218     1.19782 0.000410635
          77     1.19772     1.19782 0.000405304
          78     1.19913     1.19783 0.000400457
          79     1.19964     1.19786 0.000396041
          80     1.20186     1.19791 0.000394235
          81     1.19689     1.19789 0.000389568
          82     1.19557     1.19787 0.000385844
          83     1.19842     1.19787 0.000381253
          84      1.2008     1.19791 0.000378308
          85     1.19593     1.19788 0.000374573
          86     1.20371     1.19795 0.000376292
          87     1.19616     1.19793 0.000372532
          88     1.20015     1.19796 0.000369147
          89      1.2046     1.19803 0.000372477
          90     1.19646     1.19801  0.00036875
          91     1.20542      1.1981 0.000373561
          92     1.19375     1.19805 0.000372472
          93     1.19752     1.19804 0.000368511
          94     1.19762     1.19804 0.000364617
          95      1.1998     1.19806 0.000361252
          96      1.2031     1.19811 0.000361286
          97     1.19322     1.19806 0.000361067
          98     1.19426     1.19802 0.000359457
          99     1.19937     1.19803 0.000356083
         100     1.19859     1.19804 0.000352565
