#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -6.6656     -6.6656           0
           2    -6.66177    -6.66368  0.00135313
           3    -6.66574    -6.66437  0.00106169
           4    -6.66345    -6.66414   0.0008208
           5    -6.66546     -6.6644 0.000697953
           6    -6.66456    -6.66443 0.000582116
           7    -6.66174    -6.66405 0.000612858
           8    -6.66066    -6.66362 0.000666772
           9    -6.66129    -6.66336 0.000641111
          10     -6.6634    -6.66337 0.000577008
          11    -6.66355    -6.66338   0.0005248
          12    -6.65536    -6.66271   0.0008006
          13    -6.66883    -6.66318 0.000866169
          14    -6.65976    -6.66294 0.000838134
          15    -6.66829     -6.6633 0.000854894
          16    -6.65914    -6.66304 0.000840022
          17    -6.66636    -6.66323 0.000812987
          18    -6.66996    -6.66361 0.000849318
          19    -6.66158     -6.6635 0.000811257
          20    -6.66126    -6.66339 0.000778361
          21    -6.66187    -6.66332 0.000744621
          22    -6.65675    -6.66302 0.000768241
          23    -6.66076    -6.66292 0.000741087
          24    -6.66253     -6.6629 0.000710386
          25    -6.66459    -6.66297 0.000685152
          26    -6.66304    -6.66297 0.000658806
          27    -6.66212    -6.66294 0.000635156
          28    -6.67004    -6.66319 0.000661089
          29    -6.65706    -6.66298  0.00067131
          30    -6.66256    -6.66297 0.000649078
          31    -6.66334    -6.66298 0.000628248
          32    -6.65762    -6.66281 0.000630521
          33    -6.66719    -6.66295 0.000625198
          34    -6.66615    -6.66304 0.000613885
          35    -6.65669    -6.66286 0.000622561
          36    -6.66809      -6.663 0.000622015
          37    -6.66007    -6.66292 0.000610251
          38    -6.65619    -6.66275 0.000619358
          39    -6.66146    -6.66271 0.000604354
          40    -6.66148    -6.66268 0.000590037
          41    -6.66053    -6.66263 0.000577979
          42    -6.66162    -6.66261 0.000564717
          43    -6.66278    -6.66261 0.000551599
          44    -6.66507    -6.66267 0.000541874
          45    -6.66004    -6.66261 0.000532965
          46    -6.66992    -6.66277 0.000544579
          47    -6.65651    -6.66263 0.000549019
          48    -6.66618    -6.66271 0.000542536
          49    -6.66401    -6.66274  0.00053211
          50    -6.65847    -6.66265 0.000528249
          51    -6.66114    -6.66262 0.000518715
          52    -6.66273    -6.66262 0.000508744
          53    -6.65757    -6.66253 0.000507982
          54    -6.66345    -6.66254 0.000498864
          55    -6.66131    -6.66252 0.000490302
          56    -6.66378    -6.66254 0.000482062
          57    -6.66673    -6.66262 0.000479172
          58    -6.65738    -6.66253 0.000479338
          59    -6.66082     -6.6625 0.000472088
          60    -6.65904    -6.66244 0.000467732
          61    -6.66403    -6.66247  0.00046079
          62    -6.66335    -6.66248 0.000453581
          63    -6.66769    -6.66256 0.000453863
          64    -6.66077    -6.66254 0.000447639
          65    -6.66244    -6.66253 0.000440755
          66    -6.66103    -6.66251 0.000434667
          67    -6.66431    -6.66254 0.000429009
          68    -6.65419    -6.66242 0.000439908
          69    -6.67212    -6.66256 0.000455466
          70    -6.65614    -6.66246  0.00045809
          71    -6.66242    -6.66246 0.000451639
          72    -6.66147    -6.66245 0.000445577
          73    -6.66261    -6.66245 0.000439479
          74    -6.66301    -6.66246 0.000433605
          75    -6.66007    -6.66243 0.000428989
          76     -6.6563    -6.66235  0.00043085
          77    -6.66118    -6.66233  0.00042552
          78    -6.66366    -6.66235 0.000420405
          79    -6.66393    -6.66237 0.000415559
          80     -6.6666    -6.66242 0.000413708
          81    -6.66106    -6.66241 0.000408942
          82    -6.65949    -6.66237 0.000405497
          83    -6.66263    -6.66237 0.000400623
          84    -6.66534    -6.66241 0.000397412
          85    -6.66102    -6.66239  0.00039307
          86    -6.66842    -6.66246 0.000394704
          87    -6.66069    -6.66244 0.000390691
          88    -6.66609    -6.66248 0.000388449
          89    -6.66964    -6.66256 0.000392319
          90    -6.66062    -6.66254 0.000388551
          91     -6.6698    -6.66262 0.000392375
          92    -6.65778    -6.66257 0.000391631
          93    -6.66234    -6.66257 0.000387427
          94    -6.66258    -6.66257 0.000383306
          95    -6.66459    -6.66259 0.000379864
          96    -6.66798    -6.66264 0.000380035
          97    -6.65791     -6.6626 0.000379238
          98    -6.65819    -6.66255 0.000378029
          99    -6.66341    -6.66256 0.000374309
         100    -6.66352    -6.66257 0.000370688
