#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.59737     9.59737           0
           2     9.58773     9.59255  0.00340514
           3     9.58786     9.59099  0.00260432
           4     9.58454     9.58938  0.00240021
           5     9.59717     9.59093  0.00237246
           6     9.60243     9.59285  0.00264018
           7     9.58983     9.59242  0.00229811
           8     9.60082     9.59347  0.00223801
           9     9.59498     9.59364  0.00199565
          10     9.61845     9.59612  0.00296126
          11     9.60724     9.59713  0.00285941
          12     9.63593     9.60036  0.00405654
          13     9.56835      9.5979  0.00442935
          14     9.61047      9.5988  0.00420295
          15     9.58853     9.59811  0.00397811
          16     9.62738     9.59994  0.00412862
          17      9.5995     9.59992  0.00388584
          18     9.59407     9.59959  0.00368349
          19     9.61528     9.60042  0.00358092
          20     9.61302     9.60105   0.0034569
          21     9.58285     9.60018  0.00339916
          22     9.63433     9.60173  0.00358147
          23     9.60461     9.60186  0.00342793
          24      9.6004      9.6018  0.00328564
          25     9.59989     9.60172   0.0031551
          26     9.59529     9.60147  0.00304343
          27     9.59101     9.60109  0.00295529
          28     9.55155     9.59932  0.00333758
          29       9.608     9.59962   0.0032359
          30     9.59184     9.59936  0.00313841
          31     9.61272     9.59979  0.00306661
          32     9.63606     9.60092   0.0031733
          33     9.58444     9.60042  0.00311617
          34     9.57908     9.59979  0.00308707
          35     9.61856     9.60033  0.00304509
          36     9.57007     9.59949  0.00307434
          37     9.61711     9.59997   0.0030279
          38     9.61068     9.60025  0.00296132
          39     9.61124     9.60053  0.00289876
          40     9.58463     9.60013  0.00285341
          41     9.60915     9.60035  0.00279228
          42     9.63283     9.60113  0.00283086
          43     9.58877     9.60084  0.00277957
          44     9.59609     9.60073  0.00271849
          45     9.62497     9.60127  0.00271092
          46      9.5575     9.60032  0.00281402
          47     9.62965     9.60094  0.00282249
          48     9.59675     9.60085  0.00276504
          49      9.6045     9.60093  0.00270961
          50     9.63626     9.60164    0.002746
          51     9.60352     9.60167   0.0026924
          52     9.60949     9.60182  0.00264482
          53     9.60949     9.60197  0.00259886
          54     9.60012     9.60193  0.00255096
          55     9.60186     9.60193  0.00250458
          56      9.5864     9.60165  0.00247517
          57     9.57695     9.60122  0.00246938
          58     9.59962     9.60119  0.00242696
          59     9.58073     9.60085  0.00241048
          60     9.59217      9.6007  0.00237463
          61     9.58944     9.60052  0.00234287
          62     9.59368     9.60041  0.00230768
          63      9.5695     9.59992  0.00232261
          64     9.60484     9.59999   0.0022876
          65      9.5959     9.59993  0.00225327
          66     9.59785      9.5999  0.00221935
          67     9.58501     9.59968  0.00219733
          68     9.63999     9.60027  0.00224357
          69     9.54477     9.59947  0.00235081
          70     9.62199     9.59979  0.00233915
          71     9.61665     9.60002  0.00231823
          72     9.60283     9.60006  0.00228636
          73     9.60056     9.60007  0.00225505
          74     9.60004     9.60007  0.00222458
          75     9.61375     9.60025  0.00220238
          76     9.61996     9.60051  0.00218861
          77     9.58847     9.60036  0.00216576
          78     9.60214     9.60038  0.00213812
          79     9.59191     9.60027  0.00211374
          80     9.58248     9.60005  0.00209898
          81     9.60654     9.60013  0.00207459
          82     9.62649     9.60045  0.00207405
          83     9.60596     9.60052  0.00205013
          84      9.5902     9.60039   0.0020294
          85     9.61608     9.60058   0.0020139
          86     9.56522     9.60017  0.00203201
          87     9.60467     9.60022  0.00200932
          88     9.59814      9.6002  0.00198662
          89     9.56728     9.59983  0.00199843
          90     9.61261     9.59997  0.00198127
          91     9.58645     9.59982  0.00196505
          92     9.65063     9.60037  0.00201981
          93     9.63086      9.6007  0.00202452
          94     9.59798     9.60067  0.00200319
          95      9.5943      9.6006  0.00198323
          96     9.59799     9.60058  0.00196275
          97     9.62552     9.60083   0.0019593
          98      9.6035     9.60086  0.00193949
          99     9.60114     9.60086   0.0019199
         100      9.5837     9.60069  0.00190836
