#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.800405    0.800405           0
           2    0.798372    0.799388 0.000718956
           3    0.800577    0.799784 0.000578213
           4    0.799245    0.799649 0.000449118
           5    0.800418    0.799803   0.0003847
           6    0.799742    0.799793 0.000320717
           7    0.798372     0.79959 0.000332998
           8    0.797554    0.799336 0.000376292
           9    0.797512    0.799133 0.000385199
          10    0.799191    0.799139 0.000346724
          11    0.799386    0.799161 0.000315929
          12    0.793948    0.798727  0.00050683
          13    0.802895    0.799047 0.000560138
          14    0.796719    0.798881  0.00054425
          15    0.801885    0.799081 0.000543572
          16    0.796269    0.798906 0.000537269
          17    0.800688     0.79901 0.000515798
          18    0.803486    0.799259 0.000543791
          19    0.798318     0.79921  0.00051742
          20    0.797284    0.799113 0.000500424
          21    0.798361    0.799077 0.000477875
          22    0.794965    0.798891 0.000491362
          23    0.798189     0.79886 0.000470944
          24    0.798807    0.798858 0.000451326
          25    0.800143    0.798909 0.000436191
          26    0.798871    0.798908 0.000419417
          27    0.798355    0.798887 0.000404382
          28    0.803366    0.799047 0.000420381
          29    0.795274    0.798917 0.000425548
          30    0.798533    0.798904 0.000411555
          31    0.799089     0.79891 0.000398322
          32     0.79524    0.798796 0.000402053
          33    0.802255      0.7989 0.000403306
          34    0.801459    0.798976 0.000398401
          35    0.795582    0.798879 0.000398645
          36    0.801677    0.798956 0.000395077
          37    0.797106    0.798906 0.000387553
          38    0.794446    0.798789 0.000394734
          39    0.798083    0.798771 0.000385028
          40    0.797887    0.798749 0.000376035
          41    0.797702    0.798723  0.00036773
          42    0.798154     0.79871 0.000359225
          43    0.799052    0.798718 0.000350959
          44    0.799898    0.798745 0.000344007
          45    0.797066    0.798707 0.000338378
          46     0.80295    0.798799 0.000343365
          47     0.79405    0.798698 0.000350614
          48    0.801089    0.798748 0.000346828
          49    0.799265    0.798759 0.000339911
          50    0.795979    0.798703 0.000337627
          51    0.797919    0.798688 0.000331357
          52    0.799308      0.7987 0.000325199
          53    0.795784    0.798645 0.000323681
          54    0.799243    0.798656 0.000317877
          55    0.798005    0.798644 0.000312318
          56    0.799469    0.798659 0.000307088
          57    0.801252    0.798704 0.000305053
          58    0.795711    0.798653 0.000304128
          59    0.797649    0.798636 0.000299449
          60    0.796216    0.798595 0.000297161
          61     0.79927    0.798606 0.000292496
          62    0.799176    0.798615 0.000287922
          63    0.801119    0.798655 0.000286081
          64    0.797621    0.798639 0.000282067
          65    0.798814    0.798642 0.000277741
          66    0.798261    0.798636 0.000273592
          67    0.799707    0.798652 0.000269975
          68    0.793379    0.798574 0.000276917
          69      0.8051    0.798669   0.0002886
          70    0.794357    0.798607 0.000290977
          71    0.798771     0.79861 0.000286888
          72    0.798354    0.798606 0.000282925
          73    0.798841    0.798609 0.000279068
          74    0.799339    0.798619 0.000275471
          75    0.796881    0.798596 0.000272771
          76    0.794783    0.798546 0.000273757
          77    0.798481    0.798545 0.000270203
          78     0.79942    0.798556 0.000266971
          79    0.799762    0.798572 0.000264027
          80    0.801239    0.798605 0.000262824
          81    0.797927    0.798596 0.000259712
          82    0.797049    0.798578  0.00025723
          83    0.798947    0.798582 0.000254169
          84    0.800536    0.798605 0.000252206
          85    0.797286     0.79859 0.000249715
          86    0.802473    0.798635 0.000250861
          87    0.797438    0.798621 0.000248355
          88    0.800097    0.798638 0.000246098
          89    0.803069    0.798688 0.000248318
          90    0.797637    0.798676 0.000245833
          91    0.803611     0.79873  0.00024904
          92    0.795835    0.798699 0.000248314
          93    0.798344    0.798695 0.000245674
          94    0.798416    0.798692 0.000243078
          95    0.799869    0.798704 0.000240835
          96    0.802066    0.798739 0.000240858
          97    0.795477    0.798706 0.000240711
          98    0.796173     0.79868 0.000239638
          99    0.799577    0.798689 0.000237389
         100    0.799058    0.798693 0.000235044
