#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.46499    -5.46499           0
           2    -5.46421     -5.4646 0.000274695
           3    -5.46488    -5.46469  0.00019779
           4    -5.46458    -5.46466 0.000150262
           5    -5.46483     -5.4647 0.000123979
           6    -5.46495    -5.46474 0.000109991
           7    -5.46418    -5.46466  0.00011983
           8    -5.46433    -5.46462 0.000111901
           9    -5.46502    -5.46466 0.000108029
          10    -5.46461    -5.46466 9.73652e-05
          11    -5.46447    -5.46464 8.99456e-05
          12    -5.46444    -5.46462 8.39953e-05
          13    -5.46449    -5.46461 7.82092e-05
          14    -5.46468    -5.46462 7.27693e-05
          15    -5.46547    -5.46467 8.71427e-05
          16    -5.46474    -5.46468 8.17806e-05
          17    -5.46532    -5.46472 8.53252e-05
          18    -5.46473    -5.46472 8.05867e-05
          19    -5.46411    -5.46468 8.25104e-05
          20    -5.46534    -5.46472 8.45765e-05
          21    -5.46433     -5.4647 8.25027e-05
          22     -5.4643    -5.46468 8.06874e-05
          23    -5.46348    -5.46463 9.26608e-05
          24    -5.46432    -5.46462 8.97002e-05
          25    -5.46437    -5.46461  8.6646e-05
          26    -5.46474    -5.46461 8.34569e-05
          27    -5.46459    -5.46461 8.03693e-05
          28    -5.46499    -5.46462 7.86225e-05
          29    -5.46415    -5.46461 7.76108e-05
          30    -5.46476    -5.46461 7.52006e-05
          31     -5.4647    -5.46462 7.28299e-05
          32    -5.46476    -5.46462  7.0704e-05
          33    -5.46381     -5.4646 7.27371e-05
          34    -5.46397    -5.46458 7.29214e-05
          35    -5.46332    -5.46454 7.91879e-05
          36    -5.46558    -5.46457 8.20597e-05
          37    -5.46441    -5.46457 7.99579e-05
          38    -5.46453    -5.46456 7.78603e-05
          39    -5.46434    -5.46456 7.60805e-05
          40    -5.46465    -5.46456   7.421e-05
          41    -5.46398    -5.46455 7.37473e-05
          42    -5.46439    -5.46454 7.20834e-05
          43    -5.46421    -5.46453 7.08299e-05
          44    -5.46522    -5.46455 7.09003e-05
          45    -5.46444    -5.46455 6.93653e-05
          46     -5.4655    -5.46457 7.08595e-05
          47    -5.46544    -5.46459 7.17194e-05
          48    -5.46455    -5.46459 7.02293e-05
          49    -5.46511     -5.4646 6.96019e-05
          50     -5.4645     -5.4646 6.82344e-05
          51    -5.46427    -5.46459 6.72003e-05
          52    -5.46377    -5.46457 6.77394e-05
          53     -5.4639    -5.46456 6.76479e-05
          54    -5.46459    -5.46456  6.6397e-05
          55     -5.4643    -5.46456 6.53602e-05
          56    -5.46458    -5.46456 6.41942e-05
          57    -5.46485    -5.46456 6.32802e-05
          58    -5.46382    -5.46455 6.34814e-05
          59    -5.46435    -5.46455 6.24987e-05
          60    -5.46471    -5.46455 6.15195e-05
          61    -5.46513    -5.46456  6.1236e-05
          62    -5.46459    -5.46456 6.02507e-05
          63    -5.46601    -5.46458 6.35747e-05
          64    -5.46433    -5.46458 6.26978e-05
          65    -5.46422    -5.46457 6.19781e-05
          66    -5.46364    -5.46456 6.26398e-05
          67    -5.46475    -5.46456 6.17714e-05
          68    -5.46412    -5.46455 6.11966e-05
          69    -5.46447    -5.46455 6.03213e-05
          70     -5.4646    -5.46455 5.94641e-05
          71    -5.46426    -5.46455 5.87699e-05
          72    -5.46394    -5.46454 5.85633e-05
          73    -5.46435    -5.46454 5.78215e-05
          74      -5.464    -5.46453 5.74902e-05
          75    -5.46475    -5.46453 5.67994e-05
          76    -5.46413    -5.46453 5.63037e-05
          77    -5.46346    -5.46451 5.72543e-05
          78    -5.46453    -5.46452 5.65206e-05
          79    -5.46429    -5.46451 5.58788e-05
          80    -5.46474    -5.46451  5.5251e-05
          81    -5.46417    -5.46451 5.47331e-05
          82    -5.46392     -5.4645 5.45417e-05
          83    -5.46421     -5.4645 5.40014e-05
          84    -5.46454     -5.4645 5.33605e-05
          85    -5.46509    -5.46451  5.3188e-05
          86    -5.46471    -5.46451 5.26229e-05
          87    -5.46453    -5.46451 5.20188e-05
          88    -5.46595    -5.46453 5.39325e-05
          89    -5.46504    -5.46453 5.36299e-05
          90    -5.46417    -5.46453 5.31858e-05
          91    -5.46438    -5.46453 5.26258e-05
          92    -5.46402    -5.46452 5.23372e-05
          93    -5.46482    -5.46452 5.18759e-05
          94    -5.46495    -5.46453 5.15249e-05
          95    -5.46479    -5.46453 5.10562e-05
          96    -5.46488    -5.46454 5.06536e-05
          97    -5.46469    -5.46454  5.0158e-05
          98    -5.46393    -5.46453 5.00321e-05
          99    -5.46404    -5.46453 4.97719e-05
         100    -5.46493    -5.46453 4.94375e-05
