          Media         Errore
        4.93823              0
        4.98093       0.042699
        5.02271       0.048508
        5.03008       0.035084
        5.01103      0.0331892
        5.00304      0.0282535
        5.01427      0.0263908
        5.00038      0.0267473
        5.00825      0.0248663
        5.00449      0.0225558
        4.99097      0.0244772
        4.97836      0.0256554
        4.97452      0.0239107
        4.98581      0.0248503
        4.98355      0.0232442
        4.98283      0.0217551
        4.98229      0.0204423
        4.98318      0.0192937
        4.98329      0.0182503
        4.97864      0.0179285
        4.98223      0.0174286
        4.98838      0.0177174
        4.98906      0.0169433
        4.99069      0.0163034
        4.99494      0.0162054
        4.98988      0.0163704
        4.98593      0.0162417
        4.98739      0.0157189
        4.98441      0.0154564
        4.98753      0.0152539
        4.98742       0.014754
        4.98564      0.0143969
        4.99082      0.0148868
        4.99631      0.0154509
        5.00142      0.0158478
        5.00119      0.0154031
        5.00005      0.0150244
        5.00319      0.0149573
        5.00382      0.0145827
        5.00341      0.0142196
        5.00738      0.0144268
        5.00822      0.0141043
        5.00686      0.0138399
        5.00538      0.0136024
        5.00649       0.013343
         5.0046      0.0131864
        5.00804      0.0133533
        5.00882       0.013096
        5.01015      0.0128946
         5.0126      0.0128685
        5.01237      0.0126157
        5.00996      0.0126039
        5.01223        0.01257
        5.00993       0.012548
        5.01263      0.0126121
        5.01148      0.0124389
         5.0121      0.0122349
          5.015      0.0123666
        5.01378      0.0122168
         5.0141      0.0120157
        5.01077      0.0122787
        5.00936        0.01216
        5.00999      0.0119819
        5.00996      0.0117932
        5.00845       0.011708
        5.00689      0.0116351
        5.00754      0.0114786
        5.00679       0.011333
         5.0056      0.0112312
        5.00761      0.0112518
        5.00723       0.011099
         5.0049      0.0111882
        5.00532      0.0110419
        5.00521      0.0108922
        5.00563      0.0107543
        5.00428       0.010698
        5.00482      0.0105717
        5.00558      0.0104631
        5.00646       0.010367
        5.00623      0.0102392
        5.00641      0.0101137
        5.00492      0.0101007
        5.00589      0.0100257
         5.0054     0.00991797
        5.00632     0.00984405
        5.00626     0.00972907
        5.00697     0.00964215
        5.00579     0.00960369
          5.006     0.00949752
        5.00591     0.00939191
        5.00724     0.00938379
        5.00598     0.00936737
         5.0047     0.00935338
        5.00661     0.00944726
        5.00804     0.00945728
        5.00592     0.00959539
        5.00556     0.00950283
        5.00377     0.00957495
        5.00453     0.00950842
        5.00338     0.00948257
