          Media         Errore
        1.51594              0
        1.50892     0.00701955
        1.51739     0.00938981
        1.50679      0.0125122
         1.4965      0.0141365
        1.49429      0.0117521
        1.49184      0.0102305
        1.49202      0.0088618
        1.49304     0.00788157
        1.49438     0.00717565
        1.49213     0.00686791
        1.49016     0.00657231
        1.49046     0.00605283
        1.48849     0.00593836
        1.48806      0.0055453
        1.48847     0.00520323
        1.49002     0.00512963
        1.49182     0.00516007
        1.49241     0.00491571
        1.49131     0.00479052
        1.49075     0.00459153
        1.49154     0.00445005
        1.49274     0.00441792
        1.49275     0.00422985
        1.49365     0.00415423
        1.49477     0.00414663
        1.49341     0.00421688
        1.49398     0.00410435
         1.4929     0.00410585
        1.49339     0.00399713
        1.49416     0.00394051
        1.49327     0.00391695
        1.49408     0.00388126
        1.49498     0.00387282
        1.49589     0.00386933
        1.49575     0.00376306
        1.49697     0.00385729
        1.49758      0.0038034
         1.4971     0.00373518
        1.49719     0.00364183
        1.49675     0.00357929
        1.49701      0.0035024
        1.49769      0.0034882
        1.49775     0.00340848
         1.4973     0.00336182
        1.49595     0.00355631
         1.4962     0.00348893
        1.49647     0.00342628
        1.49623     0.00336427
        1.49544     0.00339059
        1.49462     0.00342216
        1.49552     0.00347398
        1.49473     0.00349916
        1.49518      0.0034642
        1.49724     0.00397372
          1.497     0.00390939
        1.49597     0.00397605
        1.49532     0.00396023
        1.49594     0.00394187
        1.49756     0.00419692
        1.49659      0.0042389
        1.49805     0.00441849
        1.49771     0.00436115
        1.49804     0.00430509
        1.49879     0.00430462
        1.49831     0.00426584
        1.49824     0.00420231
        1.49896     0.00420166
        1.49999       0.004266
        1.49978     0.00420981
        1.50012     0.00416415
        1.50075     0.00415371
        1.50025     0.00412614
        1.50014     0.00407147
        1.49923     0.00411863
        1.50015     0.00416596
        1.50074     0.00415352
         1.5008     0.00410033
        1.50105      0.0040558
         1.5019     0.00409548
        1.50248     0.00408524
        1.50165     0.00411926
         1.5023     0.00412111
        1.50251     0.00407722
        1.50275     0.00403598
        1.50303     0.00399896
        1.50311     0.00395351
        1.50321     0.00390965
        1.50229     0.00397517
        1.50248     0.00393528
        1.50251     0.00389197
        1.50182      0.0039106
        1.50115     0.00392634
        1.50029     0.00397941
        1.50016      0.0039393
        1.50046     0.00390923
        1.50035     0.00387014
        1.50024     0.00383218
        1.50072     0.00382367
        1.50014     0.00382863
