          Media         Errore
        5.03855              0
        4.95561      0.0829494
        4.95574      0.0478911
        4.96688      0.0356477
        4.95941      0.0286042
        4.97313      0.0270878
        4.97471      0.0229472
        4.97209      0.0200439
        4.97558      0.0180172
        4.98347      0.0179424
         4.9705      0.0207734
        4.95511      0.0244203
        4.95906      0.0228072
        4.96857      0.0231599
        4.96975      0.0215926
        4.97165       0.020288
        4.98178      0.0215794
        4.98631      0.0208446
        4.98273      0.0200404
         4.9872      0.0195317
        4.99424      0.0198678
        5.00085      0.0200621
          5.001      0.0191706
        5.00488      0.0187592
        5.00689      0.0181062
        5.00512      0.0174861
        5.00477      0.0168296
        5.00846       0.016632
        5.00744      0.0160811
         5.0134      0.0166419
        5.01478       0.016155
        5.00998      0.0163612
        5.01217      0.0160075
        5.01618      0.0160383
        5.02141      0.0164297
        5.02009      0.0160215
        5.01809      0.0157102
        5.02155      0.0156779
         5.0238      0.0154364
        5.02278      0.0150807
        5.02582      0.0150205
        5.02297      0.0149336
        5.01899       0.015115
        5.01806       0.014797
        5.02022      0.0146246
        5.01694      0.0146746
        5.01564      0.0144176
        5.01291      0.0143743
        5.01675      0.0145913
        5.01747      0.0143144
        5.01667      0.0140537
        5.01271      0.0143371
        5.01134      0.0141309
        5.00801      0.0142598
        5.01001      0.0141404
        5.00991       0.013886
        5.00852      0.0137104
        5.00915      0.0134867
        5.01058       0.013333
        5.01062       0.013109
        5.00927      0.0129634
        5.00907      0.0127541
        5.01198      0.0128843
        5.01352       0.012774
        5.01239      0.0126261
        5.01142      0.0124711
        5.01224      0.0123108
        5.01114      0.0121786
        5.01103      0.0120013
          5.011      0.0118286
        5.00886      0.0118544
         5.0088      0.0116888
        5.00817      0.0115451
        5.00914      0.0114295
        5.01128       0.011478
        5.01274      0.0114191
        5.01359      0.0113022
        5.01365      0.0111565
        5.01179      0.0111715
        5.01128      0.0110424
        5.01331      0.0110924
        5.01249      0.0109873
        5.01441      0.0110241
        5.01334      0.0109446
        5.01245       0.010852
        5.01153      0.0107642
        5.01219      0.0106601
        5.01278       0.010555
        5.01301      0.0104383
        5.01298      0.0103217
        5.01489      0.0103851
        5.01434      0.0102867
        5.01412      0.0101777
        5.01605      0.0102511
        5.01695      0.0101825
        5.01462      0.0103405
        5.01405      0.0102494
        5.01256      0.0102536
         5.0129      0.0101554
        5.01147      0.0101551
