          Media         Errore
        3.24238              0
        3.87901       0.636632
        4.15075       0.457102
        4.41788       0.419319
        4.81929       0.516359
        4.89506        0.42836
        4.90485       0.362163
        5.05601       0.348169
        5.03011       0.308147
         5.3213       0.400945
        5.27318       0.365847
         5.3152       0.336605
        5.36145       0.313065
        5.45753       0.305352
         5.5847        0.31142
        5.50026       0.303298
         5.5516       0.289487
        5.51044       0.276018
        5.44822       0.268397
        5.36874       0.266741
        5.31409        0.25954
        5.29861       0.247945
        5.23934       0.244222
        5.23531       0.233859
        5.17679       0.231819
        5.16615       0.222978
        5.19687       0.216749
        5.18568       0.209164
        5.12246       0.211492
        5.13854       0.204952
         5.1903       0.204878
        5.25174       0.207669
        5.22794        0.20268
        5.18345       0.201599
        5.22669       0.200474
        5.18274       0.199721
        5.14589       0.197713
        5.12321       0.193772
        5.10763        0.18938
        5.09454       0.185048
        5.12218       0.182583
        5.12738       0.178259
        5.12524       0.174077
        5.11888       0.170194
        5.07771       0.171388
        5.08549       0.167801
        5.07543         0.1645
        5.08629       0.161401
        5.07478       0.158491
        5.12874       0.164397
        5.11112       0.162102
        5.11738       0.159078
        5.10185       0.156818
        5.09733       0.153953
        5.08944       0.151334
        5.10434       0.149353
        5.10743       0.146742
        5.10945       0.144204
        5.13915       0.144817
        5.13441       0.142462
        5.12787       0.140259
        5.13179       0.138034
        5.11431       0.136945
        5.11828       0.134847
        5.10912       0.133072
        5.10728       0.131054
        5.12361       0.130112
        5.12048       0.128223
        5.11353       0.126541
        5.11871       0.124828
        5.11057       0.123326
        5.09094       0.123175
        5.09056       0.121477
          5.085       0.119953
        5.09557       0.118815
        5.10602       0.117706
        5.10646       0.116168
        5.10941       0.114707
        5.11792       0.113564
        5.10503       0.112873
        5.11116       0.111639
        5.10608       0.110387
        5.11403       0.109338
        5.10773       0.108212
        5.11719       0.107348
         5.1134        0.10616
        5.11332       0.104933
        5.10882       0.103831
        5.10351       0.102795
        5.09614       0.101913
        5.08774       0.101137
        5.09547       0.100331
        5.10334      0.0995572
        5.09427      0.0989092
        5.07711      0.0993548
        5.06573      0.0989711
        5.08796       0.100436
        5.07236       0.100622
        5.07968      0.0998691
        5.07696      0.0989026
