          Media         Errore
        2.51193              0
        2.04681       0.465124
        1.85422        0.33046
        1.69749       0.281361
        1.66353       0.220572
        1.59552       0.192511
         1.7115       0.199807
        1.71377       0.173053
        1.72684       0.153177
          1.688       0.142405
        1.61496       0.148078
         1.6364       0.136867
        1.71007       0.145868
        1.68168       0.138001
        1.63369       0.137142
        1.67529       0.134862
        1.65141       0.128912
        1.65187        0.12154
         1.6203       0.119222
         1.6003       0.114858
         1.5962       0.109329
        1.60726       0.104826
        1.58878       0.101856
        1.60827      0.0994475
        1.65645       0.106863
        1.67922       0.105166
        1.65749       0.103504
         1.6444       0.100594
        1.62452      0.0990767
        1.61403      0.0962907
        1.60019      0.0941557
        1.58294      0.0927827
        1.60195       0.091913
         1.5883      0.0902072
        1.58212      0.0878098
        1.58945      0.0856499
        1.58403      0.0834787
        1.58358      0.0812535
        1.57981      0.0792326
        1.58437      0.0773607
        1.58681      0.0754899
          1.581      0.0738991
        1.57034      0.0729436
        1.57327      0.0713266
        1.57011      0.0697951
        1.59021      0.0711583
        1.58352      0.0699477
        1.57339      0.0692202
        1.56882      0.0679469
        1.57485       0.066847
        1.56982      0.0657162
        1.56692      0.0645052
        1.56839      0.0632933
          1.571      0.0621649
        1.56147      0.0617628
        1.55689      0.0608231
        1.55928      0.0597944
        1.56322      0.0588864
        1.55816      0.0581004
        1.55965      0.0571433
        1.55393      0.0564894
         1.5525       0.055589
        1.55741      0.0549194
          1.552      0.0543252
        1.54783      0.0536451
        1.54099      0.0532666
        1.53429      0.0528912
        1.52732      0.0525721
        1.52672      0.0518081
        1.52596      0.0510682
        1.53449      0.0510612
        1.53802      0.0504708
        1.53606      0.0498132
        1.53117       0.049378
        1.52878       0.048774
        1.52585      0.0482171
        1.52722      0.0476068
        1.52088      0.0474194
        1.51673      0.0469984
        1.51839      0.0464369
        1.52012      0.0458925
        1.52073      0.0453334
         1.5178      0.0448792
        1.52389      0.0447574
        1.52248      0.0442503
        1.52276      0.0437336
        1.51572      0.0437971
        1.51643      0.0433024
        1.51877      0.0428768
        1.52529      0.0428972
        1.52678      0.0424493
        1.52344      0.0421185
        1.52404      0.0416676
        1.52399      0.0412219
        1.51969      0.0410109
        1.51939      0.0405826
        1.51323      0.0406313
        1.50837      0.0405074
        1.50787      0.0400992
        1.50828      0.0396984
