          Media         Errore
        4.94281              0
        4.92025      0.0225611
        4.92322        0.01336
        4.94676      0.0253654
        5.01081      0.0669985
        5.00875      0.0547429
         5.0187       0.047323
        5.00921      0.0420668
         4.9965      0.0392163
        4.99142      0.0354422
        4.98504      0.0326878
        4.99155      0.0305433
        4.98779      0.0283472
        4.97844      0.0278576
        4.98811      0.0276757
        4.98343       0.026307
        4.98273      0.0247212
        4.98181      0.0233254
         4.9807      0.0220913
        4.97468      0.0218056
        4.97275       0.020831
        4.97577      0.0200893
        4.97635      0.0192049
        4.97775        0.01844
        4.97706      0.0177005
        4.97632      0.0170219
        4.97859      0.0165352
        4.98048      0.0160457
        4.97887      0.0155656
         4.9806      0.0151367
        4.97738      0.0149908
        4.98381      0.0158767
        4.98834      0.0160402
        4.99132      0.0158437
        4.99478      0.0157689
        4.99531      0.0153339
         4.9922      0.0152353
        4.99258       0.014834
        4.98949      0.0147758
        4.98979      0.0144047
        4.98421      0.0151131
        4.98552      0.0148069
        4.98574      0.0144601
        4.98789      0.0142911
         4.9871      0.0139926
        4.98745      0.0136897
         4.9908      0.0138069
        4.99011      0.0135336
         4.9879      0.0134382
        4.98889      0.0132041
        4.98863      0.0129453
        4.98942      0.0127182
         4.9903      0.0125072
        4.99092      0.0122891
        4.99328      0.0122923
        4.99561      0.0122931
        4.99493      0.0120945
         4.9959      0.0119239
        4.99519      0.0117413
        4.99571      0.0115554
        4.99692      0.0114289
        4.99783      0.0112795
        4.99761      0.0111013
        4.99632      0.0110018
        4.99598      0.0108365
        4.99767      0.0108034
        4.99728      0.0106479
        4.99737      0.0104905
        4.99743      0.0103375
        4.99605      0.0102816
        4.99724      0.0102055
        4.99917      0.0102455
        4.99902      0.0101052
        4.99867     0.00997399
        4.99975     0.00989931
        5.00138     0.00990323
        5.00051     0.00981237
        5.00017     0.00969166
        4.99976     0.00957689
         5.0028     0.00993246
        5.00093     0.00998611
          5.001     0.00986383
        5.00253     0.00986375
        5.00348     0.00979216
        5.00256     0.00971981
        5.00046     0.00983437
        5.00083     0.00972777
        4.99907     0.00977588
        4.99785     0.00974177
        4.99571     0.00986796
        4.99548     0.00976179
        4.99493      0.0096707
        4.99467     0.00956961
        4.99696      0.0097405
        4.99667     0.00964171
        4.99464     0.00975414
        4.99492       0.009657
        4.99638     0.00966947
        4.99486     0.00969202
        4.99659      0.0097486
