          Media         Errore
        5.02739              0
        4.97092      0.0564736
        4.98763      0.0366408
        5.02874      0.0485854
        5.04535      0.0411385
         5.0621      0.0375327
        5.05818      0.0319618
        5.05847      0.0276812
        5.06029        0.02448
        5.05587      0.0223361
        5.04069      0.0252707
        5.05059      0.0251005
        5.03841       0.026104
        5.02778      0.0264018
        5.03527       0.025694
        5.01652      0.0304792
        5.01214      0.0289633
        5.00127      0.0293919
        4.99398       0.028743
        4.99678      0.0274121
         4.9949      0.0261423
        4.99866      0.0252077
        5.00141      0.0242441
        4.99998      0.0232561
        5.00074      0.0223193
        4.99999      0.0214568
              5      0.0206468
        4.99605      0.0202847
        4.99164      0.0200627
        4.99291      0.0194236
        4.98937       0.019117
        4.99304      0.0188714
        4.99371      0.0183027
        4.99676      0.0180166
        4.99497      0.0175857
        4.99524      0.0170923
        4.99358      0.0167058
        4.99189       0.016348
        4.99093      0.0159525
        4.99559      0.0162343
        4.99464      0.0158622
        4.99487      0.0154817
        4.99368      0.0151645
         4.9947      0.0148511
        4.99446      0.0145193
        4.99185      0.0144376
        4.99266      0.0141504
        4.99215      0.0138618
        4.98875      0.0139948
        4.99134      0.0139533
        4.99163      0.0136801
        4.98788      0.0139287
        4.99025      0.0138674
        4.98984      0.0136144
        4.99144      0.0134601
        4.99169        0.01322
        4.99331      0.0130858
        4.99544      0.0130337
        4.99508       0.012816
        4.99401       0.012646
        4.99643      0.0126717
        5.00018       0.013015
        4.99994       0.012809
        4.99982      0.0126078
        4.99864      0.0124676
        4.99898      0.0122819
        4.99985      0.0121281
        5.00127      0.0120322
        5.00107      0.0118582
        5.00128      0.0116895
        5.00363      0.0117611
        5.00413      0.0116071
        5.00529      0.0115065
         5.0045      0.0113775
         5.0046      0.0112252
        5.00546      0.0111098
        5.00591      0.0109736
        5.00491      0.0108782
        5.00591      0.0107861
        5.00953      0.0112513
        5.00855      0.0111555
        5.00976      0.0110853
        5.01056      0.0109803
        5.01108      0.0108612
        5.01018      0.0107708
        5.00916      0.0106927
        5.00983        0.01059
        5.00877      0.0105225
        5.00797      0.0104342
         5.0055        0.01061
         5.0061      0.0105099
        5.00435      0.0105414
         5.0045      0.0104285
        5.00558      0.0103742
        5.00526      0.0102693
        5.00409      0.0102294
         5.0043      0.0101255
        5.00542      0.0100846
        5.00313      0.0102416
        5.00508      0.0103237
