          Media         Errore
        7.00413              0
        6.75821       0.245917
        5.94395       0.826551
        5.88216       0.587717
        5.44746        0.62945
        5.38459       0.517775
        5.31216       0.443555
        5.13204       0.424261
        5.05002       0.383047
        4.95224        0.35629
        4.88375       0.329473
        4.82055       0.307335
        4.73945       0.294109
        4.70645       0.274284
        4.64445       0.262764
        4.64136       0.245812
        4.76166       0.260356
        4.86061       0.264661
        4.89211       0.252319
        4.86462       0.240944
         4.8661       0.229188
        4.86918       0.218544
        4.88981       0.209842
        4.91918       0.203044
        4.94758       0.196813
        4.99954       0.196102
         4.9988       0.188701
        5.02161       0.183261
        5.03777       0.177566
        5.17916       0.222302
        5.17809       0.215015
        5.22789       0.214059
        5.21335        0.20798
        5.22967       0.202429
        5.25914       0.198757
        5.22713       0.195791
         5.2319       0.190486
        5.25977       0.187488
        5.27249       0.183059
        5.24476       0.180566
        5.27405       0.178525
        5.26932       0.174287
        5.27121       0.170196
        5.26939       0.166293
        5.26629       0.162585
         5.2933       0.161289
        5.27177       0.159282
        5.28057       0.156176
        5.28243       0.152967
        5.27968       0.149902
        5.28549       0.147048
        5.27464       0.144601
        5.26867       0.141971
        5.24933       0.140653
        5.23268       0.139073
        5.24887       0.137524
         5.2473       0.135099
        5.23656       0.133183
        5.25648       0.132414
        5.24913       0.130395
        5.24482       0.128312
        5.24261       0.126245
        5.26594       0.126398
        5.27817       0.125007
        5.26557       0.123712
        5.24452       0.123629
        5.24409        0.12177
         5.2267       0.121221
        5.21904       0.119696
        5.21985       0.117977
        5.19511       0.118905
        5.17223       0.119453
        5.16885       0.117853
        5.16416       0.116345
        5.16793       0.114845
        5.16774       0.113324
        5.16602       0.111856
        5.16411       0.110429
        5.16088        0.10907
        5.14306       0.109162
        5.12393       0.109489
        5.10634       0.109567
         5.0906       0.109378
        5.11021       0.109833
        5.09773       0.109248
        5.08517       0.108699
        5.10097       0.108599
        5.12352       0.109701
        5.13019       0.108666
        5.13339         0.1075
        5.11919       0.107257
        5.12016       0.106089
        5.11614       0.105019
        5.11766       0.103907
        5.11044        0.10306
        5.10495       0.102129
        5.11812       0.101924
        5.11614       0.100898
        5.10495       0.100499
        5.10782      0.0995306
