          Media         Errore
        1.58047              0
        1.51212      0.0683448
        1.54235      0.0497059
        1.54675      0.0354218
        1.53251      0.0309156
        1.53402      0.0252875
        1.52116      0.0249421
        1.52098      0.0216013
        1.52035      0.0190609
        1.51433      0.0180796
        1.50919      0.0171425
        1.50396         0.0165
         1.4996        0.01579
        1.50058      0.0146511
        1.49781      0.0139164
        1.49812      0.0130212
        1.49965      0.0123269
         1.4991      0.0116349
        1.49957      0.0110153
        1.50176      0.0106782
         1.4996      0.0103844
        1.50187      0.0101584
        1.50199     0.00970741
         1.5029     0.00933863
        1.50411     0.00903902
        1.50499      0.0087289
        1.50718     0.00867903
        1.50646     0.00839397
        1.50653     0.00809968
        1.50725     0.00785821
        1.50753      0.0076054
        1.50678     0.00740223
        1.50823      0.0073214
        1.50885     0.00712976
        1.50825      0.0069495
        1.50608     0.00709214
        1.50738     0.00701799
        1.50546     0.00709411
        1.50492     0.00693086
        1.50471     0.00675858
        1.50483     0.00659261
        1.50514     0.00644118
        1.50565     0.00631028
        1.50497     0.00620184
        1.50453     0.00607846
        1.50463     0.00594572
        1.50551     0.00588298
         1.5046      0.0058302
        1.50399     0.00574265
        1.50442     0.00564323
        1.50457     0.00553351
        1.50344     0.00554276
        1.50305     0.00545115
        1.50408     0.00544794
         1.5039     0.00535093
        1.50448     0.00528593
        1.50472     0.00519821
        1.50643     0.00538654
        1.50615     0.00530207
        1.50611     0.00521309
        1.50521     0.00520487
        1.50522     0.00512023
        1.50436     0.00511058
        1.50388     0.00505342
        1.50318     0.00502423
        1.50364      0.0049692
        1.50359     0.00489479
         1.5037     0.00482373
        1.50304     0.00480009
        1.50246     0.00476625
        1.50259     0.00470057
        1.50166     0.00472799
        1.50142     0.00466864
        1.50057     0.00468388
        1.50143     0.00470089
        1.50125     0.00464203
        1.50074     0.00461012
        1.50085     0.00455185
        1.50063     0.00449924
        1.50081      0.0044463
        1.50071     0.00439215
        1.50046     0.00434522
        1.50054     0.00429319
        1.50026     0.00425076
        1.50063     0.00421679
        1.50003     0.00421091
        1.50044     0.00418247
         1.5004     0.00413486
        1.49998     0.00410985
        1.49994      0.0040641
        1.50062     0.00407578
        1.50022     0.00405029
        1.50044     0.00401248
         1.5004     0.00396977
        1.50028     0.00392984
        1.50056     0.00389931
        1.50074     0.00386291
        1.50024     0.00385549
        1.50047     0.00382323
        1.50045     0.00378488
