          Media         Errore
        1.59927              0
        1.54376      0.0555061
         1.5504      0.0327262
        1.56442      0.0270576
        1.54739       0.027006
        1.54632      0.0220764
        1.53419       0.022253
        1.52763      0.0203573
        1.53015      0.0181298
        1.52364      0.0174739
         1.5173      0.0170327
        1.51306      0.0161166
        1.50724      0.0159254
        1.50355      0.0151979
        1.49998      0.0145926
        1.49996      0.0136501
         1.4984      0.0129168
        1.49826      0.0121789
        1.49747      0.0115469
         1.4984      0.0109934
        1.49614      0.0106974
        1.49844      0.0104538
        1.49922      0.0100196
            1.5      0.0096252
        1.50041     0.00924112
        1.50184     0.00899252
        1.50375     0.00886191
        1.50264     0.00861106
        1.50301     0.00831696
        1.50391     0.00808519
        1.50424     0.00782677
        1.50399     0.00758225
        1.50491     0.00740631
        1.50587     0.00724978
        1.50538     0.00705728
        1.50303     0.00724855
        1.50413     0.00713471
        1.50252     0.00712693
        1.50266     0.00694311
        1.50189     0.00681136
        1.50153      0.0066525
        1.50172     0.00649491
        1.50076     0.00641451
         1.5002     0.00629247
        1.50114     0.00622284
        1.50056     0.00611388
        1.50052     0.00598251
         1.4995     0.00594465
        1.50046     0.00590086
        1.49983     0.00581615
        1.50006       0.005706
        1.49944     0.00562946
        1.49866     0.00557743
        1.49968     0.00556705
        1.49931     0.00547733
        1.50029     0.00546727
        1.50091     0.00540638
        1.50212     0.00544765
        1.50152     0.00538786
        1.50199     0.00531841
        1.50119     0.00529269
        1.50158     0.00522186
        1.50166     0.00513886
        1.50046     0.00519851
        1.49973     0.00517008
        1.50056     0.00515902
        1.50066     0.00508247
        1.50053     0.00500899
        1.49957     0.00502776
        1.49864     0.00504167
        1.49954     0.00505133
        1.49889     0.00502402
        1.49888     0.00495472
        1.49805     0.00495688
        1.49798     0.00489083
        1.49827     0.00483471
        1.49817     0.00477266
        1.49847     0.00472107
        1.49824     0.00466673
        1.49854     0.00461738
        1.49829     0.00456657
        1.49841     0.00451206
        1.49874     0.00446974
        1.49831     0.00443704
         1.4987       0.004402
        1.49777     0.00444885
        1.49816     0.00441451
        1.49819     0.00436418
        1.49857     0.00433122
        1.49853     0.00428297
        1.49894     0.00425505
        1.49857     0.00422465
        1.49875     0.00418275
        1.49843     0.00414996
        1.49839      0.0041063
        1.49849     0.00406464
         1.4986       0.004024
        1.49879     0.00398699
        1.49907     0.00395709
        1.49864     0.00394083
