          Media         Errore
        1.75028              0
         1.5562       0.194084
        1.45305       0.152303
        1.55233       0.146471
        1.58302       0.117534
        1.63714       0.110178
        1.60555      0.0983324
        1.55019       0.101571
         1.5794      0.0942203
        1.57935      0.0842732
        1.56762      0.0771245
        1.54892      0.0728464
        1.58814      0.0776401
        1.65493      0.0981213
        1.63193       0.094196
        1.61576      0.0895834
         1.6717       0.101045
        1.66349      0.0956194
         1.6816      0.0922431
        1.71704      0.0944129
        1.70594      0.0904881
        1.69371      0.0871405
        1.69328      0.0832667
        1.68551      0.0801005
        1.65896      0.0812874
        1.67649       0.080042
        1.66764      0.0775274
        1.65338      0.0760547
        1.64339      0.0740626
        1.64378      0.0715524
        1.64167      0.0692377
        1.65019      0.0675772
        1.63902      0.0664425
        1.63599      0.0645298
         1.6334      0.0627123
        1.63246      0.0609528
          1.628      0.0594499
        1.62616      0.0578936
        1.61405      0.0576739
        1.60624      0.0567534
        1.60608      0.0553521
        1.60035       0.054321
        1.59221      0.0536628
        1.59333      0.0524409
        1.59181       0.051285
        1.58924      0.0502231
        1.58938      0.0491431
        1.57603      0.0499254
        1.60787       0.058346
        1.61085      0.0572451
        1.60086      0.0569946
        1.59333      0.0563929
        1.60695        0.05697
         1.6033      0.0560235
        1.61783      0.0568824
        1.61265      0.0560972
        1.60984      0.0551757
        1.60406      0.0545238
        1.60207      0.0536287
        1.59347      0.0534235
         1.5869      0.0529493
        1.58367      0.0521887
        1.58148      0.0514002
        1.58174      0.0505913
        1.58142      0.0498079
        1.58338      0.0490867
        1.59478      0.0496733
        1.58857       0.049329
        1.58885      0.0486096
        1.59959      0.0490996
        1.60903      0.0493146
        1.60007      0.0494433
        1.59004      0.0497819
        1.59022      0.0491048
        1.58707      0.0485477
        1.60906      0.0527102
        1.60507      0.0521741
         1.6092      0.0516668
        1.60156      0.0515778
        1.59885      0.0510013
        1.61206      0.0520717
        1.60622      0.0517625
        1.60145      0.0513576
        1.60157      0.0507426
        1.60021      0.0501605
        1.59532      0.0498144
        1.58822      0.0497476
        1.58635      0.0492145
        1.59098      0.0488779
        1.59129      0.0483327
        1.59262      0.0478172
        1.59029      0.0473518
        1.59287      0.0469109
        1.59346      0.0464128
        1.58948       0.046094
        1.58858      0.0456201
        1.58566      0.0452419
        1.58496      0.0447833
        1.58077      0.0445266
        1.57872      0.0441269
