#     Temperature:    Spec_Heat:         ERROR:
               0.5          0.326981        0.00289685
               0.6          0.422365        0.00144512
               0.7          0.433003        0.00144951
               0.8          0.439404       0.000949932
               0.9          0.435246       0.000674082
                 1          0.419685       0.000563636
               1.1          0.396683       0.000401574
               1.2          0.371178       0.000301288
               1.3          0.344214       0.000329335
               1.4          0.317674         0.0002755
               1.5          0.293119        0.00026554
               1.6          0.270194       0.000223147
               1.7          0.248956       0.000202281
               1.8           0.22949       0.000186095
               1.9          0.212051       0.000181366
                 2          0.196256       0.000173424
