#     Temperature:    Susceptibility:         ERROR:
               0.5            79.253          0.369325
               0.6           44.5063          0.266833
               0.7            24.837            0.1287
               0.8           15.2616         0.0576596
               0.9           10.2451         0.0397029
                 1           7.40797         0.0200078
               1.1            5.6154          0.013368
               1.2           4.41243         0.0104834
               1.3           3.58736        0.00549739
               1.4           2.97901        0.00510234
               1.5           2.52712        0.00475895
               1.6           2.18253         0.0037673
               1.7           1.90743        0.00327397
               1.8            1.6882        0.00265718
               1.9           1.51023        0.00234288
                 2           1.36073        0.00180969
