#     Temperature:    Magnetization:         ERROR:
               0.5        0.00293043         0.0251234
               0.6        0.00364467         0.0106902
               0.7         0.0008289        0.00510395
               0.8        0.00126766        0.00330948
               0.9       -0.00044188        0.00205702
                 1       -0.00096737        0.00148764
               1.1       -0.00045712        0.00111764
               1.2       -0.00090173        0.00092407
               1.3       -0.00145773       0.000689587
               1.4       -0.00098638       0.000587255
               1.5       -0.00042022       0.000549261
               1.6       -0.00045184       0.000461333
               1.7       -0.00023422       0.000387332
               1.8        -4.689e-05       0.000352001
               1.9         -8.07e-06       0.000305941
                 2         -4.02e-06       0.000282031
