#     Temperature:    Tot_energy:         ERROR:
               0.5          -0.97432        0.00037496
               0.6         -0.935437        0.00035448
               0.7         -0.892317       0.000212939
               0.8         -0.848475       0.000166897
               0.9         -0.804489       0.000162715
                 1         -0.761696       0.000136538
               1.1         -0.720725       0.000120594
               1.2         -0.682218       0.000116005
               1.3         -0.646501       0.000110006
               1.4          -0.61332       9.80368e-05
               1.5         -0.582746       9.29309e-05
               1.6         -0.554659       9.08611e-05
               1.7         -0.528706       0.000106415
               1.8         -0.504714       9.34687e-05
               1.9         -0.482647       9.28746e-05
                 2         -0.462168        8.2268e-05
