#     Temperature:    Tot_energy:         ERROR:
               0.5         -0.974127       0.000195729
               0.6         -0.935354       0.000233363
               0.7         -0.892007       0.000171327
               0.8         -0.848368       0.000184883
               0.9         -0.804556       0.000138895
                 1         -0.761688       9.90398e-05
               1.1         -0.720703       0.000116552
               1.2          -0.68222       0.000104978
               1.3         -0.646379       8.93251e-05
               1.4         -0.613213       9.31101e-05
               1.5         -0.582729       8.00183e-05
               1.6         -0.554537       8.78572e-05
               1.7         -0.528561       9.54517e-05
               1.8         -0.504695       8.44693e-05
               1.9         -0.482553       6.81685e-05
                 2         -0.462104       8.86089e-05
