#     Temperature:    Spec_Heat:         ERROR:
               0.5          0.329154        0.00168793
               0.6          0.423293        0.00107578
               0.7          0.431547         0.0010662
               0.8           0.43921       0.000751993
               0.9          0.436358       0.000639976
                 1           0.42055       0.000427953
               1.1           0.39741       0.000447277
               1.2          0.370938       0.000359926
               1.3          0.345085        0.00038084
               1.4          0.317806       0.000299055
               1.5           0.29337       0.000298983
               1.6            0.2705        0.00023319
               1.7          0.248956       0.000196881
               1.8          0.229831       0.000193246
               1.9          0.212323       0.000148141
                 2          0.196675       0.000112203
