#     Temperature:    Susceptibility:         ERROR:
               0.5           79.0627          0.186354
               0.6            44.471          0.175565
               0.7           24.6172          0.097609
               0.8           15.1789         0.0589721
               0.9           10.2843         0.0312724
                 1           7.40017         0.0156108
               1.1           5.61063         0.0118637
               1.2           4.41229        0.00798695
               1.3           3.57869        0.00619136
               1.4           2.97194        0.00491168
               1.5           2.52856        0.00347261
               1.6           2.17984        0.00365785
               1.7           1.90489        0.00222809
               1.8           1.69051        0.00196469
               1.9           1.50863        0.00181921
                 2           1.36032        0.00128097
