#     Temperature:    Magnetization:         ERROR:
               0.5          0.891968        0.00381998
               0.6          0.672327        0.00468373
               0.7          0.445127        0.00332148
               0.8          0.289886         0.0022076
               0.9           0.19973        0.00134627
                 1          0.146159        0.00106537
               1.1          0.110997       0.000835263
               1.2         0.0880121       0.000572756
               1.3         0.0708555       0.000560183
               1.4          0.058683       0.000390651
               1.5         0.0511061       0.000387957
               1.6         0.0439271       0.000376887
               1.7         0.0381391       0.000345981
               1.8         0.0339156        0.00027535
               1.9         0.0302117       0.000336214
                 2         0.0272571         0.0002352
