#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0277952   0.0277952           0
           2    0.028502   0.0281486 0.000249892
           3   0.0260452   0.0274475 0.000596221
           4   0.0278056    0.027537 0.000453838
           5   0.0247388   0.0269774 0.000618367
           6    0.026496   0.0268971 0.000520484
           7   0.0247912   0.0265963 0.000525938
           8   0.0278132   0.0267484 0.000481691
           9   0.0286372   0.0269583 0.000471678
          10   0.0287328   0.0271357 0.000456672
          11   0.0244304   0.0268898 0.000476804
          12   0.0258016   0.0267991  0.00044561
          13   0.0262536   0.0267571 0.000413303
          14   0.0227144   0.0264684 0.000474045
          15   0.0271548   0.0265141 0.000444645
          16   0.0278548   0.0265979 0.000424677
          17   0.0212248   0.0262819 0.000503764
          18   0.0273796   0.0263428 0.000479454
          19   0.0288236   0.0264734 0.000471663
          20   0.0268536   0.0264924 0.000448463
          21   0.0272848   0.0265302 0.000428692
          22     0.02699   0.0265511 0.000409715
          23   0.0266672   0.0265561 0.000391932
          24   0.0269704   0.0265734 0.000375982
          25   0.0271408   0.0265961 0.000361627
          26   0.0272788   0.0266223  0.00034867
          27     0.02995   0.0267456 0.000356875
          28    0.028804   0.0268191  0.00035162
          29    0.025708   0.0267808 0.000341576
          30   0.0292212   0.0268621 0.000339739
          31   0.0265848   0.0268532 0.000328897
          32   0.0264124   0.0268394 0.000318908
          33   0.0280776   0.0268769 0.000311443
          34   0.0267616   0.0268735 0.000302302
          35   0.0260456   0.0268499 0.000294588
          36   0.0274408   0.0268663 0.000286862
          37   0.0271316   0.0268735 0.000279199
          38    0.030182   0.0269605 0.000285104
          39   0.0293204    0.027021 0.000284142
          40   0.0306776   0.0271124 0.000291373
