#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.386106   -0.386106           0
           2   -0.390185   -0.388145  0.00144195
           3   -0.375823   -0.384038  0.00348877
           4    -0.37351   -0.381406  0.00347023
           5   -0.369513   -0.379027  0.00349764
           6   -0.395054   -0.381698  0.00380014
           7   -0.405031   -0.385032  0.00448694
           8   -0.393256    -0.38606  0.00404212
           9   -0.371613   -0.384454  0.00389871
          10   -0.350359   -0.381045  0.00477228
          11   -0.361114   -0.379233  0.00466974
          12   -0.334413   -0.375498  0.00557771
          13   -0.327211   -0.371784  0.00626452
          14   -0.361259   -0.371032  0.00586198
          15   -0.381116   -0.371704   0.0055096
          16   -0.385496   -0.372566  0.00523224
          17   -0.340449   -0.370677  0.00525449
          18    -0.34669   -0.369344  0.00512877
          19   -0.321636   -0.366833  0.00543887
          20   -0.345824   -0.365783  0.00526739
          21   -0.415394   -0.368145  0.00552098
          22    -0.38532   -0.368926  0.00532493
          23   -0.404599   -0.370477   0.0053145
          24   -0.437106   -0.373253  0.00577282
          25   -0.460526   -0.376744  0.00651243
          26   -0.421987   -0.378484  0.00649027
          27   -0.416546   -0.379894  0.00640116
          28    -0.45422   -0.382548  0.00670038
          29   -0.450893   -0.384905   0.0068713
          30   -0.433323   -0.386519  0.00682917
          31   -0.468954   -0.389178  0.00710778
          32   -0.506486   -0.392844  0.00777373
          33   -0.466574   -0.395078  0.00785268
          34   -0.518169   -0.398699  0.00841497
          35   -0.462087    -0.40051  0.00836716
          36   -0.421527   -0.401094  0.00815508
          37   -0.436747   -0.402057   0.0079914
          38   -0.384147   -0.401586  0.00779499
          39    -0.42065   -0.402075  0.00761043
          40   -0.425458   -0.402659  0.00744259
          41   -0.407322   -0.402773  0.00726193
          42   -0.428546   -0.403387  0.00711491
          43   -0.479438   -0.405155   0.0071659
          44   -0.457768   -0.406351   0.0071021
          45   -0.402668   -0.406269  0.00694475
          46   -0.389982   -0.405915   0.0068028
          47   -0.420748   -0.406231  0.00666537
          48   -0.407597   -0.406259  0.00652657
          49   -0.393221   -0.405993   0.0063988
          50   -0.396913   -0.405811   0.0062734
          51   -0.403586   -0.405768  0.00615054
