#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0532574   0.0532574           0
           2   0.0532895   0.0532735 1.13534e-05
           3   0.0498659   0.0521376 0.000927448
           4   0.0487673    0.051295  0.00100811
           5   0.0509264   0.0512213  0.00080918
           6    0.047734   0.0506401 0.000858034
           7     0.04796   0.0502572 0.000816423
           8   0.0480503   0.0499813  0.00075955
           9   0.0519628   0.0502015 0.000706342
          10   0.0482103   0.0500024 0.000663181
          11   0.0498538   0.0499889 0.000603029
          12   0.0502458   0.0500103 0.000553156
          13   0.0480676   0.0498609 0.000530407
          14    0.045605   0.0495569 0.000573049
          15    0.045541   0.0492891 0.000594104
          16   0.0509242   0.0493913 0.000565693
          17   0.0460111   0.0491925 0.000566284
          18   0.0485524   0.0491569  0.00053594
          19   0.0452745   0.0489526 0.000545296
          20   0.0481563   0.0489128 0.000519483
          21   0.0497969   0.0489549 0.000496449
          22    0.048238   0.0489223 0.000474951
          23    0.042899   0.0486604 0.000521526
          24   0.0491481   0.0486807 0.000500192
          25   0.0522441   0.0488233  0.00050008
          26   0.0453729   0.0486906 0.000498144
          27   0.0492166     0.04871 0.000480075
          28    0.053603   0.0488848 0.000493711
          29   0.0487532   0.0488803 0.000476707
          30   0.0460144   0.0487847 0.000470291
          31   0.0478703   0.0487552 0.000456045
          32   0.0508636   0.0488211 0.000446528
          33   0.0416538   0.0486039 0.000482937
          34   0.0531459   0.0487375 0.000486859
          35   0.0485733   0.0487328 0.000472972
          36    0.046854   0.0486806 0.000462704
          37   0.0520439   0.0487715  0.00045904
          38   0.0483539   0.0487605 0.000447092
          39   0.0545891     0.04891 0.000459929
          40   0.0529696   0.0490115 0.000459492
          41   0.0486918   0.0490037 0.000448351
          42   0.0501324   0.0490306  0.00043848
          43   0.0527717   0.0491176  0.00043683
          44   0.0559743   0.0492734 0.000453847
          45    0.047827   0.0492413 0.000444898
          46   0.0477205   0.0492082 0.000436453
          47   0.0504587   0.0492348 0.000427977
          48   0.0538909   0.0493318 0.000429913
          49   0.0521357    0.049389 0.000424931
          50   0.0493083   0.0493874 0.000416435
          51   0.0481915    0.049364 0.000408929
          52   0.0490646   0.0493582 0.000401106
          53   0.0494308   0.0493596  0.00039354
          54   0.0517486   0.0494038 0.000388731
          55   0.0471616    0.049363 0.000383795
          56   0.0519887   0.0494099 0.000379795
          57   0.0542535   0.0494949 0.000382519
          58   0.0471222    0.049454 0.000378105
          59   0.0521074    0.049499 0.000374362
          60   0.0467479   0.0494531  0.00037092
          61   0.0492841   0.0494504  0.00036485
          62   0.0486861    0.049438 0.000359173
          63   0.0499615   0.0494463 0.000353568
          64   0.0542483   0.0495214 0.000355915
          65   0.0480316   0.0494984 0.000351177
          66   0.0492896   0.0494953  0.00034587
          67   0.0483441   0.0494781 0.000341135
          68   0.0480207   0.0494567 0.000336791
          69   0.0517737   0.0494902 0.000333579
          70   0.0488817   0.0494816 0.000328927
          71   0.0515541   0.0495107 0.000325587
          72   0.0505867   0.0495257 0.000321408
          73   0.0526925   0.0495691 0.000319919
          74   0.0455176   0.0495143 0.000320247
          75   0.0570627    0.049615 0.000331415
          76   0.0460864   0.0495685  0.00033029
          77   0.0484165   0.0495536 0.000326339
          78   0.0480795   0.0495347 0.000322702
          79   0.0490028   0.0495279 0.000318688
          80   0.0456398   0.0494793 0.000318388
          81   0.0543386   0.0495393 0.000320059
          82   0.0511344   0.0495588 0.000316747
          83    0.050836   0.0495742 0.000313304
          84   0.0537249   0.0496236 0.000313447
          85   0.0488151   0.0496141 0.000309904
          86    0.046559   0.0495785 0.000308329
          87   0.0477115   0.0495571 0.000305531
          88   0.0506564   0.0495696 0.000302315
          89   0.0500815   0.0495753 0.000298972
          90   0.0486475    0.049565 0.000295828
          91   0.0467543   0.0495341 0.000294185
          92   0.0501026   0.0495403 0.000291053
          93   0.0565373   0.0496156 0.000297488
          94   0.0520313   0.0496413 0.000295431
          95   0.0496237   0.0496411 0.000292322
          96   0.0511166   0.0496564  0.00028968
          97   0.0494059   0.0496539 0.000286706
          98   0.0472772   0.0496296 0.000284804
          99   0.0516355   0.0496499 0.000282647
         100   0.0526006   0.0496794 0.000281356
         101   0.0548563   0.0497306 0.000283201
         102   0.0497804   0.0497311 0.000280425
         103    0.046198   0.0496968 0.000279793
         104   0.0486116   0.0496864 0.000277297
         105   0.0450952   0.0496427 0.000278082
         106   0.0478035   0.0496253 0.000275999
         107   0.0445436   0.0495778 0.000277476
         108    0.052725    0.049607 0.000276433
         109   0.0488771   0.0496003 0.000273978
         110   0.0470295   0.0495769 0.000272482
         111   0.0524467   0.0496027 0.000271251
         112   0.0505738   0.0496114 0.000268968
         113   0.0445274   0.0495664 0.000270324
         114   0.0513409    0.049582 0.000268401
         115   0.0498732   0.0495845 0.000266079
         116   0.0598463    0.049673 0.000278102
         117   0.0468978   0.0496493 0.000276735
         118   0.0527676   0.0496757 0.000275648
         119   0.0519845   0.0496951 0.000274014
         120   0.0448753   0.0496549 0.000274658
         121   0.0455081   0.0496207 0.000274518
         122   0.0485484   0.0496119 0.000272409
         123   0.0535193   0.0496436  0.00027204
         124    0.053518   0.0496749 0.000271635
         125   0.0502814   0.0496797 0.000269505
         126   0.0507908   0.0496885  0.00026751
         127   0.0502223   0.0496927 0.000265437
         128   0.0536057   0.0497233 0.000265118
         129   0.0474691   0.0497058 0.000263638
         130   0.0509875   0.0497157 0.000261794
         131   0.0517763   0.0497314 0.000260268
         132   0.0512739   0.0497431 0.000258558
         133   0.0486665    0.049735 0.000256741
         134   0.0495058   0.0497333 0.000254831
         135   0.0521071   0.0497509 0.000253549
         136   0.0501607   0.0497539 0.000251702
         137    0.046378   0.0497293 0.000251069
         138   0.0499688    0.049731 0.000249255
         139   0.0464797   0.0497076 0.000248557
         140   0.0459023   0.0496804 0.000248263
         141   0.0453516   0.0496497 0.000248394
         142   0.0452512   0.0496188 0.000248568
         143   0.0550415   0.0496567 0.000249706
         144   0.0476932    0.049643 0.000248344
         145   0.0479661   0.0496315   0.0002469
         146   0.0530804   0.0496551 0.000246337
         147    0.049932    0.049657 0.000244668
         148   0.0480124   0.0496459 0.000243267
         149     0.04797   0.0496346 0.000241894
         150    0.048251   0.0496254 0.000240457
         151   0.0468173   0.0496068 0.000239583
         152   0.0521798   0.0496237 0.000238604
         153   0.0492649   0.0496214 0.000237056
         154   0.0498892   0.0496231 0.000235523
         155   0.0547194    0.049656 0.000236288
         156   0.0464492   0.0496354 0.000235665
         157   0.0489017   0.0496308 0.000234211
         158   0.0494314   0.0496295 0.000232732
         159   0.0460166   0.0496068 0.000232375
         160   0.0466202   0.0495881 0.000231671
         161   0.0532293   0.0496107 0.000231333
         162   0.0545813   0.0496414 0.000231931
         163   0.0485086   0.0496345 0.000230612
         164   0.0539948   0.0496611 0.000230734
         165    0.047218   0.0496463  0.00022981
         166   0.0583217   0.0496985 0.000234292
         167   0.0500124   0.0497004 0.000232897
         168   0.0472214   0.0496856 0.000231978
         169   0.0538854   0.0497105 0.000231932
         170   0.0474578   0.0496972 0.000230946
         171   0.0504969   0.0497019 0.000229643
         172   0.0489266   0.0496974 0.000228352
         173   0.0501149   0.0496998 0.000227045
         174   0.0478624   0.0496893 0.000225985
         175   0.0488279   0.0496843 0.000224748
         176   0.0520594   0.0496978 0.000223876
         177   0.0524811   0.0497136 0.000223162
         178   0.0451885   0.0496881 0.000223352
         179   0.0452785   0.0496635 0.000223458
         180   0.0491291   0.0496605 0.000222237
         181   0.0518681   0.0496727 0.000221343
         182   0.0524671   0.0496881 0.000220659
         183   0.0453295   0.0496643 0.000220735
         184   0.0476933   0.0496536 0.000219795
         185   0.0498251   0.0496545 0.000218609
         186   0.0517035   0.0496655 0.000217711
         187   0.0456151   0.0496438 0.000217622
         188   0.0452901   0.0496207 0.000217693
         189   0.0467879   0.0496057 0.000217056
         190   0.0449957   0.0495814 0.000217266
         191   0.0497132   0.0495821 0.000216129
         192   0.0538916   0.0496046 0.000216166
         193   0.0527453   0.0496208 0.000215658
         194   0.0447491   0.0495957 0.000216003
         195   0.0509891   0.0496029 0.000215013
         196   0.0528999   0.0496197 0.000214573
         197   0.0585288   0.0496649 0.000218198
         198   0.0515232   0.0496743 0.000217298
         199   0.0536674   0.0496944  0.00021713
         200   0.0492251    0.049692 0.000216057
