#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.416495   -0.416495           0
           2   -0.411246   -0.413871  0.00185588
           3   -0.418265   -0.415336  0.00172077
           4   -0.415841   -0.415462  0.00129521
           5   -0.416808   -0.415731  0.00106378
           6   -0.420651   -0.416551  0.00116025
           7     -0.4138   -0.416158  0.00105895
           8    -0.40911   -0.415277  0.00124008
           9   -0.413548   -0.415085  0.00111707
          10   -0.418645   -0.415441  0.00106057
          11   -0.420109   -0.415865  0.00104561
          12   -0.409987   -0.415376  0.00106707
          13   -0.415575   -0.415391 0.000985094
          14    -0.41573   -0.415415 0.000915028
          15   -0.415911   -0.415448 0.000854623
          16   -0.414813   -0.415408  0.00080213
          17   -0.409715   -0.415074 0.000821898
          18   -0.411215   -0.414859 0.000803709
          19   -0.408869   -0.414544 0.000820921
          20   -0.413229   -0.414478 0.000782504
          21   -0.412383   -0.414378 0.000751576
          22   -0.419305   -0.414602 0.000750033
          23   -0.409249    -0.41437 0.000752669
          24   -0.411458   -0.414248 0.000731022
          25   -0.414855   -0.414272 0.000702184
          26   -0.409336   -0.414083 0.000700371
          27   -0.419639   -0.414288 0.000704013
          28   -0.420736   -0.414519 0.000715541
          29   -0.422006   -0.414777 0.000735976
          30   -0.416892   -0.414847 0.000714812
          31   -0.414078   -0.414823 0.000692184
          32   -0.408515   -0.414625 0.000698059
          33   -0.415961   -0.414666 0.000678078
          34   -0.413743   -0.414639 0.000658677
          35   -0.409058   -0.414479 0.000658878
          36   -0.410901    -0.41438 0.000648029
          37   -0.413779   -0.414364 0.000630718
          38   -0.410744   -0.414268 0.000621271
          39   -0.406321   -0.414065 0.000637883
          40   -0.411106   -0.413991 0.000626211
          41   -0.415837   -0.414036 0.000612555
          42   -0.414835   -0.414055 0.000598266
          43   -0.414178   -0.414058  0.00058436
          44   -0.410061   -0.413967 0.000578094
          45   -0.416221   -0.414017 0.000567413
          46   -0.416649   -0.414074 0.000557955
          47   -0.411357   -0.414016  0.00054907
          48   -0.415878   -0.414055 0.000538999
          49   -0.419364   -0.414163 0.000538779
          50   -0.417572   -0.414232 0.000532299
          51   -0.413124    -0.41421 0.000522304
          52    -0.41386   -0.414203 0.000512303
          53   -0.416082   -0.414239 0.000503862
          54   -0.411294   -0.414184 0.000497473
          55   -0.413562   -0.414173 0.000488557
          56   -0.416692   -0.414218 0.000481899
          57   -0.409325   -0.414132 0.000481029
          58   -0.418243   -0.414203 0.000477929
          59   -0.414816   -0.414213 0.000469941
          60   -0.414552   -0.414219 0.000462143
          61   -0.413027   -0.414199  0.00045498
          62   -0.412847   -0.414177 0.000448164
          63   -0.413426   -0.414166 0.000441209
          64   -0.417123   -0.414212 0.000436728
          65   -0.409469   -0.414139 0.000436061
          66   -0.412622   -0.414116 0.000430059
          67    -0.42127   -0.414223 0.000436695
          68   -0.416751    -0.41426 0.000431853
          69   -0.414609   -0.414265 0.000425624
          70   -0.416138   -0.414292 0.000420384
          71   -0.411256   -0.414249 0.000416631
          72    -0.40628   -0.414138  0.00042529
          73   -0.412679   -0.414118 0.000419934
          74   -0.417539   -0.414164 0.000416795
          75   -0.416169   -0.414191 0.000412094
          76   -0.417675   -0.414237 0.000409213
          77   -0.420006   -0.414312 0.000410699
          78   -0.408783   -0.414241 0.000411505
          79   -0.416532    -0.41427 0.000407317
          80   -0.412394   -0.414247   0.0004029
          81   -0.418785   -0.414303 0.000401804
          82   -0.417223   -0.414338 0.000398479
          83    -0.40965   -0.414282 0.000397661
          84   -0.409728   -0.414228 0.000396605
          85   -0.412583   -0.414208  0.00039241
          86   -0.415439   -0.414222 0.000388108
          87   -0.409553   -0.414169 0.000387341
          88   -0.417667   -0.414209 0.000384974
          89   -0.421581   -0.414291 0.000389459
          90   -0.409024   -0.414233 0.000389504
          91   -0.417014   -0.414263  0.00038642
          92   -0.407181   -0.414186 0.000389812
          93   -0.419036   -0.414239 0.000389093
          94   -0.412759   -0.414223 0.000385272
          95   -0.414298   -0.414224 0.000381217
          96   -0.414025   -0.414222 0.000377252
          97   -0.419257   -0.414273 0.000376917
          98   -0.410218   -0.414232 0.000375336
          99   -0.418788   -0.414278 0.000374356
         100   -0.419141   -0.414327 0.000373757
         101   -0.415235   -0.414336 0.000370165
         102   -0.422389   -0.414415 0.000374862
         103   -0.406264   -0.414336 0.000379483
         104   -0.406597   -0.414261  0.00038306
         105   -0.413553   -0.414254 0.000379471
         106   -0.414849    -0.41426 0.000375933
         107   -0.413727   -0.414255 0.000372453
         108   -0.405942   -0.414178 0.000376874
         109   -0.409832   -0.414138  0.00037552
         110    -0.41334   -0.414131 0.000372176
         111   -0.406218    -0.41406 0.000375588
         112   -0.417491    -0.41409 0.000373482
         113   -0.412547   -0.414077 0.000370426
         114   -0.414832   -0.414083 0.000367236
         115   -0.406075   -0.414014 0.000370586
         116   -0.408044   -0.413962 0.000370947
         117   -0.413576   -0.413959 0.000367791
         118   -0.410666   -0.413931 0.000365732
         119   -0.410831   -0.413905 0.000363585
         120   -0.409059   -0.413865 0.000362791
         121   -0.413119   -0.413858 0.000359845
         122   -0.414509   -0.413864 0.000356934
         123   -0.417354   -0.413892 0.000355159
         124    -0.41388   -0.413892 0.000352294
         125   -0.412656   -0.413882 0.000349615
         126   -0.418516   -0.413919 0.000348769
         127   -0.414728   -0.413925 0.000346081
         128   -0.411531   -0.413907 0.000343882
         129   -0.416049   -0.413923 0.000341617
         130   -0.407839   -0.413876  0.00034218
         131   -0.414272   -0.413879 0.000339581
         132   -0.413545   -0.413877 0.000337018
         133   -0.413686   -0.413875 0.000334487
         134    -0.41153   -0.413858 0.000332449
         135   -0.409499   -0.413826 0.000331551
         136   -0.413352   -0.413822 0.000329131
         137   -0.412472   -0.413812 0.000326876
         138   -0.412173     -0.4138 0.000324723
         139   -0.418094   -0.413831 0.000323853
         140   -0.411695   -0.413816 0.000321899
         141   -0.417286   -0.413841 0.000320556
         142   -0.414283   -0.413844 0.000318313
         143   -0.417795   -0.413871 0.000317284
         144   -0.412651   -0.413863 0.000315194
         145   -0.414828    -0.41387 0.000313091
         146   -0.411779   -0.413855 0.000311274
         147   -0.415103   -0.413864 0.000309272
         148   -0.413756   -0.413863 0.000307183
         149   -0.414941    -0.41387 0.000305207
         150   -0.414593   -0.413875  0.00030321
         151   -0.412119   -0.413863 0.000301425
         152   -0.421888   -0.413916  0.00030403
         153   -0.419384   -0.413952 0.000304136
         154    -0.41512   -0.413959 0.000302256
         155   -0.413904   -0.413959 0.000300306
         156   -0.411693   -0.413945 0.000298732
         157   -0.418716   -0.413975 0.000298371
         158   -0.415101   -0.413982 0.000296568
         159   -0.410523    -0.41396   0.0002955
         160    -0.41397    -0.41396 0.000293653
         161   -0.417997   -0.413986 0.000292897
         162   -0.412932   -0.413979 0.000291161
         163   -0.414941   -0.413985 0.000289435
         164   -0.411096   -0.413967 0.000288206
         165   -0.418125   -0.413992 0.000287559
         166   -0.414591   -0.413996 0.000285849
         167   -0.416867   -0.414013 0.000284654
         168   -0.416461   -0.414028 0.000283332
         169   -0.417465   -0.414048 0.000282385
         170   -0.412141   -0.414037 0.000280946
         171   -0.418732   -0.414064 0.000280642
         172   -0.413915   -0.414064 0.000279012
         173   -0.411369   -0.414048 0.000277833
         174   -0.416155    -0.41406   0.0002765
         175   -0.411663   -0.414046 0.000275259
         176   -0.413441   -0.414043 0.000273717
         177   -0.415572   -0.414052 0.000272307
         178   -0.427463   -0.414127 0.000281007
         179   -0.414874   -0.414131 0.000279468
         180   -0.416363   -0.414144 0.000278191
         181   -0.413784   -0.414142 0.000276661
         182   -0.414168   -0.414142 0.000275141
         183   -0.408998   -0.414114 0.000275069
         184   -0.422768   -0.414161 0.000277567
         185   -0.412071   -0.414149 0.000276296
         186   -0.410404   -0.414129 0.000275544
         187   -0.411958   -0.414118 0.000274315
         188   -0.415644   -0.414126 0.000272976
         189   -0.413009    -0.41412 0.000271595
         190   -0.415269   -0.414126 0.000270233
         191   -0.413979   -0.414125 0.000268819
         192   -0.420644   -0.414159 0.000269555
         193   -0.414137   -0.414159 0.000268158
         194   -0.414671   -0.414162 0.000266789
         195    -0.40932   -0.414137 0.000266574
         196   -0.412542   -0.414129 0.000265338
         197   -0.412212   -0.414119 0.000264169
         198   -0.413318   -0.414115 0.000262866
         199   -0.413993   -0.414114 0.000261546
         200   -0.415172   -0.414119 0.000260292
