#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0489191   0.0489191           0
           2   0.0492116   0.0490653 0.000103413
           3   0.0488496   0.0489934  9.0562e-05
           4   0.0484438    0.048856 0.000137023
           5   0.0494361    0.048972 0.000150943
           6   0.0486117    0.048912 0.000137213
           7   0.0495286       0.049 0.000143122
           8   0.0491614   0.0490202 0.000126645
           9   0.0490425   0.0490227 0.000112598
          10   0.0482525   0.0489457 0.000124932
          11   0.0490583   0.0489559 0.000113993
          12   0.0488086   0.0489436 0.000105153
          13   0.0491807   0.0489619 9.86325e-05
          14   0.0481922   0.0489069 0.000105805
          15   0.0495919   0.0489526 0.000108159
          16   0.0485124   0.0489251 0.000104839
          17   0.0489896   0.0489289 9.87407e-05
          18   0.0496291   0.0489678 0.000100628
          19   0.0486367   0.0489503 9.68278e-05
          20   0.0492006   0.0489628 9.27913e-05
          21   0.0489349   0.0489615 8.83822e-05
          22     0.04851    0.048941 8.67151e-05
          23   0.0491329   0.0489493 8.33454e-05
          24    0.049597   0.0489763 8.41282e-05
          25    0.049359   0.0489916 8.21437e-05
          26   0.0487929    0.048984 7.93393e-05
          27   0.0492953   0.0489955  7.7234e-05
          28   0.0491658   0.0490016 7.47148e-05
          29   0.0489058   0.0489983 7.22114e-05
          30   0.0487305   0.0489894  7.0354e-05
          31   0.0494439    0.049004 6.95953e-05
          32   0.0486148   0.0489919  6.8475e-05
          33   0.0488346   0.0489871 6.65656e-05
          34   0.0484908   0.0489725 6.61891e-05
          35   0.0497718   0.0489953 6.81243e-05
          36   0.0491773   0.0490004 6.64192e-05
          37   0.0490641   0.0490021 6.46464e-05
          38   0.0494935    0.049015 6.42256e-05
          39   0.0489939   0.0490145 6.25811e-05
          40   0.0494438   0.0490252 6.19301e-05
          41   0.0488093     0.04902 6.06431e-05
          42   0.0490274   0.0490201 5.91995e-05
          43   0.0496716   0.0490353   5.973e-05
          44   0.0493093   0.0490415 5.86963e-05
          45   0.0487517   0.0490351 5.77442e-05
          46   0.0496042   0.0490475 5.77991e-05
          47   0.0495253   0.0490576 5.74565e-05
          48   0.0490388   0.0490572 5.62608e-05
          49    0.049243    0.049061 5.52402e-05
          50   0.0488337   0.0490565 5.43222e-05
          51   0.0485595   0.0490467  5.4124e-05
          52   0.0489031    0.049044 5.31536e-05
          53   0.0492251   0.0490474 5.22605e-05
          54   0.0489712    0.049046 5.13117e-05
          55    0.048398   0.0490342 5.17138e-05
          56   0.0482502   0.0490202 5.26512e-05
          57   0.0490413   0.0490206 5.17288e-05
          58   0.0486333   0.0490139 5.12659e-05
          59   0.0492162   0.0490173 5.05115e-05
          60   0.0491613   0.0490197 4.97266e-05
          61   0.0491547   0.0490219 4.89607e-05
          62   0.0494318   0.0490285 4.86153e-05
          63   0.0484427   0.0490192 4.87248e-05
          64   0.0489993   0.0490189 4.79645e-05
          65   0.0489691   0.0490182 4.72327e-05
          66   0.0495465   0.0490262 4.71906e-05
          67   0.0486316   0.0490203 4.68523e-05
          68   0.0488981   0.0490185 4.61978e-05
          69   0.0492168   0.0490214 4.56176e-05
          70   0.0496126   0.0490298 4.57412e-05
          71   0.0490974   0.0490308 4.51069e-05
          72   0.0495528    0.049038 4.50595e-05
          73   0.0491118    0.049039 4.44536e-05
          74   0.0486718   0.0490341 4.41289e-05
          75   0.0489011   0.0490323 4.35762e-05
          76   0.0492501   0.0490352 4.30969e-05
          77   0.0493248   0.0490389 4.27011e-05
          78     0.04975    0.049048 4.31158e-05
          79   0.0493856   0.0490523 4.27813e-05
          80   0.0487591   0.0490486 4.24033e-05
          81   0.0488654   0.0490464 4.19401e-05
          82   0.0483233   0.0490376 4.23455e-05
          83   0.0492587   0.0490402 4.19191e-05
          84   0.0494937   0.0490456 4.17662e-05
          85   0.0492846   0.0490484 4.13694e-05
          86   0.0491561   0.0490497 4.09073e-05
          87   0.0485667   0.0490441 4.08121e-05
          88   0.0490291    0.049044 4.03487e-05
          89   0.0487704   0.0490409 4.00123e-05
