#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43891    -5.43891           0
           2    -5.44588     -5.4424  0.00246288
           3    -5.41859    -5.43446  0.00668433
           4    -5.51334    -5.45418   0.0177976
           5    -5.43832    -5.45101    0.014518
           6    -5.47441    -5.45491   0.0126115
           7    -5.46511    -5.45637   0.0108937
           8    -5.47228    -5.45836  0.00971199
           9    -5.47188    -5.45986  0.00874833
          10    -5.45987    -5.45986   0.0078735
          11    -5.45174    -5.45912  0.00719225
          12    -5.46517    -5.45963  0.00661053
          13    -5.44323    -5.45836   0.0062211
          14    -5.42686    -5.45611  0.00617029
          15     -5.4601    -5.45638  0.00576466
          16     -5.4399    -5.45535  0.00549556
          17    -5.45757    -5.45548  0.00517384
          18    -5.46789    -5.45617  0.00493213
          19    -5.44539     -5.4556  0.00470504
          20    -5.43739    -5.45469  0.00455702
          21    -5.42051    -5.45306  0.00462166
          22    -5.43864    -5.45241  0.00445784
          23    -5.44035    -5.45188  0.00429472
          24    -5.44835    -5.45174  0.00411831
          25    -5.42521    -5.45068  0.00408796
          26    -5.42366    -5.44964  0.00406061
          27    -5.45874    -5.44997  0.00392418
          28     -5.4324    -5.44935  0.00383389
          29    -5.42009    -5.44834  0.00383208
          30    -5.45791    -5.44866  0.00371761
          31    -5.40218    -5.44716  0.00388822
          32    -5.45512    -5.44741  0.00377467
          33     -5.4634    -5.44789  0.00369125
          34    -5.39887    -5.44645  0.00385398
          35     -5.4136    -5.44551  0.00385644
          36     -5.4608    -5.44594  0.00377261
          37    -5.44435    -5.44589   0.0036709
          38    -5.46548    -5.44641  0.00361029
          39    -5.39868    -5.44518  0.00371934
          40    -5.43611    -5.44496  0.00363327
          41    -5.42806    -5.44455  0.00356795
          42    -5.45357    -5.44476  0.00348947
          43    -5.43506    -5.44453   0.0034156
          44    -5.52069    -5.44627    0.003751
          45    -5.44354    -5.44621  0.00366813
          46    -5.42762     -5.4458  0.00361057
          47    -5.46159    -5.44614  0.00354935
          48    -5.42321    -5.44566   0.0035074
          49    -5.40675    -5.44487  0.00352455
          50    -5.42978    -5.44456  0.00346694
          51    -5.44827    -5.44464  0.00339972
          52    -5.38146    -5.44342  0.00354478
          53    -5.42096      -5.443  0.00350314
          54    -5.40515     -5.4423  0.00350767
          55    -5.43812    -5.44222  0.00344471
          56    -5.47587    -5.44282  0.00343522
          57    -5.41789    -5.44238  0.00340268
          58    -5.47152    -5.44289  0.00338088
          59    -5.44472    -5.44292  0.00332372
          60    -5.42893    -5.44269   0.0032765
          61    -5.43366    -5.44254  0.00322612
          62    -5.39593    -5.44179   0.0032605
          63    -5.36182    -5.44052  0.00344694
          64    -5.45614    -5.44076  0.00340172
          65    -5.43259    -5.44063  0.00335171
          66    -5.46375    -5.44098  0.00331917
          67    -5.45262    -5.44116  0.00327416
          68    -5.48972    -5.44187  0.00330297
          69    -5.44306    -5.44189  0.00325515
          70    -5.47659    -5.44239  0.00324618
          71    -5.46552    -5.44271  0.00321677
          72    -5.42561    -5.44247  0.00318085
          73     -5.4912    -5.44314  0.00320654
          74     -5.4225    -5.44286  0.00317532
          75    -5.43763    -5.44279  0.00313375
          76    -5.42062     -5.4425  0.00310606
          77    -5.47185    -5.44288  0.00308902
          78    -5.45845    -5.44308  0.00305587
          79     -5.4548    -5.44323  0.00302078
          80    -5.48537    -5.44376  0.00302861
