#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.62033     1.62033           0
           2      1.6273     1.62381   0.0024672
           3     1.61529     1.62097  0.00284395
           4      1.2246     1.52188   0.0858449
           5     1.53896      1.5253   0.0687439
           6     1.40343     1.50499   0.0602122
           7     1.35817     1.48401   0.0551424
           8     1.27497     1.45788   0.0540877
           9     1.28977      1.4392   0.0512019
          10     1.25429     1.42071   0.0493077
          11     1.62367     1.43916   0.0481536
          12     1.38866     1.43495   0.0443244
          13     1.61325     1.44867   0.0429844
          14     1.39867      1.4451   0.0400621
          15      1.3082     1.43597   0.0384167
          16     1.47528     1.43843   0.0360941
          17     1.38722     1.43542   0.0340964
          18     1.42247      1.4347   0.0322097
          19     1.72126     1.44978   0.0338621
          20     1.57731     1.45616   0.0327639
          21     1.51843     1.45912   0.0313376
          22     1.41434     1.45709   0.0299792
          23     1.66894      1.4663   0.0300576
          24     1.45315     1.46575   0.0288102
          25     1.72399     1.47608   0.0294514
          26     1.58027     1.48009     0.02859
          27     1.49515     1.48064   0.0275365
          28     1.49625      1.4812   0.0265587
          29     1.50147      1.4819   0.0256521
          30     1.67191     1.48823    0.025567
          31     1.80646      1.4985   0.0267237
          32     1.41886     1.49601   0.0260042
          33     1.50805     1.49637   0.0252188
          34      1.6705      1.5015   0.0249916
          35      1.7338     1.50813   0.0251435
          36     1.44525     1.50639   0.0245057
          37     1.49769     1.50615   0.0238445
          38     1.52535     1.50666   0.0232224
          39     1.58187     1.50859   0.0227069
          40      1.6975     1.51331    0.022625
          41     1.50623     1.51314   0.0220738
          42     1.31737     1.50847   0.0220349
          43     1.50393     1.50837   0.0215227
          44     1.10279     1.49915   0.0229226
          45     1.44898     1.49804   0.0224403
          46     1.60453     1.50035   0.0220715
          47     1.35821     1.49733   0.0218081
          48     1.66921     1.50091   0.0216458
          49     1.64642     1.50388   0.0214068
          50     1.48617     1.50352   0.0209816
          51     1.41139     1.50172   0.0206478
          52     1.65849     1.50473   0.0204697
          53     1.55393     1.50566   0.0201045
          54     1.66636     1.50864   0.0199512
          55     1.43387     1.50728   0.0196347
          56     1.33843     1.50426   0.0195142
          57     1.51003     1.50436   0.0191721
          58     1.27772     1.50045   0.0192357
          59      1.4048     1.49883   0.0189778
          60     1.49417     1.49876   0.0186617
          61     1.55457     1.49967   0.0183782
          62     1.80227     1.50455   0.0187186
          63     2.05252     1.51325   0.0203421
          64     1.41163     1.51166   0.0200862
          65     1.49106     1.51134   0.0197796
          66     1.46727     1.51068   0.0194912
          67     1.38467      1.5088   0.0192908
          68     1.33371     1.50622   0.0191782
          69     1.60088     1.50759   0.0189493
          70     1.36932     1.50562   0.0187812
          71     1.44952     1.50483   0.0185333
          72      1.4643     1.50426   0.0182845
          73     1.23345     1.50056   0.0184065
          74     1.54042     1.50109   0.0181656
          75     1.59632     1.50236   0.0179677
          76     1.61093     1.50379    0.017788
          77     1.28588     1.50096   0.0177807
          78     1.43061     1.50006   0.0175756
          79     1.37823     1.49852   0.0174207
          80     1.27351     1.49571   0.0174285
          81     1.39355     1.49444   0.0172589
          82     1.60218     1.49576   0.0170983
          83      1.5225     1.49608   0.0168954
          84     1.28365     1.49355   0.0168824
          85      1.3704      1.4921   0.0167459
          86     1.46039     1.49173   0.0165552
          87     1.43895     1.49113    0.016376
          88     1.64878     1.49292   0.0162876
