#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.42998    -5.42998           0
           2    -5.44708    -5.43853   0.0060464
           3    -5.43883    -5.43863  0.00403176
           4    -5.47086    -5.44669   0.0076036
           5    -5.43407    -5.44416  0.00648828
           6    -5.47784    -5.44978  0.00744915
           7    -5.45141    -5.45001  0.00638862
           8    -5.46474    -5.45185  0.00584919
           9    -5.47008    -5.45388  0.00553894
          10    -5.47673    -5.45616  0.00543593
          11    -5.51031    -5.46108  0.00681556
          12    -5.45793    -5.46082  0.00625266
          13    -5.47934    -5.46225  0.00593172
          14    -5.46337    -5.46233  0.00550857
          15    -5.44974    -5.46149  0.00520484
          16    -5.42905    -5.45946  0.00525961
          17    -5.46306    -5.45967  0.00495448
          18    -5.48915    -5.46131   0.0049425
          19    -5.46905    -5.46172  0.00469913
          20     -5.4714     -5.4622  0.00448906
          21    -5.46131    -5.46216  0.00427549
          22    -5.47025    -5.46253  0.00409692
          23    -5.50774    -5.46449  0.00436494
          24     -5.4362    -5.46331  0.00433938
          25    -5.44949    -5.46276   0.0042009
          26    -5.44205    -5.46196  0.00411416
          27     -5.4547    -5.46169  0.00397056
          28    -5.46117    -5.46168   0.0038288
          29    -5.48052    -5.46233  0.00375152
          30    -5.44739    -5.46183  0.00365936
          31    -5.46562    -5.46195  0.00354337
          32    -5.46121    -5.46193  0.00343271
          33      -5.452    -5.46163  0.00334184
          34    -5.46872    -5.46184  0.00325006
          35     -5.4619    -5.46184  0.00315721
          36    -5.43098    -5.46098   0.0031837
          37    -5.47064    -5.46124  0.00310834
          38    -5.45911    -5.46119  0.00302705
          39     -5.4948    -5.46205  0.00306971
          40    -5.44768    -5.46169  0.00301392
          41    -5.45888    -5.46162  0.00294119
          42    -5.48766    -5.46224  0.00293576
          43    -5.45903    -5.46216  0.00286844
          44      -5.445    -5.46177  0.00282964
          45    -5.47467    -5.46206  0.00278122
          46    -5.44849    -5.46177  0.00273637
          47    -5.46897    -5.46192  0.00268244
          48    -5.48302    -5.46236  0.00266232
          49    -5.47082    -5.46253  0.00261359
          50    -5.46586     -5.4626  0.00256216
          51    -5.45248     -5.4624  0.00251959
          52    -5.43385    -5.46185  0.00253025
          53    -5.47313    -5.46206  0.00249145
          54    -5.47599    -5.46232  0.00245862
          55    -5.46978    -5.46246  0.00241766
          56    -5.46571    -5.46252  0.00237519
          57    -5.45425    -5.46237  0.00233794
          58    -5.47202    -5.46254  0.00230355
          59    -5.44295     -5.4622  0.00228831
          60    -5.47013    -5.46234  0.00225398
          61    -5.46159    -5.46232  0.00221706
          62    -5.47463    -5.46252  0.00219016
          63    -5.50454    -5.46319  0.00225467
          64    -5.47895    -5.46344  0.00223284
          65    -5.45033    -5.46323  0.00220757
