#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.60972     1.60972           0
           2     1.48618     1.54795   0.0436774
           3     1.51528     1.53706   0.0304458
           4     1.35038     1.49039   0.0464216
           5     1.53594      1.4995   0.0380207
           6     1.33303     1.47176   0.0405629
           7     1.47924     1.47283   0.0347823
           8     1.37084     1.46008   0.0326873
           9     1.36776     1.44982   0.0306226
          10     1.30766     1.43561   0.0306831
          11      1.1604     1.41059   0.0367028
          12     1.42564     1.41184   0.0336656
          13     1.31556     1.40444   0.0318802
          14     1.41993     1.40554   0.0296223
          15     1.47287     1.41003   0.0279854
          16     1.56958        1.42   0.0279565
          17     1.45997     1.42235   0.0264107
          18     1.35202     1.41845   0.0252308
          19     1.39743     1.41734   0.0239271
          20     1.35732     1.41434   0.0229182
          21     1.35962     1.41173   0.0219744
          22     1.39875     1.41114   0.0209835
          23     1.14739     1.39968   0.0229922
          24     1.54431      1.4057   0.0228103
          25     1.56202     1.41195   0.0227387
          26     1.53522      1.4167   0.0223529
          27      1.4356      1.4174    0.021536
          28     1.37681     1.41595   0.0208156
          29     1.29287      1.4117   0.0205259
          30     1.54262     1.41607   0.0203003
          31     1.38041     1.41492    0.019678
          32     1.42433     1.41521   0.0190653
          33     1.48532     1.41734   0.0186055
          34     1.35902     1.41562   0.0181372
          35      1.4155     1.41562    0.017619
          36     1.53532     1.41894   0.0174405
          37     1.36589     1.41751    0.017028
          38     1.40956      1.4173   0.0165812
          39     1.18677     1.41139   0.0171773
          40     1.47019     1.41286   0.0168107
          41     1.37286     1.41188   0.0164289
          42     1.27908     1.40872   0.0163392
          43     1.41034     1.40876   0.0159593
          44     1.51329     1.41113   0.0157724
          45     1.38104     1.41046   0.0154361
          46     1.51402     1.41272   0.0152638
          47     1.34672     1.41131   0.0150035
          48     1.32431      1.4095      0.0148
          49     1.40652     1.40944   0.0144981
          50     1.38644     1.40898   0.0142154
          51     1.51085     1.41098   0.0140763
          52     1.51594     1.41299   0.0139496
          53     1.37837     1.41234   0.0137017
          54      1.3545     1.41127   0.0134897
          55     1.36322      1.4104   0.0132727
          56     1.38902     1.41001   0.0130412
          57     1.45341     1.41078   0.0128346
          58     1.35576     1.40983   0.0126483
          59     1.52232     1.41173   0.0125769
          60     1.37782     1.41117   0.0123799
          61     1.41903      1.4113   0.0121777
          62     1.37684     1.41074   0.0119939
          63     1.21516     1.40764   0.0121987
          64     1.37368     1.40711   0.0120196
          65     1.50438      1.4086   0.0119275
          66     1.42364     1.40883   0.0117489
          67     1.30131     1.40723   0.0116827
          68     1.32446     1.40601   0.0115741
          69     1.34507     1.40513     0.01144
          70     1.44006     1.40563   0.0112875
          71     1.22323     1.40306   0.0114171
          72     1.47207     1.40402   0.0112987
          73     1.38006     1.40369   0.0111486
          74     1.35758     1.40306   0.0110154
          75     1.37766     1.40273   0.0108737
          76     1.37256     1.40233   0.0107379
          77     1.45048     1.40295   0.0106166
          78     1.15191     1.39974   0.0109575
          79     1.49792     1.40098   0.0108891
          80     1.40233     1.40099    0.010753
          81     1.31992     1.39999   0.0106667
          82      1.4229     1.40027   0.0105403
          83      1.6074     1.40277   0.0107046
          84     1.43259     1.40312   0.0105831
          85     1.48124     1.40404   0.0104984
          86     1.31704     1.40303    0.010425
          87     1.40429     1.40305   0.0103051
          88     1.56008     1.40483   0.0103414
          89     1.26984     1.40331   0.0103358
          90     1.34801      1.4027   0.0102392
          91      1.3088     1.40167   0.0101786
          92      1.3524     1.40113    0.010082
          93     1.51869      1.4024   0.0100525
          94     1.58602     1.40435   0.0101336
          95     1.38691     1.40417   0.0100286
          96     1.40909     1.40422  0.00992428
          97     1.51406     1.40535  0.00988636
          98     1.43215     1.40562  0.00978927
          99     1.53022     1.40688  0.00977095
         100     1.32889      1.4061  0.00970432
         101     1.33492      1.4054  0.00963379
         102      1.3292     1.40465  0.00956827
         103     1.47239     1.40531  0.00949795
         104     1.59519     1.40713  0.00958051
         105     1.42192     1.40727   0.0094903
         106     1.19388     1.40526  0.00961192
         107     1.33653     1.40462  0.00954353
         108     1.49209     1.40543  0.00948947
         109     1.35113     1.40493  0.00941548
         110      1.5137     1.40592  0.00938166
         111     1.28179      1.4048  0.00936355
         112     1.52051     1.40583  0.00933677
         113     1.31859     1.40506  0.00928601
         114     1.50012      1.4059  0.00924192
         115     1.39044     1.40576  0.00916253
         116     1.45707      1.4062  0.00909421
         117     1.23432     1.40473  0.00913437
         118     1.36241     1.40438    0.009064
         119     1.53017     1.40543  0.00904926
         120      1.6855     1.40777  0.00926994
         121      1.4272     1.40793  0.00919472
         122     1.45155     1.40828  0.00912631
         123     1.47408     1.40882  0.00906777
         124     1.39462     1.40871  0.00899537
         125      1.3747     1.40843  0.00892752
         126      1.3383     1.40788    0.008874
         127     1.32949     1.40726  0.00882557
         128     1.43741     1.40749  0.00875976
         129     1.33995     1.40697  0.00870749
         130     1.41578     1.40704  0.00864077
         131     1.26763     1.40597  0.00864009
         132     1.28468     1.40506  0.00862336
         133     1.30238     1.40428  0.00859301
         134      1.3122      1.4036  0.00855632
         135     1.57672     1.40488   0.0085885
         136     1.34239     1.40442  0.00853763
         137     1.21738     1.40305  0.00858378
         138     1.39971     1.40303  0.00852161
         139     1.32894      1.4025  0.00847696
         140     1.37455      1.4023  0.00841876
         141     1.31497     1.40168   0.0083818
         142     1.52959     1.40258  0.00837104
         143     1.42447     1.40273   0.0083139
         144     1.37382     1.40253  0.00825859
         145     1.44896     1.40285  0.00820784
         146     1.36642      1.4026  0.00815541
         147     1.39736     1.40257  0.00810001
         148      1.4941     1.40318  0.00806886
         149     1.28741     1.40241  0.00805203
         150     1.32406     1.40189  0.00801527
         151     1.30076     1.40122  0.00799012
         152     1.33752      1.4008  0.00794853
         153     1.31437     1.40023  0.00791663
         154     1.47109     1.40069  0.00787858
         155     1.46165     1.40109  0.00783756
         156     1.43552     1.40131  0.00779043
         157     1.31765     1.40077  0.00775901
         158     1.40408     1.40079  0.00770993
         159     1.50335     1.40144  0.00768837
         160      1.5532     1.40239   0.0076986
         161     1.46164     1.40276  0.00765958
         162     1.43118     1.40293   0.0076143
         163     1.36529      1.4027  0.00757109
         164     1.32107      1.4022  0.00754127
         165     1.33378     1.40179  0.00750696
         166     1.44742     1.40206  0.00746677
         167      1.3536     1.40177  0.00742769
         168     1.35461     1.40149  0.00738879
         169     1.41011     1.40154  0.00734524
         170     1.32234     1.40108  0.00731679
         171     1.28826     1.40042  0.00730369
         172     1.40764     1.40046  0.00726134
         173     1.42419      1.4006  0.00722067
         174     1.32818     1.40018  0.00719115
         175     1.45573      1.4005  0.00715706
         176     1.39742     1.40048  0.00711642
         177     1.45795      1.4008  0.00708362
         178     1.39495     1.40077   0.0070439
         179     1.36257     1.40056  0.00700778
         180     1.36378     1.40035  0.00697182
         181     1.39425     1.40032  0.00693339
         182     1.36334     1.40012  0.00689827
         183     1.42299     1.40024  0.00686171
         184     1.51551     1.40087  0.00685295
         185     1.33688     1.40052  0.00682463
         186      1.2276     1.39959  0.00685097
         187     1.48929     1.40007   0.0068311
         188     1.33574     1.39973  0.00680333
         189     1.35833     1.39951  0.00677086
         190     1.37744      1.3994  0.00673622
         191     1.39505     1.39937  0.00670099
         192     1.34038     1.39907  0.00667313
         193     1.49837     1.39958  0.00665836
         194     1.41402     1.39965  0.00662446
         195     1.48773     1.40011  0.00660587
         196     1.42325     1.40022  0.00657322
         197     1.32499     1.39984  0.00655094
         198     1.36439     1.39966   0.0065203
         199     1.31405     1.39923  0.00650171
         200     1.35228       1.399  0.00647344
