#   STEP:  TEMPERATURE:
           0     -6.6116
           0    -6.49953
           0    -6.41379
           0    -6.36224
           0    -6.24357
           0    -6.17079
           0    -6.17536
           0    -6.15177
           0    -6.16701
           0    -6.11477
           0    -6.06312
           0    -6.02017
           0    -5.92995
           0    -5.90218
           0    -5.91783
           0    -5.94746
           0    -5.84445
           0    -5.82677
           0    -5.82527
           0    -5.87869
           0    -5.91102
           0    -5.93379
           0    -5.97458
           0    -5.94863
           0    -5.92277
           0    -5.96076
           0    -5.91748
           0    -5.84871
           0    -5.89584
           0    -5.91189
           0    -5.81317
           0    -5.80318
           0    -5.74808
           0    -5.83467
           0    -5.94438
           0    -5.94814
           0    -6.05112
           0    -5.97289
           0    -6.04332
           0    -5.92912
           0    -5.88227
           0    -5.89749
           0    -5.90295
           0    -5.88321
           0    -5.81154
           0    -5.79603
           0    -5.77665
           0    -5.60466
           0     -5.6355
           0    -5.74045
           0    -5.77818
           0    -5.72404
           0    -5.69349
           0    -5.71161
           0    -5.73182
           0    -5.54989
           0    -5.62303
           0    -5.59227
           0    -5.65593
           0    -5.71891
           0     -5.7503
           0    -5.71425
           0    -5.73364
           0    -5.80261
           0    -5.73096
           0    -5.64999
           0    -5.63979
           0    -5.64407
           0    -5.62814
           0    -5.57888
           0     -5.6962
           0    -5.68129
           0    -5.73371
           0    -5.71226
           0    -5.72723
           0    -5.78533
           0     -5.7918
           0    -5.77444
           0     -5.7996
           0    -5.73417
           0    -5.77289
           0     -5.6801
           0    -5.73826
           0    -5.71785
           0    -5.67372
           0    -5.75336
           0    -5.72321
           0    -5.72638
           0    -5.74157
           0    -5.65603
           0    -5.78165
           0    -5.74462
           0    -5.67911
           0    -5.69099
           0     -5.6308
           0    -5.66415
           0    -5.65867
           0    -5.57007
           0    -5.57683
           0    -5.57535
           0    -5.69476
           0    -5.61501
           0    -5.61485
           0    -5.54778
           0    -5.60126
           0    -5.65771
           0    -5.61239
           0    -5.63317
           0    -5.64188
           0    -5.68395
           0    -5.65524
           0    -5.66759
           0    -5.65726
           0    -5.60193
           0    -5.63171
           0    -5.53621
           0    -5.59419
           0    -5.62246
           0    -5.74397
           0    -5.68311
           0    -5.62215
           0    -5.61467
           0     -5.5749
           0    -5.61942
           0    -5.52091
           0    -5.49237
           0    -5.48562
           0    -5.42339
           0    -5.49787
           0    -5.52728
           0    -5.50783
           0    -5.49235
           0     -5.5317
           0    -5.46383
