#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20303     1.20303           0
           2     1.20884     1.20593  0.00205399
           3      1.2044     1.20542  0.00143189
           4     1.19528     1.20289  0.00244331
           5     1.20518     1.20335  0.00199733
           6     1.19922     1.20266  0.00177889
           7     1.20835     1.20347  0.00170064
           8     1.19922     1.20294  0.00156907
           9     1.20248     1.20289  0.00139554
          10     1.20373     1.20297  0.00125849
          11     1.20268     1.20295  0.00114437
          12     1.20171     1.20284  0.00105366
          13     1.20266     1.20283 0.000972711
          14      1.2038      1.2029 0.000905704
          15     1.20354     1.20294 0.000846343
          16     1.20645     1.20316 0.000821298
          17     1.20311     1.20316 0.000772992
          18     1.20151     1.20307 0.000735433
          19     1.19363     1.20257 0.000847855
          20     1.21635     1.20326  0.00104859
          21     1.20185     1.20319  0.00100079
          22     1.19206     1.20269  0.00107555
          23     1.19657     1.20242  0.00106111
          24     1.19914     1.20228  0.00102563
          25     1.19788     1.20211 0.000999638
          26      1.2058     1.20225 0.000971257
          27     1.19418     1.20195 0.000980173
          28     1.18205     1.20124   0.0011749
          29     1.19517     1.20103  0.00115287
          30     1.21522      1.2015  0.00120762
          31     1.20666     1.20167  0.00118004
          32     1.19685     1.20152  0.00115272
          33     1.20773     1.20171  0.00113304
          34     1.19063     1.20138  0.00114558
          35     1.20289     1.20142  0.00111366
          36     1.20353     1.20148  0.00108427
          37     1.20612     1.20161  0.00106217
          38     1.19865     1.20153  0.00103706
          39     1.19897     1.20147  0.00101254
          40     1.19228     1.20124  0.00101293
          41     1.21258     1.20151   0.0010253
          42       1.196     1.20138  0.00100925
          43     1.20442     1.20145 0.000988255
          44     1.19056      1.2012  0.00099634
          45     1.21059     1.20141  0.00099577
          46     1.18724      1.2011  0.00102065
          47     1.20648     1.20122  0.00100533
          48     1.19591     1.20111  0.00099044
          49     1.19263     1.20094 0.000985225
          50     1.20176     1.20095 0.000965659
          51     1.20883     1.20111  0.00095899
          52     1.19182     1.20093  0.00095702
          53     1.21977     1.20128   0.0010028
          54     1.20369     1.20133 0.000985221
          55     1.20234     1.20135 0.000967479
          56     1.19642     1.20126 0.000954189
          57     1.20359      1.2013 0.000938327
          58     1.20924     1.20144 0.000932077
          59     1.20838     1.20155 0.000923685
          60     1.19787     1.20149 0.000910327
          61     1.20196      1.2015 0.000895436
          62      1.2133     1.20169 0.000901003
          63     1.21051     1.20183 0.000897511
          64     1.19032     1.20165 0.000901342
          65     1.20964     1.20177 0.000895826
          66     1.19474     1.20167 0.000888563
          67     1.20054     1.20165 0.000875461
          68     1.20278     1.20167 0.000862745
          69      1.2047     1.20171 0.000851363
          70     1.21886     1.20196 0.000873728
          71     1.18152     1.20167 0.000907602
          72     1.20521     1.20172 0.000896332
          73     1.20271     1.20173 0.000884157
          74     1.20249     1.20174 0.000872268
          75     1.19464     1.20165 0.000865764
          76     1.20793     1.20173 0.000858307
          77      1.1941     1.20163 0.000852859
          78      1.2166     1.20182 0.000863257
          79     1.20143     1.20182 0.000852344
          80     1.19794     1.20177 0.000843068
          81     1.20637     1.20183 0.000834569
          82     1.19185      1.2017 0.000833201
          83     1.22259     1.20196 0.000860322
          84     1.18774     1.20179 0.000866575
          85     1.20704     1.20185 0.000858581
          86     1.19976     1.20182 0.000848941
          87     1.19495     1.20174 0.000842852
          88     1.19295     1.20164  0.00083918
          89     1.21475     1.20179 0.000842576
          90     1.20188     1.20179 0.000833215
          91     1.19996     1.20177 0.000824301
          92     1.20165     1.20177 0.000815342
          93     1.19759     1.20173 0.000807814
          94     1.20354     1.20175 0.000799451
          95     1.20468     1.20178 0.000791634
          96     1.19918     1.20175 0.000783849
          97     1.19719      1.2017 0.000777175
          98      1.2004     1.20169 0.000769359
          99     1.19156     1.20159 0.000768359
         100     1.20432     1.20161 0.000761159
         101     1.19435     1.20154 0.000757015
         102     1.20766      1.2016 0.000751962
