#   STEP:  TEMPERATURE:
           0    -7.46479
           0    -7.46762
           0    -7.47085
           0    -7.47351
           0    -7.47624
           0    -7.48033
           0    -7.48349
           0    -7.48734
           0    -7.49156
           0    -7.49482
           0    -7.49811
           0    -7.50043
           0    -7.50405
           0    -7.50831
           0     -7.5119
           0    -7.51483
           0    -7.51837
           0     -7.5222
           0    -7.52565
           0    -7.52938
           0    -7.53272
           0    -7.53631
           0    -7.53983
           0    -7.54327
           0    -7.54597
           0    -7.54891
           0     -7.5511
           0    -7.55351
           0     -7.5555
           0    -7.55802
           0    -7.56009
           0    -7.56173
           0    -7.56389
           0    -7.56721
           0    -7.56977
           0    -7.57187
           0    -7.57351
           0    -7.57534
           0    -7.57768
           0    -7.57827
           0     -7.5797
           0    -7.58067
           0    -7.58117
           0    -7.58187
           0    -7.58212
           0    -7.58288
           0     -7.5835
           0      -7.584
           0    -7.58373
           0    -7.58334
           0    -7.58315
           0    -7.58253
           0    -7.58211
           0    -7.58158
           0    -7.58095
           0    -7.57925
           0    -7.57908
           0    -7.57752
           0    -7.57685
           0    -7.57545
           0    -7.57462
           0    -7.57309
           0    -7.57214
           0    -7.57113
           0    -7.56943
           0    -7.56833
           0    -7.56752
           0    -7.56668
           0     -7.5655
           0    -7.56364
           0    -7.56242
           0    -7.56087
           0    -7.55933
           0    -7.55713
           0    -7.55592
           0    -7.55505
           0    -7.55291
           0    -7.55144
           0       -7.55
           0    -7.54828
           0    -7.54724
           0     -7.5456
           0    -7.54433
           0    -7.54311
           0    -7.54194
           0    -7.54116
           0    -7.54043
           0    -7.53977
           0    -7.53917
           0    -7.53832
           0    -7.53785
           0    -7.53681
           0    -7.53649
           0    -7.53592
           0    -7.53477
           0    -7.53401
           0    -7.53333
           0    -7.53337
           0    -7.53316
           0    -7.53367
           0    -7.53361
           0    -7.53394
           0     -7.5337
           0     -7.5345
           0    -7.53536
           0    -7.53565
           0    -7.53634
           0    -7.53676
           0    -7.53726
           0    -7.53814
           0    -7.53877
           0    -7.53881
           0    -7.53956
           0    -7.54038
           0    -7.54126
           0    -7.54317
           0    -7.54417
           0    -7.54522
           0    -7.54666
           0    -7.54881
           0    -7.55004
           0    -7.55132
           0    -7.55234
           0    -7.55406
           0     -7.5555
           0    -7.55732
           0    -7.55822
           0    -7.55982
           0    -7.56114
           0    -7.56283
           0     -7.5636
           0    -7.56505
           0    -7.56752
           0    -7.56971
           0    -7.57161
           0    -7.57387
           0    -7.57616
           0    -7.57784
           0    -7.57987
           0    -7.58193
           0    -7.58401
           0    -7.58612
           0     -7.5876
           0    -7.58942
           0     -7.5919
           0    -7.59406
           0    -7.59624
           0    -7.59809
           0    -7.60091
           0    -7.60276
           0    -7.60558
           0    -7.60774
           0    -7.60988
           0    -7.61266
           0    -7.61477
           0    -7.61718
           0    -7.61891
           0    -7.62127
           0    -7.62359
           0    -7.62523
           0    -7.62748
           0    -7.62968
           0    -7.63119
           0    -7.63233
           0    -7.63375
           0    -7.63575
           0    -7.63738
           0     -7.6396
           0    -7.64079
           0    -7.64223
           0    -7.64394
           0    -7.64493
           0    -7.64618
           0    -7.64703
           0    -7.64813
           0    -7.64917
           0    -7.65078
           0    -7.65135
           0    -7.65184
           0     -7.6529
           0    -7.65421
           0    -7.65511
           0    -7.65626
           0    -7.65734
           0    -7.65866
           0    -7.65926
           0    -7.65848
           0    -7.65827
           0    -7.65798
           0    -7.65696
           0    -7.65652
           0    -7.65632
           0    -7.65604
           0    -7.65601
           0    -7.65557
           0    -7.65506
           0    -7.65383
           0    -7.65252
           0    -7.65114
           0       -7.65
           0    -7.64976
           0    -7.64881
           0    -7.64843
           0      -7.647
           0    -7.64551
           0    -7.64395
           0    -7.64297
           0    -7.64127
           0    -7.63951
           0    -7.63736
           0    -7.63547
           0    -7.63352
           0    -7.63215
           0    -7.62974
           0    -7.62825
           0    -7.62637
           0    -7.62443
           0     -7.6221
           0    -7.62004
           0    -7.61728
           0     -7.6138
           0    -7.61254
           0    -7.60961
           0    -7.60727
           0    -7.60455
           0     -7.6021
           0     -7.5996
           0    -7.59769
           0    -7.59477
           0    -7.59179
           0    -7.58876
           0    -7.58601
           0    -7.58353
           0    -7.58035
           0    -7.57713
           0    -7.57354
           0    -7.57056
           0    -7.56753
           0    -7.56413
           0    -7.56134
           0    -7.55722
           0    -7.55339
           0    -7.54984
           0    -7.54593
           0    -7.54297
           0    -7.53965
           0    -7.53662
           0    -7.53389
           0    -7.53049
           0    -7.52771
           0    -7.52459
           0    -7.52113
           0    -7.51732
           0    -7.51416
           0    -7.51098
           0    -7.50715
           0    -7.50299
           0    -7.49915
           0    -7.49629
           0    -7.49278
           0     -7.4896
           0    -7.48546
           0    -7.48198
           0    -7.47755
           0     -7.4754
           0    -7.47197
           0    -7.46955
           0    -7.46585
           0    -7.46219
           0    -7.45986
           0    -7.45692
           0    -7.45402
           0    -7.45117
           0    -7.44771
           0    -7.44462
           0    -7.44191
           0    -7.43828
           0    -7.43568
           0    -7.43281
           0    -7.43001
           0    -7.42726
           0    -7.42491
           0     -7.4223
           0    -7.41975
           0    -7.41696
           0    -7.41489
           0    -7.41224
           0    -7.40967
           0     -7.4075
           0    -7.40508
           0    -7.40274
           0    -7.40081
           0    -7.39896
           0    -7.39752
           0    -7.39616
           0    -7.39456
           0    -7.39304
           0    -7.39193
           0    -7.39026
           0    -7.38932
           0    -7.38782
           0     -7.3877
           0    -7.38734
           0    -7.38642
           0    -7.38526
           0    -7.38451
           0    -7.38384
           0    -7.38325
           0    -7.38308
           0    -7.38201
           0    -7.38136
           0    -7.38111
           0    -7.38094
           0    -7.38085
           0    -7.38084
           0    -7.38124
           0    -7.38172
           0    -7.38195
           0    -7.38193
           0    -7.38231
           0    -7.38277
           0    -7.38363
           0     -7.3839
           0    -7.38458
           0    -7.38532
           0    -7.38678
           0    -7.38799
           0    -7.38861
           0     -7.3893
           0    -7.39006
           0    -7.39055
           0    -7.39208
           0    -7.39334
           0     -7.3953
           0    -7.39635
           0    -7.39779
           0    -7.39959
           0    -7.40015
           0    -7.40109
           0     -7.4024
           0    -7.40375
           0    -7.40547
           0    -7.40723
           0    -7.40935
           0    -7.41151
           0    -7.41371
           0    -7.41594
           0    -7.41788
           0    -7.41919
