#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.73427     7.73427           0
           2     7.69834     7.71631   0.0127045
           3      7.7306     7.72107  0.00931993
           4     7.74739     7.72765  0.00901918
           5      7.6876     7.71964   0.0101685
           6      7.7418     7.72333  0.00911986
           7      7.6815     7.71736  0.00957689
           8     7.73373      7.7194  0.00859563
           9     7.70807     7.71814  0.00773219
          10      7.7031     7.71664  0.00710386
          11     7.71749     7.71672  0.00645848
          12     7.69156     7.71462  0.00625134
          13     7.70735     7.71406  0.00579546
          14      7.7088     7.71369  0.00539366
          15     7.74897     7.71604  0.00552326
          16     7.73456      7.7172  0.00529793
          17     7.71231     7.71691  0.00499407
          18     7.72613     7.71742  0.00474281
          19     7.76063     7.71969  0.00500889
          20     7.64083     7.71575  0.00611665
          21     7.73404     7.71662  0.00588704
          22      7.7803     7.71952  0.00629083
          23     7.75044     7.72086  0.00615932
          24     7.75787      7.7224  0.00609261
          25     7.77184     7.72438  0.00616148
          26     7.71322     7.72395  0.00593945
          27     7.77643     7.72589  0.00602908
          28      7.8215     7.72931  0.00671134
          29     7.72663     7.72922  0.00648055
          30     7.66027     7.72692  0.00665959
          31     7.71393      7.7265  0.00645793
          32     7.77414     7.72799  0.00642542
          33     7.71435     7.72758  0.00624398
          34     7.78162     7.72916  0.00625936
          35     7.72491     7.72904   0.0060817
          36     7.72317     7.72888  0.00591495
          37     7.71487      7.7285  0.00576719
          38     7.75109      7.7291  0.00564597
          39     7.73533     7.72926  0.00550346
          40      7.7701     7.73028  0.00545979
          41     7.69662     7.72946  0.00538797
          42     7.76451     7.73029  0.00532393
          43      7.7149     7.72993  0.00521213
          44     7.76038     7.73062  0.00513941
          45     7.69001     7.72972  0.00510381
          46     7.79329      7.7311  0.00517657
          47      7.6912     7.73026  0.00513558
          48     7.74711     7.73061  0.00504057
          49     7.76231     7.73125  0.00497907
          50     7.71766     7.73098   0.0048869
          51     7.68309     7.73004  0.00488046
          52     7.76559     7.73073  0.00483424
          53     7.63609     7.72894  0.00506209
          54      7.7059     7.72851   0.0049863
          55     7.72795      7.7285  0.00489565
          56      7.7244     7.72843  0.00480878
          57     7.71486     7.72819  0.00473031
          58     7.66901     7.72717  0.00475755
          59     7.67636     7.72631  0.00475422
          60     7.75275     7.72675  0.00469536
          61      7.7412     7.72699  0.00462436
          62     7.70616     7.72665  0.00456196
          63     7.68409     7.72598  0.00453928
          64     7.78818     7.72695  0.00457124
          65      7.7008     7.72655  0.00451858
          66     7.76443     7.72712  0.00448643
          67     7.72926     7.72715  0.00441958
          68     7.72416     7.72711   0.0043548
          69     7.72105     7.72702  0.00429258
          70      7.6447     7.72584  0.00438939
          71     7.82229      7.7272   0.0045329
          72     7.71464     7.72703   0.0044733
          73     7.74518     7.72728  0.00441892
          74     7.73764     7.72742  0.00436143
          75     7.75819     7.72783  0.00432253
          76     7.70534     7.72753  0.00427576
          77     7.76835     7.72806  0.00425297
          78     7.65049     7.72707  0.00431314
          79     7.71439     7.72691  0.00426153
          80     7.73131     7.72696  0.00420861
          81     7.70819     7.72673  0.00416303
          82         7.8     7.72762  0.00420707
          83     7.61872     7.72631  0.00435617
          84     7.82431     7.72748  0.00445779
          85     7.72866     7.72749  0.00440537
          86     7.77317     7.72802  0.00438604
          87     7.77141     7.72852  0.00436389
          88     7.77566     7.72906  0.00434705
          89     7.66882     7.72838  0.00435058
          90     7.72374     7.72833  0.00430255
          91     7.72848     7.72833  0.00425527
          92     7.71982     7.72824  0.00421002
          93     7.74682     7.72844  0.00416949
          94     7.71563      7.7283  0.00412736
          95     7.70188     7.72802  0.00409327
          96     7.73387     7.72808  0.00405109
          97     7.71367     7.72794  0.00401205
          98     7.75211     7.72818  0.00397868
          99     7.76851     7.72859  0.00395929
         100     7.71586     7.72846  0.00392174
         101     7.76596     7.72883  0.00390045
         102     7.68014     7.72836  0.00389131
         103     7.74847     7.72855  0.00385843
         104     7.69035     7.72818  0.00383877
         105     7.72746     7.72818  0.00380222
         106     7.72663     7.72816  0.00376638
         107     7.63419     7.72728   0.0038322
         108     7.80797     7.72803  0.00386886
         109     7.70794     7.72785  0.00383775
         110     7.78834      7.7284  0.00384206
         111     7.67486     7.72791   0.0038376
         112     7.74354     7.72805  0.00380587
         113     7.74564     7.72821  0.00377537
         114     7.73946     7.72831  0.00374355
         115     7.71798     7.72822  0.00371207
         116      7.7646     7.72853   0.0036933
         117     7.71966     7.72846  0.00366251
         118     7.77143     7.72882  0.00364953
         119     7.69495     7.72854  0.00362995
         120     7.72058     7.72847  0.00360031
         121     7.76502     7.72877   0.0035832
         122     7.75595     7.72899  0.00356075
         123     7.72634     7.72897  0.00353186
         124     7.71844     7.72889   0.0035044
         125     7.70299     7.72868  0.00348248
         126     7.71518     7.72857  0.00345649
         127     7.75882     7.72881  0.00343747
         128     7.72478     7.72878  0.00341076
         129     7.79726     7.72931  0.00342538
         130     7.69193     7.72902  0.00341108
         131     7.73366     7.72906  0.00338523
         132     7.66606     7.72858  0.00339307
         133     7.74381      7.7287  0.00336948
         134     7.74979     7.72885  0.00334801
         135     7.70292     7.72866  0.00332872
         136       7.708     7.72851  0.00330771
         137     7.69966      7.7283  0.00329026
         138     7.69251     7.72804  0.00327662
         139     7.74311     7.72815  0.00325484
         140     7.72948     7.72816  0.00323161
         141     7.69244      7.7279   0.0032186
         142      7.7197     7.72785  0.00319645
         143     7.74107     7.72794  0.00317544
         144     7.76077     7.72817  0.00316156
         145     7.69339     7.72793  0.00314884
         146     7.78093     7.72829  0.00314813
         147     7.76327     7.72853   0.0031357
         148     7.68715     7.72825  0.00312695
         149      7.7353      7.7283  0.00310632
         150      7.7072     7.72816   0.0030888
         151     7.73649     7.72821  0.00306883
         152     7.79563     7.72865  0.00308053
         153     7.69356     7.72842  0.00306892
         154     7.80646     7.72893  0.00309055
         155     7.66553     7.72852  0.00309756
         156     7.73731     7.72858  0.00307821
         157     7.72162     7.72853  0.00305892
         158     7.73258     7.72856  0.00303967
         159     7.71635     7.72848  0.00302152
         160     7.69064     7.72825  0.00301188
         161      7.7076     7.72812   0.0029959
         162     7.72588      7.7281  0.00297744
         163     7.66316     7.72771  0.00298572
         164     7.84885     7.72845  0.00305752
         165     7.71496     7.72836  0.00304008
         166     7.72389     7.72834  0.00302189
         167     7.78766     7.72869   0.0030246
         168     7.73251     7.72871  0.00300668
         169     7.74365      7.7288  0.00299019
         170     7.79633      7.7292  0.00299887
         171     7.69513       7.729  0.00298794
         172     7.71215      7.7289  0.00297217
         173     7.73901     7.72896  0.00295557
         174     7.73568       7.729  0.00293883
         175     7.70141     7.72884  0.00292626
         176     7.70247     7.72869  0.00291347
         177      7.7398     7.72876  0.00289769
         178     7.70679     7.72863  0.00288403
         179     7.77539     7.72889  0.00287973
         180      7.7439     7.72898  0.00286494
         181     7.70896     7.72887  0.00285124
         182     7.71624      7.7288  0.00283642
         183     7.70305     7.72866  0.00282441
         184     7.73772      7.7287  0.00280949
         185     7.76535      7.7289  0.00280127
         186     7.79473     7.72926  0.00280848
         187      7.7208     7.72921  0.00279383
         188     7.70261     7.72907  0.00278255
         189     7.77135     7.72929   0.0027768
         190      7.7293     7.72929  0.00276219
         191     7.76481     7.72948  0.00275398
         192     7.71225     7.72939  0.00274109
         193     7.76225     7.72956  0.00273217
         194     7.68121     7.72931  0.00272944
         195     7.78893     7.72962  0.00273251
         196     7.72346     7.72959  0.00271875
         197     7.71912     7.72953  0.00270546
         198     7.76742     7.72972  0.00269856
         199     7.71502     7.72965  0.00268601
         200     7.70198     7.72951  0.00267614
