#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     0.80202     0.80202           0
           2    0.805893    0.803956  0.00136932
           3    0.802931    0.803614 0.000954595
           4    0.796856    0.801925  0.00162887
           5    0.803455    0.802231  0.00133155
           6     0.79948    0.801772  0.00118593
           7    0.805569    0.802315  0.00113376
           8    0.799478     0.80196  0.00104604
           9    0.801657    0.801926  0.00093036
          10    0.802484    0.801982 0.000838995
          11    0.801786    0.801964 0.000762912
          12    0.801137    0.801895 0.000702442
          13     0.80177    0.801886 0.000648474
          14    0.802534    0.801932 0.000603803
          15    0.802362    0.801961 0.000564228
          16    0.804297    0.802107 0.000547532
          17    0.802071    0.802105 0.000515328
          18    0.801008    0.802044 0.000490289
          19    0.795756    0.801713 0.000565236
          20    0.810897    0.802172 0.000699061
          21    0.801235    0.802127 0.000667195
          22    0.794709     0.80179 0.000717032
          23    0.797716    0.801613 0.000707403
          24    0.799429    0.801522 0.000683755
          25    0.798584    0.801405 0.000666425
          26     0.80387    0.801499 0.000647504
          27    0.796121      0.8013 0.000653449
          28    0.788034    0.800826 0.000783268
          29    0.796781    0.800687 0.000768582
          30    0.810149    0.801002 0.000805079
          31    0.804437    0.801113 0.000786695
          32    0.797903    0.801013  0.00076848
          33    0.805152    0.801138 0.000755362
          34    0.793755    0.800921 0.000763721
          35    0.801928     0.80095 0.000742443
          36    0.802356    0.800989 0.000722846
          37    0.804078    0.801072 0.000708115
          38    0.799102    0.801021 0.000691376
          39    0.799315    0.800977 0.000675029
          40    0.794854    0.800824 0.000675284
          41    0.808385    0.801008 0.000683533
          42    0.797334    0.800921 0.000672833
          43    0.802948    0.800968 0.000658837
          44    0.793704    0.800803 0.000664227
          45    0.807057    0.800942 0.000663846
          46    0.791495    0.800736 0.000680436
          47     0.80432    0.800813 0.000670217
          48    0.797275    0.800739 0.000660293
          49    0.795087    0.800624 0.000656816
          50    0.801175    0.800635 0.000643773
          51    0.805885    0.800738 0.000639327
          52    0.794549    0.800619 0.000638013
          53    0.813177    0.800855 0.000668533
          54    0.802462    0.800885 0.000656814
          55    0.801558    0.800897 0.000644986
          56    0.797615    0.800839 0.000636126
          57    0.802395    0.800866 0.000625551
          58    0.806158    0.800957 0.000621385
          59    0.805588    0.801036  0.00061579
          60    0.798581    0.800995 0.000606885
