#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.52378    -7.52378           0
           2    -7.52916    -7.52647  0.00189977
           3    -7.52361    -7.52552  0.00148694
           4    -7.51563    -7.52304  0.00241364
           5     -7.5252    -7.52348  0.00196892
           6    -7.51721    -7.52243  0.00189762
           7    -7.53009    -7.52352  0.00191585
           8    -7.51846    -7.52289  0.00177771
           9    -7.52256    -7.52285  0.00158058
          10    -7.52431      -7.523  0.00142923
          11    -7.52148    -7.52286  0.00130595
          12    -7.52194    -7.52279  0.00119936
          13    -7.52235    -7.52275  0.00110756
          14    -7.52634    -7.52301  0.00105772
          15    -7.52559    -7.52318  0.00100108
          16    -7.52625    -7.52337 0.000956709
          17    -7.52328    -7.52337 0.000900446
          18    -7.52148    -7.52326 0.000856522
          19    -7.51348    -7.52275 0.000953696
          20    -7.53605    -7.52341  0.00111407
          21    -7.52194    -7.52334  0.00106324
          22    -7.51194    -7.52282  0.00113418
          23    -7.51677    -7.52256  0.00111498
          24    -7.51893    -7.52241  0.00107876
          25    -7.51855    -7.52226   0.0010466
          26    -7.52455    -7.52234  0.00101006
          27    -7.51424    -7.52204  0.00101623
          28    -7.50265    -7.52135  0.00119291
          29    -7.51449    -7.52111  0.00117497
          30    -7.53588    -7.52161  0.00123455
          31    -7.52737    -7.52179  0.00120863
          32    -7.51622    -7.52162  0.00118335
          33    -7.52947    -7.52186  0.00117116
          34    -7.51048    -7.52152  0.00118352
          35    -7.52261    -7.52155  0.00115011
          36    -7.52408    -7.52162  0.00112031
          37    -7.52582    -7.52174  0.00109577
          38    -7.51853    -7.52165  0.00107017
          39    -7.51944     -7.5216  0.00104423
          40    -7.51156    -7.52134  0.00104782
          41    -7.53253    -7.52162  0.00105717
          42    -7.51632    -7.52149   0.0010395
          43    -7.52424    -7.52156  0.00101728
          44    -7.51065    -7.52131  0.00102391
          45    -7.53008     -7.5215  0.00101955
          46    -7.50643    -7.52117  0.00104872
          47    -7.52657    -7.52129  0.00103267
          48    -7.51475    -7.52115   0.0010201
          49    -7.51265    -7.52098  0.00101393
          50     -7.5218      -7.521 0.000993788
          51    -7.52876    -7.52115 0.000985899
          52    -7.51203    -7.52097 0.000982402
          53    -7.54012    -7.52133  0.00102814
          54    -7.52338    -7.52137   0.0010098
          55    -7.52261    -7.52139 0.000991692
          56    -7.51666    -7.52131 0.000977575
          57    -7.52392    -7.52136 0.000961493
          58    -7.52934    -7.52149  0.00095473
          59    -7.52849    -7.52161 0.000945886
          60    -7.51715    -7.52154 0.000933045
          61    -7.52244    -7.52155 0.000917866
          62    -7.53242    -7.52173  0.00091964
          63    -7.53122    -7.52188 0.000917303
          64    -7.51043     -7.5217 0.000920235
          65    -7.52933    -7.52182 0.000913538
          66    -7.51317    -7.52169 0.000909033
          67    -7.51934    -7.52165 0.000896141
          68    -7.52118    -7.52164  0.00088299
          69    -7.52516     -7.5217  0.00087166
          70    -7.54028    -7.52196 0.000898741
          71    -7.50197    -7.52168 0.000929128
          72    -7.52506    -7.52173  0.00091741
          73    -7.52194    -7.52173 0.000904848
          74    -7.52164    -7.52173 0.000892621
          75    -7.51403    -7.52163   0.0008866
          76     -7.5269    -7.52169 0.000877652
          77     -7.5138    -7.52159 0.000872215
          78    -7.53652    -7.52178 0.000881791
          79    -7.52156    -7.52178 0.000870634
          80    -7.51718    -7.52172 0.000861648
          81    -7.52665    -7.52178 0.000853152
          82    -7.51055    -7.52165 0.000853669
          83    -7.54189    -7.52189 0.000877536
          84      -7.506     -7.5217 0.000887255
          85    -7.52723    -7.52177 0.000879202
          86    -7.52034    -7.52175 0.000869135
          87    -7.51475    -7.52167 0.000862856
          88    -7.51341    -7.52158 0.000858141
          89    -7.53426    -7.52172 0.000860249
          90    -7.52177    -7.52172 0.000850691
          91    -7.51999     -7.5217 0.000841555
          92    -7.52193     -7.5217 0.000832411
          93    -7.51667    -7.52165 0.000825217
          94    -7.52417    -7.52168 0.000816874
          95    -7.52633    -7.52172 0.000809745
          96     -7.5188    -7.52169 0.000801883
          97    -7.51717    -7.52165  0.00079497
          98    -7.51967    -7.52163 0.000787114
          99    -7.51127    -7.52152 0.000786085
         100    -7.52396    -7.52155 0.000778601
         101    -7.51392    -7.52147 0.000774545
         102    -7.52637    -7.52152 0.000768439
         103    -7.51262    -7.52143 0.000765821
         104    -7.52632    -7.52148 0.000759898
         105    -7.51555    -7.52142  0.00075476
         106    -7.51719    -7.52138 0.000748694
         107    -7.53831    -7.52154 0.000758216
         108    -7.51075    -7.52144 0.000757751
         109    -7.53073    -7.52153 0.000755578
         110    -7.51543    -7.52147 0.000750736
         111     -7.5339    -7.52158  0.00075228
         112    -7.51855    -7.52156 0.000746051
         113    -7.51776    -7.52152 0.000740205
         114    -7.52301    -7.52154 0.000733828
         115    -7.52288    -7.52155 0.000727539
         116     -7.5112    -7.52146 0.000726712
         117    -7.52389    -7.52148 0.000720797
         118    -7.51459    -7.52142 0.000717052
         119    -7.53113     -7.5215 0.000715657
         120    -7.52241    -7.52151 0.000709733
         121     -7.5188    -7.52149  0.00070422
         122    -7.51848    -7.52146 0.000698878
         123    -7.52286    -7.52147 0.000693289
         124    -7.52031    -7.52146 0.000687762
         125    -7.52479    -7.52149 0.000682773
         126    -7.52742    -7.52154 0.000678975
         127    -7.51909    -7.52152 0.000673902
         128    -7.52082    -7.52151 0.000668659
         129    -7.50722     -7.5214 0.000672597
         130    -7.52965    -7.52147 0.000670406
         131    -7.51393    -7.52141 0.000667754
         132    -7.53433    -7.52151 0.000669828
         133    -7.51564    -7.52146 0.000666243
         134     -7.5197    -7.52145 0.000661401
         135      -7.523    -7.52146 0.000656601
         136    -7.52426    -7.52148 0.000652097
         137    -7.52526    -7.52151 0.000647921
         138    -7.52762    -7.52155 0.000644736
         139    -7.51707    -7.52152 0.000640906
         140     -7.5214    -7.52152 0.000636329
         141    -7.52706    -7.52156 0.000633028
         142    -7.51988    -7.52155  0.00062868
         143    -7.52246    -7.52155 0.000624316
         144    -7.51311     -7.5215 0.000622729
         145    -7.52829    -7.52154 0.000620196
         146      -7.512    -7.52148 0.000619379
         147    -7.51516    -7.52143 0.000616656
         148    -7.53148     -7.5215 0.000616216
         149    -7.51901    -7.52149 0.000612307
         150    -7.52498    -7.52151 0.000608668
         151    -7.52206    -7.52151 0.000604648
         152    -7.50944    -7.52143 0.000605864
         153    -7.53088    -7.52149 0.000605045
         154    -7.51025    -7.52142 0.000605507
         155    -7.53103    -7.52148 0.000604766
         156    -7.51633    -7.52145 0.000601792
         157    -7.52342    -7.52146 0.000598091
         158    -7.51814    -7.52144 0.000594676
         159    -7.52611    -7.52147  0.00059166
         160    -7.52719    -7.52151  0.00058904
         161    -7.52308    -7.52152 0.000585462
         162     -7.5275    -7.52155 0.000583013
         163    -7.53142    -7.52161 0.000582569
         164     -7.4961    -7.52146 0.000599434
         165    -7.52752     -7.5215 0.000596925
         166    -7.52172     -7.5215  0.00059333
         167    -7.51063    -7.52143 0.000593338
         168    -7.52203    -7.52143 0.000589817
         169    -7.52221    -7.52144 0.000586345
         170    -7.51114    -7.52138 0.000586017
         171    -7.52982    -7.52143 0.000584663
         172    -7.52609    -7.52146  0.00058189
         173     -7.5197    -7.52145 0.000578615
         174    -7.52013    -7.52144  0.00057534
         175    -7.52637    -7.52147 0.000572742
         176    -7.53075    -7.52152 0.000571913
         177    -7.51731    -7.52149 0.000569176
         178     -7.5243    -7.52151 0.000566197
         179    -7.51702    -7.52149  0.00056359
         180     -7.5233     -7.5215 0.000560549
         181    -7.52551    -7.52152 0.000557891
         182    -7.52281    -7.52152 0.000554871
         183    -7.52735    -7.52156  0.00055275
         184    -7.52412    -7.52157 0.000549922
         185    -7.51841    -7.52155 0.000547215
         186    -7.51082     -7.5215 0.000547308
         187    -7.52625    -7.52152  0.00054497
         188    -7.52062    -7.52152 0.000542093
         189    -7.51122    -7.52146 0.000541955
         190    -7.52401    -7.52148 0.000539269
         191    -7.51419    -7.52144 0.000537791
         192    -7.52653    -7.52146 0.000535645
         193    -7.52067    -7.52146 0.000532885
         194    -7.53107    -7.52151 0.000532436
         195    -7.50988    -7.52145 0.000533035
         196    -7.52603    -7.52147 0.000530827
         197    -7.52986    -7.52152 0.000529839
         198    -7.51734    -7.52149 0.000527582
         199    -7.52626    -7.52152 0.000525473
         200    -7.52736    -7.52155 0.000523657
