#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.55247    -7.55247           0
           2    -7.54877    -7.55062  0.00130848
           3    -7.53187    -7.54437  0.00517591
           4    -7.56806    -7.55029  0.00643271
           5     -7.5327    -7.54677  0.00603228
           6    -7.56884    -7.55045  0.00604504
           7    -7.53123     -7.5477  0.00577119
           8    -7.54645    -7.54755  0.00505191
           9    -7.53504    -7.54616  0.00467771
          10    -7.55663    -7.54721  0.00432558
          11    -7.55134    -7.54758  0.00394863
          12    -7.57078    -7.54952  0.00406554
          13     -7.5722    -7.55126  0.00411029
          14    -7.53732    -7.55026  0.00393538
          15    -7.52995    -7.54891  0.00389915
          16    -7.53873    -7.54827  0.00370705
          17     -7.5472    -7.54821  0.00348952
          18    -7.53836    -7.54766  0.00333831
          19    -7.54866    -7.54772  0.00316302
          20    -7.55824    -7.54824  0.00304829
          21    -7.54211    -7.54795  0.00291709
          22    -7.56368    -7.54866  0.00287082
          23     -7.5604    -7.54918  0.00279099
          24    -7.52736    -7.54827  0.00281878
          25    -7.55729    -7.54863  0.00272903
          26    -7.54791     -7.5486  0.00262421
          27    -7.52802    -7.54784  0.00263536
          28    -7.56557    -7.54847  0.00261624
          29    -7.54472    -7.54834  0.00252922
          30     -7.5458    -7.54826  0.00244633
          31    -7.55727    -7.54855  0.00238463
          32    -7.55794    -7.54884   0.0023281
          33    -7.54405     -7.5487  0.00226208
          34    -7.55937    -7.54901  0.00221724
          35    -7.53847    -7.54871  0.00217423
          36    -7.54634    -7.54864  0.00211483
          37    -7.52829    -7.54809  0.00212799
          38    -7.56353     -7.5485  0.00211041
          39    -7.54125    -7.54831  0.00206446
          40    -7.55833    -7.54856  0.00202798
          41     -7.5191    -7.54785  0.00210202
          42    -7.53555    -7.54755  0.00207226
          43     -7.5428    -7.54744  0.00202702
          44    -7.55855    -7.54769  0.00199661
          45    -7.52875    -7.54727  0.00199613
          46    -7.55393    -7.54742  0.00195798
          47    -7.53207    -7.54709  0.00194336
          48     -7.5663    -7.54749  0.00194364
          49    -7.54811     -7.5475  0.00190402
          50    -7.55365    -7.54763   0.0018699
          51    -7.53836    -7.54745  0.00184204
          52     -7.5281    -7.54707  0.00184378
          53    -7.53212    -7.54679  0.00183044
          54    -7.54815    -7.54682  0.00179672
          55    -7.53823    -7.54666  0.00177082
          56    -7.53606    -7.54647  0.00174929
          57    -7.56451    -7.54679  0.00174701
          58     -7.5316    -7.54653  0.00173641
          59    -7.52759     -7.5462  0.00173639
          60    -7.57024    -7.54661  0.00175306
          61     -7.5378    -7.54646  0.00173026
          62    -7.56704    -7.54679  0.00173389
          63    -7.55021    -7.54685  0.00170721
          64    -7.55962    -7.54705  0.00169217
          65    -7.52921    -7.54677  0.00168825
          66    -7.53945    -7.54666  0.00166631
          67    -7.56491    -7.54693  0.00166355
          68    -7.54337    -7.54688  0.00163991
          69    -7.54847     -7.5469   0.0016163
          70    -7.52794    -7.54663  0.00161576
          71    -7.55284    -7.54672  0.00159536
          72    -7.55534    -7.54684  0.00157769
          73    -7.54717    -7.54685  0.00155608
          74    -7.57206    -7.54719  0.00157193
          75    -7.53122    -7.54697  0.00156532
          76    -7.55509    -7.54708  0.00154837
          77    -7.53838    -7.54697  0.00153238
