#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.56414     7.56414           0
           2     7.58848     7.57631  0.00860554
           3     7.67293     7.60851   0.0269151
           4      7.4787     7.57606   0.0346034
           5     7.67497     7.59584   0.0328539
           6     7.47472     7.57565   0.0330029
           7     7.67402     7.58971   0.0311362
           8     7.59572     7.59046   0.0272532
           9     7.65707     7.59786     0.02521
          10     7.54445     7.59252   0.0232478
          11      7.5656     7.59007   0.0212628
          12     7.45689     7.57897   0.0221992
          13     7.45216     7.56922   0.0225332
          14     7.64273     7.57447   0.0215269
          15     7.69095     7.58223   0.0214468
          16      7.6355     7.58556   0.0203631
          17     7.59175     7.58593   0.0191685
          18     7.63941      7.5889   0.0183325
          19     7.58136      7.5885   0.0173719
          20     7.52453      7.5853   0.0167952
          21     7.61921     7.58692   0.0160729
          22     7.49672     7.58282   0.0158566
          23     7.51944     7.58006   0.0154047
          24     7.69362     7.58479   0.0154725
          25     7.53364     7.58275   0.0149883
          26     7.58544     7.58285   0.0144122
          27     7.69641     7.58706   0.0144791
          28     7.48168     7.58329   0.0144429
          29      7.6052     7.58405   0.0139646
          30     7.60358      7.5847   0.0135142
          31     7.53333     7.58304   0.0131795
          32     7.53453     7.58153   0.0128546
          33     7.60366      7.5822   0.0124825
          34     7.52562     7.58053   0.0122258
          35     7.63672     7.58214   0.0119814
          36      7.5961     7.58253   0.0116548
          37     7.69332     7.58552   0.0117182
          38     7.50051     7.58328   0.0116214
          39     7.62182     7.58427   0.0113653
          40     7.52922      7.5829   0.0111642
          41     7.74664     7.58689   0.0115843
          42     7.65313     7.58847   0.0114153
          43     7.61615     7.58911    0.011168
          44     7.53334     7.58784   0.0109858
          45      7.6857     7.59002   0.0109548
          46     7.55387     7.58923   0.0107448
          47     7.66737     7.59089   0.0106441
          48     7.48712     7.58873   0.0106396
          49      7.5827     7.58861   0.0104232
          50     7.55164     7.58787   0.0102409
          51     7.63794     7.58885   0.0100871
          52     7.69749     7.59094   0.0101071
          53     7.67378      7.5925   0.0100365
          54     7.58636     7.59239  0.00985133
          55     7.64175     7.59329  0.00971301
          56     7.65295     7.59435   0.0095978
          57     7.49123     7.59254  0.00959843
          58     7.67977     7.59405  0.00955003
          59     7.69346     7.59573  0.00953564
